Date,PPG,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer,Segment,Sub.Segment,Brand,Sub.Brand,Packsize,Product.Type,APN,Vol.Sales,Wtd.Selling.Dist,PPG_Retailer,WeekNum,Month,Quarter,Year,Month_Year
2018-08-05,Promo.Group 22,0,0,0,0,0,0,Retailer 1,Candy Bags,,Brand 1,Sub.Brand 63,520.0,Product.Type 3,APN 171,0.0,0.0,Promo.Group 22__Retailer 1,31,8,3,2018,8__2018
2018-08-12,Promo.Group 22,0,0,0,0,0,0,Retailer 1,Candy Bags,,Brand 1,Sub.Brand 63,520.0,Product.Type 3,APN 171,0.0,0.0,Promo.Group 22__Retailer 1,32,8,3,2018,8__2018
2018-08-19,Promo.Group 22,0,0,0,0,0,0,Retailer 1,Candy Bags,,Brand 1,Sub.Brand 63,520.0,Product.Type 3,APN 171,0.0,0.0,Promo.Group 22__Retailer 1,33,8,3,2018,8__2018
2018-08-26,Promo.Group 22,0,0,0,0,0,0,Retailer 1,Candy Bags,,Brand 1,Sub.Brand 63,520.0,Product.Type 3,APN 171,0.0,0.0,Promo.Group 22__Retailer 1,34,8,3,2018,8__2018
2018-09-02,Promo.Group 22,0,0,0,0,0,0,Retailer 1,Candy Bags,,Brand 1,Sub.Brand 63,520.0,Product.Type 3,APN 171,0.0,0.0,Promo.Group 22__Retailer 1,35,9,3,2018,9__2018
2018-09-09,Promo.Group 22,0,0,0,1,0,0,Retailer 1,Candy Bags,,Brand 1,Sub.Brand 63,520.0,Product.Type 3,APN 171,0.04212,3.8,Promo.Group 22__Retailer 1,36,9,3,2018,9__2018
2018-09-16,Promo.Group 22,0,0,0,0,0,0,Retailer 1,Candy Bags,,Brand 1,Sub.Brand 63,520.0,Product.Type 3,APN 171,0.75036,49.2,Promo.Group 22__Retailer 1,37,9,3,2018,9__2018
2018-09-23,Promo.Group 22,0,0,0,0,0,0,Retailer 1,Candy Bags,,Brand 1,Sub.Brand 63,520.0,Product.Type 3,APN 171,2.85324,91.5,Promo.Group 22__Retailer 1,38,9,3,2018,9__2018
2018-09-30,Promo.Group 22,0,0,0,0,0,0,Retailer 1,Candy Bags,,Brand 1,Sub.Brand 63,520.0,Product.Type 3,APN 171,5.49224,98.1,Promo.Group 22__Retailer 1,39,9,3,2018,9__2018
2018-10-07,Promo.Group 22,0,0,0,0,0,0,Retailer 1,Candy Bags,Candy Bags - Jelly,Brand 1,Sub.Brand 1,520.0,Product.Type 1,APN 171,2.73884,99.1,Promo.Group 22__Retailer 1,40,10,4,2018,10__2018
2018-10-14,Promo.Group 22,0,0,0,0,0,0,Retailer 1,Candy Bags,Candy Bags - Jelly,Brand 1,Sub.Brand 1,520.0,Product.Type 1,APN 171,3.38364,99.9,Promo.Group 22__Retailer 1,41,10,4,2018,10__2018
2018-10-21,Promo.Group 22,0,0,0,0,0,1,Retailer 1,Candy Bags,Candy Bags - Jelly,Brand 1,Sub.Brand 1,520.0,Product.Type 1,APN 171,3.43512,99.9,Promo.Group 22__Retailer 1,42,10,4,2018,10__2018
2018-10-28,Promo.Group 22,0,0,0,0,0,1,Retailer 1,Candy Bags,Candy Bags - Jelly,Brand 1,Sub.Brand 1,520.0,Product.Type 1,APN 171,3.7024,99.9,Promo.Group 22__Retailer 1,43,10,4,2018,10__2018
2018-11-04,Promo.Group 22,0,0,0,0,0,1,Retailer 1,Candy Bags,Candy Bags - Jelly,Brand 1,Sub.Brand 1,520.0,Product.Type 1,APN 171,4.37684,99.8,Promo.Group 22__Retailer 1,44,11,4,2018,11__2018
2018-11-11,Promo.Group 22,0,0,0,0,0,0,Retailer 1,Candy Bags,Candy Bags - Jelly,Brand 1,Sub.Brand 1,520.0,Product.Type 1,APN 171,3.04772,99.8,Promo.Group 22__Retailer 1,45,11,4,2018,11__2018
2018-11-18,Promo.Group 22,0,0,0,0,0,0,Retailer 1,Candy Bags,Candy Bags - Jelly,Brand 1,Sub.Brand 1,520.0,Product.Type 1,APN 171,3.89844,99.8,Promo.Group 22__Retailer 1,46,11,4,2018,11__2018
2018-11-25,Promo.Group 22,0,0,0,0,0,0,Retailer 1,Candy Bags,Candy Bags - Jelly,Brand 1,Sub.Brand 1,520.0,Product.Type 1,APN 171,2.28124,99.8,Promo.Group 22__Retailer 1,47,11,4,2018,11__2018
2018-12-02,Promo.Group 22,0,0,0,0,0,0,Retailer 1,Candy Bags,Candy Bags - Jelly,Brand 1,Sub.Brand 1,520.0,Product.Type 1,APN 171,3.59008,99.8,Promo.Group 22__Retailer 1,48,12,4,2018,12__2018
