PPG_Retailer_Variant,Model,Train_r2,Test_r2,Test_sMAPE,display_bronze,display_platinum,within_promo_ins,within_display_gold,within_display_bronze,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,promo_ins,Constant,Top3_most_important_features
Promo.Group 5__Retailer 0,LinearRegression,0.5664030653112055,0.3728376726980256,20.17535668203291,-0.5348449699814595,4.440892098500626e-16,0.3718082928218482,-0.15164881999483282,-0.15663139479053462,0.060819999613938455,0.04323117616306687,0.11826978008534123,-0.12395770229821315,0.8702680889048116,0.18423951752093426,-0.24223615170529383,0.05682560875105739,-0.17028054696201753,-0.1911101475768049,1.4521518645227343,3.469446951953614e-17,1.6653345369377348e-16,0.19354992027747808,-0.09092813010844476,0.5023002472514753,1.2452953266004978,"promo_catalogue, Wtd.Selling.Dist, display_bronze"
Promo.Group 5__Retailer 0,SGDRegression,0.29713399519781225,0.214162233778998,22.886947866852054,0.05639691470019885,0.0,0.16483533940204784,0.04165437331455441,0.11097158394916908,0.0564628710264096,0.08845958879570584,0.05054431275768946,0.030580846221119375,0.35550052109708874,0.11119356798358047,0.5272765697206294,0.04333947125189569,0.02715430929864515,0.0526103540996864,0.05597243329538613,0.0,0.0,0.09433329338682006,0.1399112393275024,0.3003552338212151,0.7826571621746741,"Price, Wtd.Selling.Dist, promo_ins"
Promo.Group 5__Retailer 0,LassoRegression,0.37151844414163726,0.2932511867009242,21.267590790011567,0.0,0.0,0.03800480709052638,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.35786427389241904,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.4828001659321589,1.2682013953624653,"promo_ins, Wtd.Selling.Dist, within_promo_ins"
Promo.Group 5__Retailer 0,RidgeRegression,0.40253225290552475,0.27348332208464676,21.858888311152835,0.05924380681824433,0.0,0.17213716499181503,-0.06295252218192267,-0.008406197301092988,-0.012265493535859366,-0.013994257837834308,0.042852013243369354,-0.07474786664418238,0.2950297304792318,0.11999948410462588,0.007843666912061537,-0.012586158294416462,-0.08181561141412884,-0.0662508542901456,0.12419605721473202,0.0,0.0,0.054951142023428316,-0.018095146540472336,0.34068537591233844,1.3097312474907752,"promo_ins, Wtd.Selling.Dist, within_promo_ins"
Promo.Group 5__Retailer 0,BayesianRegression,0.5364638808782736,0.3291130367723403,20.760036022391574,-0.5435153602584258,40.0,0.28085831522560967,-0.370754432845628,-0.31366473115633575,-0.04849812854318699,-0.08586203747381095,0.046552158503642305,-0.10334639606947225,0.8685963389193663,0.164564755276118,-0.3451597966735677,0.05880261729536365,-0.30207055431452373,-0.43345970537795486,1.628101904681156,40.0,40.0,0.08284150972454087,-0.13331760097813655,0.543948053011648,1.4490206010630515,"display_gold, display_silver, display_platinum"
Promo.Group 5__Retailer 0,LinearRegression_Positive,0.5258160619903125,0.2928564925028332,22.805645589368044,0.0,0.0,0.36673058751405846,0.0,0.0,0.11766016636661232,0.12937222654911518,0.09342289032450711,0.0,0.8551918479838085,0.1798325412860039,0.0,0.09146046900804694,0.0,0.0,0.9857307057896556,0.0,0.0,0.14409812181947618,0.0,0.47739044951594695,0.9591716844422622,"promo_catalogue, Wtd.Selling.Dist, promo_ins"
Promo.Group 5__Retailer 0,LassoRegression_Positive,0.48608578873715713,0.2821257567174742,22.528890366203253,0.0,0.0,0.23569915474419134,0.0,0.0,0.0,0.0,0.0,0.0,0.6171417538696282,0.03673767257713664,0.0,0.0,0.0,0.0,0.54570654040843,0.0,0.0,0.0,0.0,0.5014903383324117,1.132016116781391,"Wtd.Selling.Dist, promo_catalogue, promo_ins"
Promo.Group 5__Retailer 0,ElasticNetRegression_Positive,0.46895260039309405,0.2821711937578284,22.181944280310983,0.0,0.0,0.23366180899461844,0.0,0.0,0.0,0.0,0.0,0.0,0.5375400041899274,0.08014787963980641,0.0,0.0,0.0,0.0,0.38316243151076934,0.0,0.0,0.03263356262070829,0.0,0.46710695125625057,1.1640790872518256,"Wtd.Selling.Dist, promo_ins, promo_catalogue"
