display_bronze,display_platinum,within_display_gold,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,promo_ins,Vol.Sales
0.0,0.0,0.0,0.0,0.18681318681318682,0.0,0.0,0.30742358078602616,0.0,0.8179591279073763,0.0,0.0,0.6888888888888887,0.0,0.0,0.0,0.0,0.0,0.0,0.2942133333333333
0.0,0.0,0.0,0.0,0.9982540823662319,0.0,0.0,0.6902474526928675,0.0,0.13096327488460346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9774453333333334
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5231441048034935,0.0,1.0,0.0,0.0,0.6814814814814814,0.0,0.0,0.0,0.0,0.0,0.0,0.19417066666666666
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47831149927219796,0.0,0.5092879798953871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.436436
0.0,0.0,0.5852402745995423,0.0,0.0,0.5054945054945055,1.0,0.5487627365356622,0.0,0.2709337367543867,0.0,0.4123283752860411,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.2432333333333332
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.547307132459971,0.0,0.9246321881879491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21461733333333335
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5362445414847163,0.0,0.41464475907997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6371199999999999
0.0,0.0,0.0,0.0,0.4945054945054945,0.0,0.0,0.5240174672489084,0.0,0.45464548858533504,0.0,0.0,0.0,0.0,0.0,0.0,0.47576832151300225,0.0,0.0,0.614856
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5179930240455235,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7533533333333333
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5441048034934499,0.0,0.3323029168108915,1.0,0.0,0.9892473118279569,0.0,0.0,0.0,0.5998817966903073,0.9940699126092384,0.0,0.59862
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.282387190684134,0.0,0.5663360238287387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.68352
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6139737991266379,0.0,0.5915644708000327,0.0,0.0,0.6814814814814814,0.0,0.0,0.0,0.0,0.0,0.0,0.35324666666666665
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.24046579330422135,0.0,0.27695126531152825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7148093333333333
0.0,0.0,0.0,0.0,0.18681318681318682,0.0,0.0,0.527802037845706,0.0,0.4881424094099982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4820346666666666
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4986899563318776,0.0,0.2726504254010451,1.0,0.0,0.6814814814814814,0.0,0.0,0.0,0.1758274231678487,0.0,0.0,0.6082413333333333
0.0,0.0,0.5921052631578947,0.0,1.0,0.0,0.0,0.24075691411935973,0.0,0.507489854458933,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8940066666666666
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24133915574963627,0.0,0.719802435606963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556732
0.0,0.0,0.0,0.17914161310387725,0.9964752228903173,0.0,0.0,0.0002911208151383793,1.0,0.8442811637079353,0.0,0.0,0.6814814814814814,0.0,0.0,0.0,0.0,0.9905660377358491,0.0,0.24739733333333333
0.0,0.0,0.4078947368421052,0.0,0.4945054945054945,0.0,0.0,0.2477438136826784,0.0,0.7873115287117765,0.0,0.0,0.0,0.0,0.0,0.0,0.47576832151300225,0.0,0.0,0.2885666666666667
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5481804949053859,0.0,0.5798573446510051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4693626666666667
0.0,0.0,0.0,0.18681318681318682,0.0,0.0,0.0,0.524599708879185,0.0,0.16883782471612951,0.0,0.0,0.9999999999999999,1.0,1.0,0.0,0.9411938534278959,0.9940699126092384,0.0,1.3117426666666667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5336244541484716,0.0,0.851927864522541,0.0,0.4078947368421052,0.0,0.0,0.0,0.0,0.0,0.9940699126092384,0.0,0.209924
0.0,0.0,0.0,0.0,0.18681318681318682,0.0,0.0,0.5508005822416304,0.0,0.7140070475504667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25899866666666665
0.0,1.0,0.0,0.13186813186813187,0.0,0.0,0.0,0.5464337700145563,0.0,0.1752939717056381,0.0,0.6051185656448814,0.6515262515262513,1.0,0.0,0.0,0.0,0.0,0.0,1.2718053333333335
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5286754002911209,0.0,0.566740160982611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9940699126092384,0.0,0.37926533333333334
0.0,0.0,0.5921052631578947,0.0,0.0,0.0,0.0,0.293740902474527,1.0,0.47369016297728717,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2446826666666666
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25793304221251834,0.0,0.7360234812789348,0.0,0.0,0.6888888888888887,0.0,0.0,0.0,0.9411938534278959,0.9940699126092384,0.0,0.22029333333333334
0.0,1.0,0.0,0.12087912087912082,0.0,0.0,0.0,0.543231441048035,0.0,0.2970085854076965,0.0,0.5921052631578947,0.0,0.0,0.0,0.0,0.9411938534278959,0.0,1.0,0.7528400000000001
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15196506550218336,0.0,0.4127900610958455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3324053333333333
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13077562902890416,0.0,0.3411048724589767,1.0,0.0,0.0,1.0,0.0,0.0,0.1551418439716312,0.16385767790262173,0.0,0.4911185714285714
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5292576419213977,0.0,0.5565904133097708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6566413333333333
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.24046579330422135,0.0,0.17871880543151386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9636733333333335
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.26841339155749644,0.0,0.7471775814025028,0.0,0.0,0.0,0.0,0.0,0.0,0.12411347517730495,0.0,0.0,0.32472
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24192139737991258,0.0,0.5803748787379859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5348346666666667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6429403202328969,0.0,0.4356206080780529,0.0,0.0,0.0,0.0,0.0,0.0,0.1758274231678487,0.0,0.0,0.5421428571428571
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.8532751091703057,0.0,0.39151570395674673,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8724173333333333
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5473071324599712,0.0,0.3321203463282041,0.0,0.0,0.0,0.0,0.0,0.0,0.939550606482402,0.0,0.0,0.6059533333333335
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2256186317321689,0.0,0.22145611129612996,1.0,0.0,0.0,1.0,0.0,0.0,0.1758274231678487,0.9940699126092384,0.0,0.6460373333333334
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5438136826783115,0.0,0.33426442441498905,1.0,0.0,0.9892473118279569,1.0,1.0,0.0,0.4654255319148936,0.0,0.0,0.6239933333333333
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5272197962154295,0.0,0.49528132696831717,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4962026666666667
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2786026200873364,0.0,0.652341247614074,0.0,0.0,0.6814814814814814,0.0,0.0,0.0,0.0,0.5024968789013732,1.0,0.503976
1.0,0.0,0.0,0.0,0.0,0.18681318681318682,0.0,0.6160116448326056,0.0,0.2907369267647444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7506106666666666
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25967976710334795,0.0,0.6258595716989466,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9940699126092384,0.0,0.533584
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07714701601164486,1.0,0.6778559485145337,0.0,0.0,0.0,1.0,0.0,0.0,0.1654846335697399,0.0,0.0,0.5247146666666667
0.0,0.0,0.5921052631578947,0.0,0.0,0.0,0.0,0.2870451237263465,0.0,0.2747802685193057,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9923343484196157,0.0,1.2819546666666668
0.0,0.0,0.0,0.18681318681318682,0.0,0.0,0.0,0.3601164483260555,0.0,0.6979607015374283,0.0,0.4078947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31694666666666665
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24133915574963627,0.0,0.4314847887757791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4915730337078652,0.0,0.73458
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3764192139737992,0.0,0.6322033479867,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6554307116104869,0.0,0.4403066666666666
0.0,0.0,0.5921052631578947,0.0,0.0,0.0,0.0,0.24628820960698694,0.0,0.3738012074562409,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0538293333333333
0.0,0.0,0.4078947368421052,0.0,0.0,0.0,0.0,0.3169889789977127,0.0,0.7472585418013233,0.0,0.0,0.0,0.0,0.0,0.0,0.1758274231678487,0.0,0.0,0.31170857142857145
1.0,0.0,0.0,0.13186813186813187,0.0,0.0,0.0,0.5263464337700146,0.0,0.40912558599784044,0.0,0.0,0.0,1.0,0.0,0.0,0.9411938534278959,0.0,0.0,0.6185226666666667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32260345186109407,0.0,0.8486348308883715,0.0,0.0,0.6814814814814814,0.0,0.0,0.0,0.0,0.0,0.0,0.3376685714285715
0.0,0.0,0.0,0.0,0.5054945054945055,0.0,0.0,0.41834061135371203,0.0,0.28600482730025023,0.0,0.0,0.9892473118279569,1.0,1.0,0.0,0.0,0.0,0.0,0.5516866666666667
0.0,0.0,0.0,0.0,0.5054945054945055,0.0,0.0,0.5438136826783115,0.0,0.708674615870664,1.0,0.0,0.6888888888888887,0.0,0.0,0.0,0.0,0.0,0.0,0.367896
0.0,0.0,0.0,0.0,0.0,0.18681318681318682,0.0,0.6498024537325846,0.0,0.32383875605916934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9940699126092384,0.0,0.9416628571428571
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6072780203784571,0.0,0.05613683099445721,0.0,0.5921052631578947,0.0,1.0,0.0,0.0,0.0,0.16385767790262173,0.0,1.7238466666666665
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.260844250363901,0.0,0.4538069293589806,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6948453333333333
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8672489082969432,0.0,0.0,0.0,0.5921052631578947,0.0,1.0,0.0,0.0,0.18085106382978722,0.0,0.0,1.8426026666666668
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2942191723851113,0.0,0.09557417299645676,0.0,0.4078947368421052,0.0,0.0,0.0,0.0,0.9411938534278959,0.9940699126092384,0.0,0.762017142857143
0.0,0.0,0.5985411899313501,0.0,0.0,0.0,0.0,0.5260553129548764,0.0,0.3377036295179132,0.0,0.0,0.0,1.0,0.0,1.0,0.939550606482402,0.9923343484196157,0.0,1.065753333333333
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5857350800582244,0.0,0.6086282130043452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.595848
0.0,1.0,0.0,0.18681318681318682,0.0,0.0,0.0,0.5097525473071325,0.0,0.26156539826552727,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0781173333333334
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5251819505094615,0.0,0.8545974461691772,0.0,0.0,0.0,0.0,0.0,0.0,0.12411347517730495,0.0,0.0,0.231924
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28529839883551666,1.0,0.883740833206327,0.0,0.4078947368421052,0.0,0.0,0.0,0.0,0.0,0.9940699126092384,0.0,0.24022533333333332
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5155749636098983,0.0,0.6060784296561401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9940699126092384,0.0,0.33155466666666666
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1487627365356623,1.0,0.8964318777442424,0.0,0.0,0.6814814814814814,0.0,0.0,0.0,0.0,0.9940699126092384,0.0,0.24458133333333335
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25967976710334795,0.0,0.7328349053146672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20484933333333333
0.0,0.0,0.0,0.0,0.16483516483516483,0.0,0.0,0.2631732168850074,0.0,0.4502802800635419,0.0,0.0,0.0,1.0,0.0,0.0,0.12411347517730495,0.0,0.0,0.7376306666666667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333334,0.0,0.16844740709376493,0.0,0.0,0.9892473118279569,1.0,1.0,0.0,0.0,0.0,0.0,1.189276
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5470160116448328,0.0,0.8191678769124837,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19436266666666668
0.0,0.0,0.0,0.0,0.5054945054945055,0.0,0.0,0.1304221251819505,0.0,0.501020522018448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.478632
0.0,0.0,0.0,0.0,0.0,0.054945054945054826,0.0,0.2925764192139739,0.0,0.6306616111842622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4915730337078652,0.0,0.2901066666666667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06491994177583693,0.0,0.5230162226831401,1.0,0.0,0.6814814814814814,0.0,0.0,0.0,0.47576832151300225,0.0,0.0,0.15725599999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24687045123726348,0.0,0.4741301542514784,0.0,0.0,1.6707287933094384,1.0,1.0,0.0,0.0,0.9940699126092384,0.0,0.7971773333333334
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5251819505094615,0.0,0.8002659305558568,0.0,0.4078947368421052,0.0,0.0,0.0,0.0,0.3206264775413711,0.9940699126092384,0.0,0.22948933333333332
1.0,0.0,0.0,0.0,1.0,0.054945054945054826,0.0,0.3806196714493659,0.0,0.10021157236464306,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7127371428571428
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25269286754002906,0.0,0.719932192367061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5024968789013732,0.0,0.263032
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2745269286754004,0.0,0.5891145497656995,0.0,0.0,0.0,0.0,0.0,0.0,0.9411938534278959,0.9940699126092384,1.0,0.6576799999999999
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29112081513828225,0.0,0.3182983181763479,0.0,0.0,0.6814814814814814,0.0,0.0,0.0,1.1170212765957446,0.9940699126092384,0.0,0.20636
0.0,1.0,0.0,0.18681318681318682,0.0,0.0,0.0,0.5455604075691411,0.0,0.16820496907257887,0.0,0.5852402745995423,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.7067453333333333
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5967976710334792,0.0,0.6471567236893399,0.0,0.0,0.6814814814814814,0.0,0.0,0.0,0.0,0.0,0.0,0.2908693333333333
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6590975254730715,0.0,0.38644526761069375,0.0,0.0,0.0,0.0,0.0,0.0,0.9411938534278959,0.9940699126092384,0.0,0.5801986666666666
1.0,0.0,0.0,0.18681318681318682,0.0,0.0,0.0,0.4241630276564776,0.0,0.15790955911240534,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.055912
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5441048034934499,0.0,0.6100884768901103,1.0,0.0,0.6814814814814814,0.0,0.0,0.0,0.1758274231678487,0.0,0.0,0.39322799999999997
0.0,0.0,0.4078947368421052,0.0,0.0,0.0,0.0,0.260844250363901,0.0,0.7238751467201814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9940699126092384,0.0,0.21056933333333333
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2593886462882098,0.0,0.32361007462981295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9940699126092384,0.0,0.603416
0.0,0.0,0.4078947368421052,0.0,0.0,0.0,0.0,1.0724890829694322,0.0,0.6418260036039736,0.0,0.0,0.0,0.0,0.0,0.0,0.1758274231678487,0.0,0.0,0.336512
