display_bronze,display_platinum,within_display_bronze,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,promo_ins,Vol.Sales
0.0,0.0,0.0,0.0,0.4945054945054945,0.0,0.0,0.9989445910290238,1.0,0.13298579347727824,0.0,1.0,1.0,1.0,0.0,0.0,0.18681318681318682,0.0,5.158891612903226
1.0,0.0,0.8513513513513513,0.0,0.0,0.0,0.0,0.6627968337730872,0.0,0.4695321732875173,0.0,0.0,0.0,0.0,0.0,0.5164835164835164,0.0,1.0,1.4147793548387095
0.0,1.0,0.0,0.6593406593406593,0.0,0.0,0.0,0.005804749340369231,0.0,0.0848514753368299,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.9829832258064513
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4846086191732628,0.0,0.8817202090035368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4332225806451613
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8010554089709765,0.0,0.9243419393043268,1.0,0.0,0.0,0.0,0.0,0.3406593406593406,0.0,0.0,0.39107354838709674
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9903254177660514,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8461538461538461,0.0,5.295913548387096
1.0,0.0,0.3506493506493506,0.0,0.0,0.4945054945054945,0.0,0.8017590149516272,0.0,0.2355746554114675,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6384761290322578
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8395778364116095,0.0,0.8556126442446397,0.0,0.0,1.0,0.0,0.0,0.0,0.18681318681318682,0.0,0.47039548387096775
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6684256816182936,0.0,0.8675848700876334,0.0,0.0,0.0,0.0,0.0,0.6593406593406593,0.0,0.0,0.42487741935483875
0.0,0.0,0.0,0.0,0.0,0.3406593406593406,0.0,0.6675461741424802,0.0,0.04587451199469905,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.6809974193548385
0.0,0.0,0.0,0.0,0.0,0.3438430728150354,0.0,0.030430958663148377,0.0,0.6208410282411365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3968070967741935
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005277044854881341,0.0,0.4030614493198348,0.0,0.0,0.0,0.0,0.0,0.6593406593406593,0.6593406593406593,1.0,1.2283025806451613
0.0,0.0,0.0,0.0,0.0,0.3406593406593406,0.0,0.014423922603342021,0.0,0.3683090840573491,0.0,0.0,0.0,0.0,0.0,0.6593406593406593,0.6593406593406593,1.0,1.0681651612903227
1.0,0.0,0.7792207792207793,0.0,0.3438430728150354,0.0,1.0,0.4884784520668426,0.0,0.4584954633857201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4092587096774192
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3393139841688655,0.0,0.49434621945335433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2184270967741935
0.0,1.0,0.0,0.0,0.0,0.3406593406593406,0.0,0.6489006156552333,0.0,0.08881605275140725,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5672541935483872
0.0,0.0,0.2207792207792207,0.0,0.0,0.0,0.0,0.4673702726473177,0.0,0.49051270850909345,1.0,0.0,0.0,0.0,0.0,0.6593406593406593,0.0,1.0,0.7677161290322582
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48619173262972737,0.0,0.8797032087265864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.529625806451613
0.0,0.0,0.2207792207792207,0.0,0.0,0.0,0.0,0.7401934916446788,0.0,0.8311701962148947,0.0,0.0,0.0,0.0,0.0,0.3438430728150354,0.3438430728150354,0.0,0.45245290322580645
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4788038698328936,0.0,0.12168989453533996,1.0,0.0,1.0,0.0,0.0,0.3406593406593406,0.0,0.0,5.599697419354839
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4853122251539139,0.0,0.8512162626160418,0.0,0.0,0.0,0.0,0.0,0.33275136078874396,0.33275136078874396,1.0,0.5060290322580645
0.0,0.0,0.0,0.4945054945054945,0.0,0.0,0.0,0.0462620932277924,0.0,0.22559096443311688,0.0,1.0,1.0,1.0,0.0,0.0,0.4945054945054945,0.0,1.5369922580645161
0.0,0.0,0.0,0.0,0.6544110095511964,0.0,0.0,0.8065083553210202,0.0,0.9159256596040248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38604645161290324
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7019885032560773,0.0,0.0,0.0,0.0,0.0,0.4945054945054945,0.0,0.0,0.4649122580645161
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004221635883904895,0.0,0.3664210182592176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9213864516129032
