display_bronze,display_platinum,within_promo_ins,within_display_gold,within_display_bronze,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,promo_ins,Vol.Sales
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.002028397565922768,0.0,0.7705351379153638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2503636363636363
0.0,0.0,0.6593406593406593,0.0,0.0,0.12087912087912082,0.0,0.0,0.0,0.33367139959432046,0.0,0.8592313260216469,0.0,0.9793814432989691,0.0,0.0,0.0,0.0,0.8425925925925926,0.0,0.0,1.7956272727272726
0.0,0.0,0.0,0.0,0.0,0.17582417582417578,0.0,0.0,0.0,0.5703177822853279,0.0,0.6296074079279306,0.0,0.5060137457044672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0048981818181817
0.0,0.0,0.0,0.0,0.0,0.0,0.9982540823662319,0.0,0.0,0.0,0.0,0.6440002883621934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.498970909090909
0.0,0.0,0.0,0.0,0.4945054945054945,0.0,1.0,0.0,0.0,0.3417849898580122,0.0,0.7926000905484227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5641109090909089
1.0,0.0,0.0,0.6593406593406593,0.0,0.0,0.0,0.0,0.0,0.34584178498985796,0.0,0.6813756025591564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2486836363636364
0.0,0.0,0.0,0.0,0.6593406593406593,0.0,0.0,0.0,0.0,0.025016903313049177,0.0,0.3354918610078803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8375272727272727
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33434753211629464,0.0,0.7400446120749424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92648
0.0,0.0,0.0,0.0,0.0,0.0,0.4945054945054945,0.0,0.0,0.6274509803921567,0.0,0.8284611356906448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2966745454545454
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3309668695064233,0.0,0.7401672767811518,1.0,0.0,0.34065934065934056,0.0,0.0,0.0,0.4259259259259259,0.0,0.0,1.595498181818182
