promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Packsize,Wtd.Selling.Dist,WeekNum,Month,Product.Type_Product.Type 3,Vol.Sales
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.0,0.029913657081106992,0.6370942635869541,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.4761904761904763,0.0,0.03556410862027297,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.4285714285714286,0.0,0.14280487874014508,0.5547109406447217,1.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,0.38095238095238093,0.0,0.6699081910250867,0.46202214084478355,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.38095238095238093,0.961,1.0,1.0,0.0,4.13204
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.05,0.21288218692767685,0.36639852944189766,0.0,0.00154
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.948,0.09090051248891608,0.5547109406447217,1.0,0.74932
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.0,0.03556410862027297,1.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.38095238095238093,0.006999999999999999,0.59011803541638,0.36639852944189766,0.0,0.00066
0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.35200000000000004,0.025813586808068986,0.1001976870175808,0.0,0.0116
1.0,0.0,0.0,0.0,0.0,1.0,0.38095238095238093,0.878,0.2478520833182949,0.4150025323459694,0.0,1.71314
0.0,1.0,0.0,0.0,1.0,0.0,0.38095238095238093,0.0,0.2478520833182949,0.4150025323459694,0.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.4761904761904763,0.0,0.341452959488815,0.5547109406447217,1.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.4285714285714286,0.0,0.14395780137397712,0.6370942635869541,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.4761904761904763,1.0,0.14280487874014508,0.5547109406447217,0.0,5.03304
0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.004,0.08139930068064598,0.5547109406447217,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.03556410862027297,1.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.59011803541638,0.36639852944189766,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,0.2857142857142857,0.998,0.9243405525225314,0.6370942635869541,0.0,3.2708
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.28951375123532463,0.07278704844727868,0.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.38095238095238093,0.0,0.27658729686910427,0.30930977890333167,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.38095238095238093,0.0,0.10357710652917206,0.30930977890333167,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.4285714285714286,0.0,0.13197885965322392,0.36639852944189766,0.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.5714285714285714,0.9990000000000001,0.59011803541638,0.36639852944189766,0.0,6.89234
