display_bronze,within_promo_ins,within_display_gold,cross_box_Price,within_display_bronze,cross_box_Wtd.Selling.Dist,cross_box_promo_catalogue,promo_ins,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,within_Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,within_Price,promo_catalogue,display_silver,display_gold,within_promo_catalogue,cross_box_display_bronze,cross_box_promo_ins,display_platinum,Vol.Sales
0.0,0.5023627008295705,0.0,0.7552350259463578,0.0,0.6279502383443787,0.0,0.0,0.0,0.0,0.0,0.0,0.8588588588588588,0.021766429468395465,0.0,0.9156944092428017,0.0,0.0,0.0,0.5549712240373843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0108
0.0,0.0,0.0,0.4753637388665011,0.0,0.686315544704104,0.0,0.0,0.0,0.0,0.0,0.0,0.9989989989989989,0.5282544997907079,0.0,0.013899504085497227,0.0,0.17582417582417578,0.0,0.8305142805719674,1.0,0.0,0.0,0.17582417582417578,0.0,0.0,1.0,7.0902
0.0,0.9904761904761904,0.17917320774463633,0.3768300572697818,0.0,0.0,0.3406593406593406,0.0,0.0,0.0,0.3406593406593406,0.0,0.0,0.5056150212282482,1.0,0.9408837095994755,0.0,0.9966509680795396,0.0,0.4054532026501212,0.0,0.0,0.0,0.17917320774463633,0.0,0.20779220779220775,0.0,0.0
0.0,0.0,0.0,0.8144335700528975,0.0,0.8615277293337984,0.6593406593406593,0.0,0.0,0.0,0.6593406593406593,0.0,0.9989989989989989,0.38112180828798614,0.0,0.9446868501715624,0.0,0.5054945054945055,0.0,0.3061958953884636,0.0,0.0,0.0,0.5054945054945055,0.0,0.0,0.0,2.2854
0.0,0.0,0.0,0.6271320461581018,0.0,0.26659690733635655,0.0,0.0,0.0,0.0,0.0,0.0,0.8588588588588588,0.04499790707408824,0.0,0.9149691584763868,0.0,0.0,0.0,0.8974764590576418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44392
0.0,0.0,0.0,0.46901062864572474,0.0,0.45459830252296296,0.0,0.0,0.0,0.0,0.0,0.0,0.9989989989989989,0.5988018986392039,0.0,0.9365140444574642,0.0,0.9983412813601493,0.0,0.201687690122208,0.0,0.0,0.0,0.9983412813601493,0.0,0.0,0.0,2.11224
0.0,0.0,0.17582417582417578,0.296848758025992,0.0,1.0,0.6593406593406593,0.0,0.0,0.0,0.0,0.0,0.947947947947948,0.3545416492256175,0.0,0.9207473130125692,0.0,0.0,0.0,0.7664392428210771,0.0,0.0,1.0,0.0,1.0,0.4025974025974025,0.0,3.55836
0.0,0.0,0.0,0.7344023353223887,0.0,0.4395152921796752,0.0,0.0,0.0,0.0,0.0,0.0,0.8548548548548549,0.13624947676852184,0.0,0.9215472996146481,0.0,0.0,0.0,0.8607803051221801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.60308
0.0,0.0,0.0,0.743505070611131,0.0,0.7224741309150104,0.3406593406593406,0.0,0.0,0.0,0.0,0.0,0.9989989989989989,0.6310171619924656,0.0,0.019004003718869455,0.0,0.17582417582417578,0.0,0.879769075345604,1.0,0.0,0.0,0.17582417582417578,0.3406593406593406,0.0,1.0,6.25404
0.0,0.0,0.17582417582417578,0.25231167363422724,0.0,0.641595684918185,0.6544110095511964,0.0,0.0,0.6544110095511964,0.0,0.0,0.997997997997998,0.9820008371703643,0.0,0.955841536895381,0.0,0.0,0.0,0.8852729268463069,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.14544
1.0,0.0,0.0,0.4099208342405234,0.1538461538461538,0.5878386234158817,0.6593406593406593,0.0,0.0,0.6593406593406593,0.0,0.0,0.9989989989989989,0.7596858196219847,0.0,0.9507935336064346,0.0,0.0,0.0,0.8214166703854708,0.0,0.0,0.0,0.49746407438715134,0.0,0.0,0.0,4.02844
0.0,0.0,0.0,0.39218230217880823,0.4205607476635514,0.5299383792582257,0.6593406593406593,0.0,0.0,0.0,0.6593406593406593,0.0,0.996996996996997,0.6527835914608611,0.0,0.956027644005113,1.0,0.0,0.0,0.7964594203994091,0.0,0.0,0.0,0.4945054945054945,0.0,0.0,0.0,3.33164
0.0,0.16381392418355553,0.0,0.4390589365638444,0.0,0.8521102197418906,0.6593406593406593,0.0,0.0,0.6593406593406593,0.0,0.0,0.9989989989989989,0.8599832565927175,0.0,0.9569581541330745,0.0,0.0,0.0,0.8031266162650956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25004
1.0,0.0,0.0,0.48451299029991635,0.102803738317757,0.5107480438592775,0.3438430728150354,0.0,0.0,0.0,0.0,0.0,1.0,0.8208455420678114,0.0,0.9432302410299034,0.0,1.0,0.0,0.35330257051320313,0.0,0.0,0.0,1.0,0.3438430728150354,0.22284257798276488,0.0,3.43512
0.0,0.0,0.0,0.6871093426704578,0.0,0.3448436228345546,0.6593406593406593,0.0,0.0,0.0,0.0,0.0,0.997997997997998,0.2909167015487659,0.0,0.9494737314627582,0.0,0.0,0.0,0.8673315222495424,0.0,0.0,0.0,0.0,0.6593406593406593,0.0,0.0,3.10856
0.0,0.9938044733802373,0.0,0.8787552304202038,0.0,0.6850366236484131,0.0,0.0,0.0,0.0,0.0,0.0,0.9989989989989989,0.5269987442444526,0.0,0.9302406287751346,0.0,0.0,0.0,0.5484194422891289,0.0,0.0,0.0,0.0,0.3406593406593406,0.4025974025974025,0.0,3.65716
