display_bronze,within_promo_ins,within_display_gold,cross_box_Price,within_display_bronze,cross_box_Wtd.Selling.Dist,cross_box_promo_catalogue,promo_ins,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,within_Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,within_Price,display_silver,display_gold,within_promo_catalogue,cross_box_display_bronze,cross_box_promo_ins,display_platinum,Vol.Sales
0.0,0.0,0.0,0.6646613307700262,0.9381443298969072,0.7052668294384374,0.0,0.0,0.0,0.6593406593406593,0.0,0.0,0.09810935104752194,0.5149340017944852,0.0,0.6577987121104387,0.0,0.0,0.0,0.0,0.3847526604636835,0.0,1.0,1.0,0.0,0.7792207792207793,0.0,3.2265272727272727
0.0,1.0,0.06593406593406585,0.4610295707238512,0.9381443298969072,0.3833036149893463,0.6655027215774879,0.0,0.0,0.0,0.6655027215774879,0.0,0.03781297904956582,0.3982809016825626,0.0,0.4763470622082231,0.0,0.0,0.0,0.0,0.3955912824666914,0.0,1.0,0.0,0.0,0.0,0.0,2.2323763636363636
0.0,0.5054945054945055,0.0,0.6539916836037554,0.0,0.6279502383443787,0.0,0.0,0.0,0.0,0.0,0.0,0.0025549310168626604,0.11400762193712,0.0,0.3480310847537078,0.0,0.0,0.0,0.0,0.5786495574853951,0.0,0.0,0.0,0.0,0.0,0.0,1.7334163636363635
0.0,0.0,0.0,0.2333486609331894,0.0,0.711312638065341,0.6593406593406593,0.0,0.0,0.6593406593406593,0.0,0.0,0.0275932549821154,0.5680979381920106,0.0,0.6045770284828098,0.0,0.0,0.0,0.0,0.8431005416087025,0.0,0.0,0.0,0.0,0.0,0.0,2.315550909090909
0.0,0.4945054945054945,0.0,0.42369692486018273,0.0,0.25927217765376165,0.4945054945054945,0.0,0.0,0.0,0.0,0.0,0.0015329586101173742,0.13377933382049578,0.0,0.6030937595299184,0.0,0.0,0.0,0.0,0.8496522011602501,0.0,0.0,0.0,0.4945054945054945,0.0,0.0,2.1115963636363637
0.0,0.0,0.0,0.4559467784430691,0.0,0.5401697477037555,0.3406593406593406,0.0,0.0,0.0,0.3406593406593406,1.0,0.6014307613694432,0.7840489690960042,0.0,0.48108073697523945,0.0,0.0,0.0,0.0,0.9136302010369066,0.0,0.0,0.0,0.0,0.0,0.0,2.1109963636363633
0.0,0.0,0.0,0.6452949324897874,0.4742268041237113,0.4379723287989763,0.0,0.0,0.0,0.0,0.0,0.0,0.03679100664282098,0.8185396220481196,0.0,0.07508421202424209,0.0,0.4945054945054945,0.0,0.0,0.3663491952497697,0.0,0.0,1.0,0.0,0.0,0.0,1.8653672727272728
0.0,1.0,0.0,0.7023876609964219,0.9381443298969072,0.48703639111731256,0.0,0.0,0.0,0.0,0.0,0.0,0.03014818599897806,0.744066173954065,0.0,0.6620289134373021,0.0,0.0,0.0,0.0,0.6163957146440131,0.0,0.0,0.0,0.0,0.0,0.0,1.9651254545454548
0.0,0.0,0.0,0.45908073534156824,0.0,0.7370073247296829,0.3406593406593406,0.0,0.0,0.0,0.0,0.0,0.03168114460909566,0.8176608792977462,0.0,0.3468859611304964,1.0,0.5054945054945055,0.0,0.0,0.35207453877203587,0.0,0.0,0.5054945054945055,0.3406593406593406,0.0,0.0,1.4871563636363638
0.0,0.0,0.0,0.5938333094524388,0.9375,0.5331938146727127,0.4945054945054945,0.0,0.0,0.0,0.0,1.0,0.19468574348492584,0.8244070606209166,0.0,0.5761940731987716,0.0,0.0,0.0,0.0,0.31836787104564124,0.0,0.0,0.9993131868131868,0.4945054945054945,0.0,0.0,1.6338854545454546
0.0,0.0,0.0,0.5496279650147002,0.4742268041237113,0.47401464945936533,0.3406593406593406,0.0,0.3406593406593406,0.0,0.0,0.0,0.0015329586101173742,0.27767345919396247,0.0,0.5990695089993956,0.0,0.4945054945054945,0.0,0.0,0.27505276292743464,0.0,0.0,1.0,0.0,0.0,0.0,1.6973145454545453
0.0,0.0,0.0,0.2700635553287354,0.0,0.520055807464249,0.3406593406593406,0.0,0.0,0.0,0.0,0.0,0.5263157894736845,0.8121687371079189,0.0,0.4649229726005526,0.0,1.0,0.0,0.0,0.22204316930651746,0.0,0.0,1.0,0.0,0.9999999999999999,0.0,1.5242236363636363
0.0,0.0,1.0,0.5510260341847264,0.0,0.572259039646553,0.0,0.0,0.0,0.0,0.0,0.0,0.5513541134389368,0.8057978521677192,1.0,0.558489676179649,0.0,0.0,0.0,0.0,0.1895401614943717,0.0,0.0,1.0,0.4945054945054945,0.9999999999999999,0.0,2.0238709090909093
0.0,0.0,0.06593406593406585,0.4320212337916951,0.0,0.9326822462504358,0.3406593406593406,0.0,0.0,0.3406593406593406,0.0,0.0,0.005620848237097631,0.42442349850613814,0.0,0.6034007082978228,0.0,0.0,0.0,0.0,0.4436619084441533,0.0,1.0,0.5054945054945055,0.0,0.0,0.0,1.5989018181818182
0.0,0.0,0.0,0.4665343807162987,0.0,0.47261946285315704,0.6593406593406593,0.0,0.6593406593406593,0.0,0.0,0.0,0.0010219724067452862,0.26515137500115715,0.0,0.6025514903373885,0.0,0.0,0.0,0.0,0.7400134715349562,0.0,0.0,0.4945054945054945,0.12087912087912082,0.1428571428571428,0.0,1.755949090909091
