display_bronze,within_display_bronze,promo_ins,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,display_platinum,Vol.Sales
0.0,0.7301587301587301,0.0,0.0,0.0,0.0,0.0,0.9974760222110044,0.6147301151913993,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9412977777777778
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6441191317516402,0.9628139827758151,0.0,0.3695652173913043,0.0,0.0,0.0,0.0,0.3406593406593406,0.0,0.0,0.18262588888888887
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7970721857647649,0.9824234251808379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21126655555555554
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8551236749116606,0.706591640964227,0.0,1.0,0.0,1.0,0.0,0.0,0.4945054945054945,0.0,1.0,0.6207843333333334
0.0,0.2698412698412698,0.0,0.0,0.0,0.3406593406593406,0.0,0.5002523977788993,0.862839128298547,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20375477777777778
0.0,0.1904761904761904,0.0,0.0,0.0,0.0,0.0,0.0015143866733975386,0.6122138016087151,0.0,0.326086956521739,0.0,1.0,0.0,0.0,0.3406593406593406,0.18681318681318682,0.0,0.3470927777777778
1.0,0.7301587301587301,1.0,0.0,0.0,0.0,0.0,0.6456335184250377,0.7957480067907907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41658655555555557
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5295305401312467,0.8678111491492606,0.0,0.0,0.0,0.0,0.0,0.0,0.8351648351648352,0.8351648351648352,0.0,0.23567033333333337
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00201918223119657,0.8317019057515163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.18681318681318682,0.0,0.16006077777777777
0.0,0.7301587301587301,0.0,0.3406593406593406,0.0,0.0,0.0,0.9818273599192322,0.6132661947350124,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.2941262222222223
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.673902069661787,0.6148164334729689,0.0,0.9940392706872371,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.4500131111111112
0.0,0.1904761904761904,0.0,0.0,0.0,0.0,0.0,0.14992428066633012,0.9935705634876477,0.0,0.0,0.0,0.0,0.0,0.0,0.1331005443154975,0.0,0.0,0.18991455555555556
1.0,0.7301587301587301,0.0,0.0,0.0,0.0,0.0,0.003028773346794633,0.6991203867977127,0.0,0.0,0.0,1.0,0.0,0.0,0.7802197802197802,0.12087912087912082,0.0,0.5340254444444444
0.0,0.0,0.0,0.6593406593406593,0.0,0.0,0.0,0.9924280666330136,0.6128671824017964,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.39086544
0.0,0.2698412698412698,0.0,0.0,0.0,0.3406593406593406,0.0,0.0,0.831063771454609,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13204944444444444
0.0,0.2698412698412698,0.0,0.0,0.0,0.0,0.0,0.0015143866733975386,0.7962879363872695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.0,0.17987455555555557
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5032811711256939,0.7707923290260101,0.0,0.0,0.0,0.0,0.0,0.0,0.6593406593406593,0.6593406593406593,0.0,0.5012863333333333
0.0,0.0,0.0,0.0,0.0,0.3406593406593406,0.0,0.003028773346794633,0.8338373465544855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1768687777777778
0.0,0.0,0.0,0.4945054945054945,0.0,0.0,0.0,0.00201918223119657,0.26813122437390113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18681318681318682,0.0,0.20264155555555557
1.0,0.0,0.0,0.3406593406593406,0.0,0.0,0.0,0.9934376577486113,0.6138258471609177,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.214793111111111
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00201918223119657,0.11871995690605974,0.0,0.0,0.0,1.0,0.0,1.0,0.4945054945054945,0.8461538461538461,0.0,0.4839258888888888
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4921756688541139,0.8686193479170452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11996933333333334
0.0,0.0,0.0,0.0,0.6593406593406593,0.0,0.0,0.5986875315497224,0.9305333534758864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17378588888888888
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50530035335689,0.6345266848092743,0.0,1.0,0.10869565217391297,1.0,0.0,0.0,0.6544110095511964,0.0,1.0,1.5327016666666666
0.0,0.0,0.0,0.0,0.0,0.3406593406593406,0.0,0.0025239777889956017,0.6530500973233595,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.2045187777777777
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.503785966683493,0.9052816905385708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22031466666666663
0.0,0.0,0.0,0.0,0.6544110095511964,0.0,0.0,0.0015143866733975386,0.8332705422618929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11477177777777776
0.0,0.0,1.0,0.3406593406593406,0.0,0.0,0.0,0.0015143866733975386,0.7430086909578444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18681318681318682,0.0,0.3075174444444444
