display_bronze,display_platinum,within_promo_ins,within_display_gold,cross_box_Price,within_display_bronze,cross_box_Wtd.Selling.Dist,cross_box_promo_catalogue,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,within_Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,within_Price,promo_catalogue,display_silver,display_gold,within_promo_catalogue,cross_box_display_bronze,cross_box_promo_ins,promo_ins,Vol.Sales
0.0,0.0,0.0,0.6547080370609782,0.581959904062316,0.0,0.821355236139631,1.0,0.0,0.0,0.5054945054945055,1.0,0.1249999999999929,0.5699182208356701,0.0,0.6177827341115751,0.0,0.5116013071895423,0.0,0.0,0.0,0.0,0.0,0.9987071751777633,0.0,0.0,0.0,0.32448
0.0,0.0,0.0,0.0,0.8973151200344098,0.0,0.03429158110882913,0.0,0.0,0.0,0.0,0.0,1.0,0.2661083973016978,0.0,0.6130779935796653,0.0,0.0,0.0,0.540561840126542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.952848
0.0,0.0,0.0,0.0,0.8991793497481195,0.0,0.8784394250513348,0.0,0.0,0.0,0.0,1.0,0.1249999999999929,0.5422191207257501,0.0,0.6163740552829395,0.0,0.0,0.5116504854368931,0.4537326340376282,0.0,0.0,0.0,0.34065934065934056,0.0,0.0,0.0,0.7744880000000001
0.0,0.0,0.5657894736842104,0.0,0.593485256644783,0.0,0.8301848049281331,0.0,0.0,0.0,0.0,0.0,0.0,0.5448941614328908,0.0,0.6211798584212325,0.0,0.0,0.0,0.4778586409101466,0.0,0.0,0.0,0.6593406593406593,0.0,0.6554307116104869,1.0,0.8451040000000001
0.0,0.0,0.0,0.34065934065934056,0.6414728198633881,0.0,0.14250513347022675,0.4945054945054945,0.0,0.0,0.0,0.0,1.0,0.4639451035124442,0.0,0.6210290108091812,0.0,0.0,0.0,0.6264855014728283,0.0,0.0,0.0,0.34065934065934056,0.4166666666666667,0.0,0.0,1.529528
0.0,0.0,0.9473684210526315,0.0,0.2100111592471201,0.0,0.8745379876796715,1.0,0.0,1.0,0.0,0.0,0.1666666666666643,0.5219818562456386,0.0,0.6206858950964609,0.0,0.0,0.0,0.2684776199301204,0.0,0.0,0.0,0.34065934065934056,0.0,0.0,1.0,0.966056
0.0,0.0,0.0,0.0,0.47799117923458656,0.49450549450549447,0.029774127310061793,0.0,0.0,0.0,0.0,0.0,1.0,0.6781809723191436,0.0,0.6150419189074761,0.0,0.0,0.0,0.23238900681930375,0.0,0.0,0.0,0.49450549450549447,0.0,0.9940699126092384,0.0,1.029912
0.0,0.0,0.0,0.0,0.7267109571601473,0.0,0.2841889117043124,0.4945054945054945,0.0,0.4945054945054945,0.0,0.0,0.2083333333333357,0.3815342373283346,0.0,0.6204179635374594,0.0,0.5116013071895423,0.0,0.28382615582373827,0.0,0.0,0.0,0.34399913811678506,0.1111111111111111,0.0,0.0,1.6001439999999998
0.0,0.0,0.0,0.6658047834518422,0.5565776463667484,0.0,0.5786581972403999,0.0,0.0,0.0,0.0,0.0,0.4166666666666643,0.7207193647405457,0.0,0.5893543573160969,0.0,0.0,0.0,0.5885661002991673,0.0,0.0,0.0,0.6658047834518422,0.8411214953271028,0.9923343484196157,0.0,1.230008
0.0,0.0,0.0,0.0,0.5075112071984789,0.0,0.7047227926078028,0.0,0.0,1.0,0.0,0.0,0.9583333333333286,0.9132356361944631,0.0,0.6125987145473246,0.0,0.0,0.0,0.29385489866445,0.0,0.0,0.0,0.0,0.0,0.9940699126092384,0.0,0.7416240000000001
0.0,0.0,0.14473684210526305,0.0,0.6278240497655201,0.0,0.22238193018480512,0.0,0.0,0.0,0.0,0.0,0.1666666666666643,0.0,1.0,0.9966689318633222,0.0,0.0,0.0,0.36749181447902135,0.0,0.0,0.0,0.6593406593406593,0.0,0.0,1.0,1.1599119999999998
0.0,0.0,0.41189370485036103,0.0,0.8287398356163287,0.34399913811678506,0.5043121149897338,0.0,0.0,0.0,0.0,0.0,0.2083333333333357,0.4956921126208096,0.0,0.6214431763595414,0.0,0.0,0.0,0.10875276685769553,0.0,0.0,0.0,0.0,0.1574074074074074,0.0,0.0,0.7468239999999999
0.0,0.0,0.0,0.6593406593406593,0.5615003584689404,0.0,0.5571033794546043,0.0,0.0,0.0,0.0,0.0,0.2916666666666643,0.7052802977436614,0.0,0.59699530754542,0.0,0.0,0.0,0.6366250709795738,0.0,0.0,0.0,0.6593406593406593,0.0,0.9923343484196157,0.0,0.328328
0.0,0.0,0.0,0.0,0.5152537177695997,0.0,0.9201232032854216,0.0,0.0,0.0,0.18681318681318682,0.0,0.0833333333333286,0.5776696815036781,0.0,0.6174121332729463,0.0,0.0,0.0,0.3655305745564439,0.0,0.0,0.0,0.0,0.0,0.9940699126092384,0.0,0.49618399999999996
0.0,0.0,0.9342105263157894,0.0,0.6499022763027709,0.0,0.24127310061601737,0.0,0.0,0.0,0.0,0.0,0.0833333333333286,0.009653407769249167,1.0,0.9956874998689109,0.0,0.0,0.0,0.6024205629038972,0.0,0.0,0.0,0.0,0.1481481481481481,0.0,1.0,1.3547040000000001
0.0,0.0,0.0,0.0,0.8757769900851589,0.34065934065934056,0.6379876796714576,0.18681318681318682,0.0,0.18681318681318682,0.0,0.0,0.2916666666666643,0.724121888811351,0.0,0.6235865128759777,0.0,0.0,0.0,0.6409052653666558,0.0,0.0,0.0,0.34065934065934056,0.0,0.0,0.0,1.036984
