display_bronze,within_display_gold,cross_box_Price,within_display_bronze,cross_box_Wtd.Selling.Dist,cross_box_promo_catalogue,promo_ins,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,within_Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,display_platinum,Vol.Sales
0.0,1.0,0.5510260341847264,0.0,0.5730037140204272,0.0,0.0,0.0,0.0,0.0,0.0,0.08562300319488836,0.9912760862127952,1.0,0.5716403916676631,0.0,0.0,0.0,1.0,0.0,1.0,0.4945054945054945,0.9999999999999999,0.0,0.7917653333333333
0.0,0.2236842105263158,0.4320212337916951,0.0,0.9327994428969362,0.3406593406593406,0.0,0.0,0.3406593406593406,0.0,0.0,0.9102236421725238,0.07013342456380478,0.0,0.21721073169182725,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9480533333333334
0.0,0.0,0.8040237299244453,0.0,0.5064995357474467,0.0,0.0,0.0,0.0,0.0,0.0,0.061980830670926634,0.9905918576804655,0.0,0.35257003432325495,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2207792207792208,1.0,0.8048013333333334
1.0,0.0,0.4969267739682923,1.0,0.4914113277623029,0.5164835164835164,1.0,0.0,0.0,0.0,0.0,0.2530105677070533,0.7900106352913183,0.0,0.4908248617425115,0.0,0.0,0.0,0.0,0.0,0.0,0.5164835164835164,0.0,0.0,0.6528076923076923
0.0,0.0,0.32904139884979067,0.0,0.5066155988857943,0.6593406593406593,0.0,0.0,0.0,0.0,0.0,0.061980830670926634,0.998460485802259,0.0,0.5008723885972945,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2207792207792208,0.0,0.5516026666666666
0.0,0.0,0.10911512933712153,0.20761980618611442,0.4944962208974397,0.0,0.0,0.0,0.0,0.0,0.0,0.25623003194888194,0.5880944235374623,0.0,0.7766768400557842,0.0,0.0,0.0,0.0,0.0,0.0,0.3438430728150354,0.40635999514504184,0.0,0.24535866666666667
0.0,0.0,0.4242034052659083,0.0,0.7549907149489323,0.6593406593406593,1.0,0.6593406593406593,0.0,0.0,0.0,0.681150159744409,0.04439490398488788,0.0,0.3740508129025697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.804892
0.0,0.0,0.7609533362121024,0.0,0.6855849582172704,0.0,1.0,0.0,0.0,0.0,0.0,0.13578274760383402,0.6789257612042428,0.0,0.4481040266253964,0.0,0.0,0.0,0.0,0.0,0.0,0.3406593406593406,0.4025974025974025,0.0,0.5574359999999999
0.0,0.0,0.2931978367228121,0.0,0.5331940575673171,1.0,1.0,0.0,0.0,1.0,0.0,0.5533546325878596,0.00017105713308307458,0.0,0.385708590650343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996468
0.0,0.0,0.4342214255868475,0.20761980618611442,0.7705431754874659,0.3406593406593406,0.0,0.3406593406593406,0.0,0.0,0.0,0.0651757188498403,0.8436537803626427,0.0,0.79081664940658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259512
