Model,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Packsize,Wtd.Selling.Dist,WeekNum,Month,Product.Type_Product.Type 3,Constant
LinearRegression,11.09,0.94,4.03,1.71,-0.66,-0.8,46.02,100.51,52.56,-1.68,-0.07,-113.65
SGDRegression,19.56,2.27,5.33,2.74,-1.77,-1.87,31.94,100.76,37.13,-0.16,0.07,-96.01
LassoRegression,9.54,0.0,3.72,1.33,0.0,0.0,38.93,100.1,52.55,0.0,0.0,-106.17
RidgeRegression,16.74,1.51,4.63,2.2,-1.16,-1.09,38.23,98.33,41.05,0.71,0.02,-101.17
LinearRegression_Positive,9.56,0.53,4.39,1.93,0.14,0.0,46.02,100.51,51.98,0.0,0.0,-115.06
LassoRegression_Positive,9.56,0.17,3.98,1.57,0.0,0.0,41.95,100.27,52.39,0.0,0.0,-109.9
ElasticNetRegression_Positive,9.56,0.17,3.98,1.57,0.0,0.0,41.95,100.27,52.39,0.0,0.0,-109.9
