Model,display_bronze,within_promo_ins,within_display_gold,cross_box_Price,within_display_bronze,cross_box_Wtd.Selling.Dist,cross_box_promo_catalogue,promo_ins,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,within_Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,within_Price,display_silver,display_gold,within_promo_catalogue,cross_box_display_bronze,cross_box_promo_ins,display_platinum,Constant
LinearRegression,1.7,3.02,-0.36,-12.1,0.93,28.38,3.09,0.0,-0.51,-3.01,2.94,-3.74,-22.09,-41.55,0.08,-24.97,-3.02,-1.88,0.7,1.88,25.37,0.46,0.36,1.21,1.89,0.48,0.0,140.73
SGDRegression,0.1,4.85,0.15,6.56,0.45,8.25,7.41,0.0,0.19,-0.22,1.23,-1.4,8.75,-7.02,0.4,18.16,-1.04,-0.33,0.1,0.6,14.19,0.39,0.55,-0.12,1.96,0.68,0.0,35.16
LassoRegression,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,-2.31,0.0,-24.08,0.0,0.0,-1.11,-0.75,0.0,0.0,0.0,0.1,0.0,-4.97,0.1,0.0,0.0,131.91
RidgeRegression,0.82,1.4,-0.45,-3.65,0.45,7.38,3.24,0.0,-0.07,-1.11,2.19,-2.91,-8.78,-26.79,-0.25,-18.0,-2.33,-1.67,0.3,1.3,9.07,0.49,0.38,-3.09,2.29,0.13,0.0,139.65
BayesianRegression,1.43,2.35,-0.86,-4.56,-0.51,13.76,2.02,0.0,-1.25,-3.03,-0.3,-2.03,-14.7,-26.51,-0.12,-36.32,-1.62,-3.07,-0.12,1.85,14.69,0.14,1.08,2.84,-0.78,-0.47,38.34,117.76
LinearRegression_Positive,0.0,5.26,0.1,12.28,0.0,0.0,6.97,0.0,1.58,0.0,4.8,0.0,0.0,0.0,0.71,0.0,0.0,0.43,0.33,0.69,23.83,1.41,1.18,0.0,5.06,0.0,0.0,35.36
LassoRegression_Positive,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.2
ElasticNetRegression_Positive,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.2
