Model,display_bronze,within_promo_ins,within_display_gold,cross_box_Price,within_display_bronze,cross_box_Wtd.Selling.Dist,cross_box_promo_catalogue,promo_ins,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,within_Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,within_Price,promo_catalogue,display_silver,display_gold,within_promo_catalogue,cross_box_display_bronze,cross_box_promo_ins,display_platinum,Constant
LinearRegression,1.95,1.61,-0.27,11.95,0.68,-6.74,3.87,0.0,0.08,0.32,-1.53,-0.8,57.23,-1.21,-0.71,-335.78,-0.16,-0.71,-0.04,47.3,-16.65,0.38,0.87,4.25,-1.63,4.43,1.53,329.78
SGDRegression,1.77,-1.79,-0.5,10.98,-0.14,8.85,0.28,0.0,0.24,0.15,-0.35,-0.44,35.98,-0.92,-1.41,-4.36,-0.57,-0.61,-0.23,23.97,1.62,0.09,0.1,-2.14,0.91,1.81,0.43,26.26
LassoRegression,1.11,0.0,0.0,2.41,0.0,0.0,0.0,0.0,0.0,0.0,-0.22,-0.69,39.87,-2.44,-2.07,-48.87,-0.42,0.0,0.0,34.46,0.0,0.0,0.13,0.0,0.0,3.4,0.69,72.67
RidgeRegression,1.56,-1.12,-0.55,6.84,-0.03,1.94,0.74,0.0,0.35,0.24,-0.65,-0.8,32.05,-4.14,-2.26,-24.84,-0.64,-1.08,-0.42,26.16,1.25,0.09,0.29,-0.72,-0.25,3.53,0.75,61.72
BayesianRegression,2.1,1.62,-1.3,16.81,-0.28,-4.12,10.96,0.0,-1.08,-1.55,-3.76,-0.62,67.66,-11.25,0.82,-158.91,0.08,-1.73,-0.6,46.48,-7.15,0.88,1.29,5.96,-5.02,5.46,1.81,135.42
LinearRegression_Positive,1.48,3.48,0.0,14.9,0.0,0.0,2.36,0.0,0.96,0.26,0.0,0.0,62.46,0.0,0.0,0.0,0.0,0.58,0.0,49.9,2.42,0.12,0.89,4.79,0.0,3.82,1.23,-49.64
LassoRegression_Positive,0.73,0.0,0.0,4.49,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,60.25,0.0,0.0,0.0,0.0,0.0,0.0,34.33,2.84,0.0,0.09,0.0,0.0,2.43,0.47,-5.63
ElasticNetRegression_Positive,0.73,0.0,0.0,4.49,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,60.25,0.0,0.0,0.0,0.0,0.0,0.0,34.33,2.84,0.0,0.09,0.0,0.0,2.43,0.47,-5.63
