Model,display_bronze,display_platinum,within_display_bronze,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,promo_ins,Constant
LinearRegression,0.21,17.38,0.03,1.51,1.41,0.7,-0.08,21.71,3.5,-88.67,0.77,-0.61,-2.58,3.28,4.82,2.0,-2.65,-6.17,143.43
SGDRegression,0.29,10.03,0.36,1.0,-0.02,0.94,-0.56,17.44,1.91,-25.78,0.39,0.86,29.61,0.71,2.06,0.31,0.01,4.77,55.66
LassoRegression,0.0,15.96,0.0,0.36,0.13,0.0,0.0,18.33,3.08,-82.8,0.43,0.0,1.78,2.45,4.11,0.0,-1.35,-4.33,141.85
RidgeRegression,-0.85,14.04,0.93,1.02,0.36,0.65,-0.33,17.05,2.9,-58.27,0.6,1.18,12.96,1.15,3.38,0.69,-1.71,-0.03,104.29
BayesianRegression,3.39,18.72,-4.4,-0.35,0.18,-1.72,-0.24,23.31,2.67,-84.76,0.39,-13.54,-3.84,14.66,5.61,1.28,-3.03,-4.08,145.74
LinearRegression_Positive,3.16,23.27,0.97,1.8,1.41,2.47,0.0,12.7,2.32,0.0,0.67,0.08,21.03,4.11,7.34,1.33,0.0,7.89,9.46
LassoRegression_Positive,2.3,20.98,0.45,0.44,0.0,0.64,0.0,10.94,1.99,0.0,0.17,0.0,24.2,3.61,6.13,0.0,0.0,8.31,19.85
ElasticNetRegression_Positive,0.97,17.24,1.48,1.3,0.19,1.53,0.0,11.75,2.48,0.0,0.55,1.58,27.98,1.47,4.53,0.09,0.0,8.11,18.74
