Model,display_bronze,within_display_gold,cross_box_Price,within_display_bronze,cross_box_Wtd.Selling.Dist,cross_box_promo_catalogue,promo_ins,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,within_Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,display_platinum,Constant
LinearRegression,-1.17,-5.1,-22.12,1.75,-8.1,16.68,-9.18,-2.91,-2.42,-5.36,-0.89,27.64,14.64,2.99,-116.87,-0.13,-2.91,2.15,-15.73,0.52,6.77,-5.27,2.85,13.38,208.8
SGDRegression,0.47,0.61,7.09,-0.04,13.5,5.88,4.24,0.24,-0.05,0.12,-0.19,8.48,5.17,0.04,-9.04,0.98,3.54,0.33,15.75,0.24,0.49,1.54,0.67,4.88,35.05
LassoRegression,-0.25,0.0,-2.93,0.0,0.0,6.89,-2.47,0.0,0.0,-0.59,0.0,11.51,0.0,2.09,-84.76,0.41,0.0,0.91,0.0,0.0,1.48,0.0,0.38,8.59,158.75
RidgeRegression,-1.08,-0.46,-16.34,1.2,-6.6,12.05,-3.72,-1.42,-1.88,-4.01,-1.01,22.25,8.96,2.13,-91.95,0.56,-1.01,1.52,-4.85,0.39,2.82,-2.79,2.03,10.54,172.66
BayesianRegression,13.97,-47.92,-36.24,-10.57,27.91,20.58,-10.16,-11.55,-1.6,-12.54,-7.78,29.49,-7.34,4.36,-97.79,-3.46,-18.3,-13.14,-19.09,15.28,38.11,-13.86,0.94,31.2,229.5
LinearRegression_Positive,1.49,0.0,0.0,0.0,1.83,7.68,12.63,0.26,0.33,0.0,0.0,26.82,2.41,0.0,0.0,0.68,0.0,2.36,18.8,0.0,3.17,0.29,1.72,13.09,6.44
LassoRegression_Positive,0.0,0.0,0.0,0.0,0.0,1.53,11.16,0.0,0.0,0.0,0.0,17.43,0.0,0.0,0.0,0.18,0.0,0.0,26.45,0.0,0.38,0.12,0.0,7.26,35.49
ElasticNetRegression_Positive,0.0,0.0,0.0,0.0,0.0,1.53,11.16,0.0,0.0,0.0,0.0,17.43,0.0,0.0,0.0,0.18,0.0,0.0,26.45,0.0,0.38,0.12,0.0,7.26,35.49
