Model,display_bronze,display_platinum,within_display_gold,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,promo_ins,Constant
LinearRegression,-0.81,3.69,2.04,-0.61,0.85,0.34,-1.35,10.07,2.61,-85.2,-2.53,0.43,1.34,5.49,-0.25,0.81,-2.08,0.41,1.15,163.62
SGDRegression,0.27,1.5,0.71,0.14,1.23,0.29,0.33,12.34,0.35,2.7,0.12,1.25,0.2,13.48,0.14,0.84,1.09,2.35,0.67,60.0
LassoRegression,-0.33,4.05,0.73,0.0,0.2,0.32,-0.77,0.0,1.51,-74.26,-1.63,0.0,0.0,5.36,0.0,1.29,-0.7,0.0,0.12,164.12
RidgeRegression,-1.16,3.47,1.19,-0.48,0.95,0.51,-0.82,8.15,1.57,-64.02,-1.61,0.94,-0.26,8.41,0.04,0.99,-1.45,0.45,1.27,141.84
BayesianRegression,2.16,11.96,-8.13,-2.55,-2.47,1.72,-1.3,2.71,5.42,-72.78,-1.81,-9.32,-7.68,-6.36,4.42,9.09,-3.9,-1.02,-1.83,181.67
LinearRegression_Positive,0.0,7.31,0.53,0.0,2.81,1.4,1.03,10.64,0.81,0.0,0.0,0.0,0.0,13.22,0.91,2.27,0.0,1.55,1.02,56.51
LassoRegression_Positive,0.0,6.24,0.0,0.0,0.69,0.63,0.0,0.17,0.0,0.0,0.0,0.0,0.0,13.37,0.0,1.94,0.0,0.0,0.0,76.96
ElasticNetRegression_Positive,0.0,4.18,0.91,0.0,1.68,0.66,0.46,8.5,0.11,0.0,0.0,1.7,0.0,14.45,0.33,1.38,0.0,0.19,1.01,64.45
