Model,display_bronze,display_platinum,within_promo_ins,within_display_gold,within_display_bronze,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,promo_ins,Constant
LinearRegression,-0.38,7.26,-6.72,0.16,1.28,-0.95,-0.66,-0.65,-1.16,25.07,-5.06,-126.42,-2.01,-1.35,-1.5,16.59,1.06,5.83,-0.11,0.81,0.61,188.27
SGDRegression,1.71,2.02,0.99,0.32,-0.09,0.22,0.11,0.49,-0.06,13.0,0.83,7.55,-0.23,1.01,-0.09,22.62,0.46,1.78,0.54,0.1,0.52,46.19
LassoRegression,0.0,6.79,-3.4,0.0,0.0,-0.55,0.0,0.0,-0.7,22.46,-2.67,-84.05,-1.2,-0.13,-1.06,21.09,0.7,5.15,0.0,0.0,0.14,137.43
RidgeRegression,-0.46,4.68,-2.82,0.08,-0.34,-0.88,-0.8,0.41,-0.81,16.21,-0.07,-34.14,-1.42,0.32,-1.63,26.29,0.54,3.27,0.34,-1.96,0.97,92.23
BayesianRegression,8.05,12.8,-9.8,-2.86,-3.21,-3.44,-3.34,-3.61,-0.12,16.1,-6.35,-146.76,-2.6,-6.39,-6.5,-4.77,4.32,13.22,-5.08,2.22,-2.05,250.21
LinearRegression_Positive,2.63,9.45,0.0,0.0,0.28,0.0,1.23,0.0,0.0,15.24,1.05,0.0,0.0,0.0,0.0,24.64,1.75,7.65,0.0,0.0,0.69,35.38
LassoRegression_Positive,0.0,6.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.99,0.0,0.0,0.0,0.0,0.0,29.42,0.0,4.45,0.0,0.0,0.06,49.44
ElasticNetRegression_Positive,0.0,6.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.99,0.0,0.0,0.0,0.0,0.0,29.42,0.0,4.45,0.0,0.0,0.06,49.44
