PPG_Retailer_Variant,Model,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze
Promo.Group 5__Retailer 1,LinearRegression,69.37,0.0,19.59,5.65,-19.24,24.62
Promo.Group 5__Retailer 1,SGDRegression,62.55,0.0,18.57,7.2,-12.63,24.3
Promo.Group 5__Retailer 1,LassoRegression,75.28,0.0,19.71,1.19,-18.15,21.98
Promo.Group 5__Retailer 1,RidgeRegression,65.67,0.0,18.98,6.62,-16.66,25.38
Promo.Group 5__Retailer 1,LinearRegression_Positive,41.33,0.0,26.27,3.16,0.0,29.24
Promo.Group 5__Retailer 1,LassoRegression_Positive,53.02,0.0,24.83,0.0,0.0,22.15
Promo.Group 5__Retailer 1,ElasticNetRegression_Positive,43.49,0.0,23.64,3.9,0.0,28.96
Promo.Group 6__Retailer 0,LinearRegression,68.01,5.79,24.69,10.5,-4.06,-4.92
Promo.Group 6__Retailer 0,SGDRegression,74.46,8.65,20.27,10.44,-6.72,-7.11
Promo.Group 6__Retailer 0,LassoRegression,65.36,0.0,25.51,9.13,0.0,0.0
Promo.Group 6__Retailer 0,RidgeRegression,73.36,6.6,20.29,9.62,-5.09,-4.78
Promo.Group 6__Retailer 0,LinearRegression_Positive,57.77,3.21,26.52,11.65,0.85,0.0
Promo.Group 6__Retailer 0,LassoRegression_Positive,62.58,1.11,26.05,10.26,0.0,0.0
Promo.Group 6__Retailer 0,ElasticNetRegression_Positive,62.58,1.11,26.05,10.26,0.0,0.0
Promo.Group 6__Retailer 1,LinearRegression,45.98,15.85,18.8,9.45,5.53,4.39
Promo.Group 6__Retailer 1,SGDRegression,50.11,17.07,17.59,8.53,4.11,2.58
Promo.Group 6__Retailer 1,LassoRegression,48.51,16.07,17.99,8.87,4.97,3.59
Promo.Group 6__Retailer 1,RidgeRegression,48.96,16.26,17.95,8.69,4.63,3.51
Promo.Group 6__Retailer 1,LinearRegression_Positive,46.13,15.78,18.8,9.37,5.47,4.45
Promo.Group 6__Retailer 1,LassoRegression_Positive,46.31,15.8,18.73,9.33,5.44,4.39
Promo.Group 6__Retailer 1,ElasticNetRegression_Positive,46.6,15.87,18.65,9.25,5.33,4.29
