PPG_Retailer_Variant,Model,Train_r2,Test_r2,Test_sMAPE,NumRows,NumCols,Promo_sparsity,Display_sparsity,Promotional_activity_sparsity,Sales_sparsity
Promo.Group 22__Retailer 1,RidgeRegression,0.8583701617670416,0.539533362247375,27.486115496715154,113,28,94.69,74.34,74.34,4.42
Promo.Group 22__Retailer 1,BayesianRegression,0.8824083968424168,0.49390266955564077,29.60268633159082,113,28,94.69,74.34,74.34,4.42
Promo.Group 22__Retailer 1,LinearRegression_Positive,0.8481104061919563,0.7074842733902471,27.189496657954983,113,28,94.69,74.34,74.34,4.42
Promo.Group 22__Retailer 1,LassoRegression_Positive,0.8149183083666873,0.7109621995593691,25.00946060452221,113,28,94.69,74.34,74.34,4.42
Promo.Group 22__Retailer 1,ElasticNetRegression_Positive,0.8149183083666873,0.7109621995593691,25.00946060452221,113,28,94.69,74.34,74.34,4.42
Promo.Group 3__Retailer 0,LinearRegression,0.8569876059503191,0.5254469308694626,34.55023460969504,113,22,53.07,61.93,53.07,80.37
Promo.Group 3__Retailer 0,SGDRegression,0.5803682448180708,0.4554005453554355,36.47290193688633,113,22,53.07,61.93,53.07,80.37
Promo.Group 3__Retailer 0,LassoRegression,0.842789501866913,0.5420042298305505,32.83492207340999,113,22,53.07,61.93,53.07,80.37
Promo.Group 3__Retailer 0,RidgeRegression,0.7928097463088208,0.5453599368338746,33.077961494050484,113,22,53.07,61.93,53.07,80.37
Promo.Group 3__Retailer 0,BayesianRegression,0.7508203334063696,0.30996837951856526,42.40793145767967,113,22,53.07,61.93,53.07,80.37
Promo.Group 3__Retailer 0,LinearRegression_Positive,0.7860125396208257,0.472235817261597,32.13072580368638,113,22,53.07,61.93,53.07,80.37
Promo.Group 3__Retailer 0,LassoRegression_Positive,0.7520904068637373,0.4823173422662257,34.592872959632196,113,22,53.07,61.93,53.07,80.37
Promo.Group 3__Retailer 0,ElasticNetRegression_Positive,0.7520904068637373,0.4823173422662257,34.592872959632196,113,22,53.07,61.93,53.07,80.37
Promo.Group 3__Retailer 1,LinearRegression,0.7919248309220076,0.0746905499825058,46.89942789716228,113,19,40.75,63.74,39.86,90.0
Promo.Group 3__Retailer 1,SGDRegression,0.5781374004475222,0.5183627899895361,42.15715573937219,113,19,40.75,63.74,39.86,90.0
Promo.Group 3__Retailer 1,LassoRegression,0.7459630267565514,0.31231176828235274,47.974003906624205,113,19,40.75,63.74,39.86,90.0
Promo.Group 3__Retailer 1,RidgeRegression,0.6788904676415097,0.6041421941289347,35.663896597498635,113,19,40.75,63.74,39.86,90.0
Promo.Group 3__Retailer 1,BayesianRegression,0.675052265043453,-1.721600434497386,72.42109194757532,113,19,40.75,63.74,39.86,90.0
Promo.Group 3__Retailer 1,LinearRegression_Positive,0.7086299611917843,0.29161445908093375,46.340361953793455,113,19,40.75,63.74,39.86,90.0
Promo.Group 3__Retailer 1,LassoRegression_Positive,0.7059875426149163,0.32434053265955076,43.688382658959306,113,19,40.75,63.74,39.86,90.0
Promo.Group 3__Retailer 1,ElasticNetRegression_Positive,0.7044323427062964,0.3610074325181838,42.44462199636769,113,19,40.75,63.74,39.86,90.0
Promo.Group 5__Retailer 0,LinearRegression,0.5664030653112055,0.3728376726980256,20.17535668203291,113,22,77.02,96.45,77.02,65.0
Promo.Group 5__Retailer 0,SGDRegression,0.29713399519781225,0.214162233778998,22.886947866852054,113,22,77.02,96.45,77.02,65.0
Promo.Group 5__Retailer 0,LassoRegression,0.37151844414163726,0.2932511867009242,21.267590790011567,113,22,77.02,96.45,77.02,65.0
Promo.Group 5__Retailer 0,RidgeRegression,0.40253225290552475,0.27348332208464676,21.858888311152835,113,22,77.02,96.45,77.02,65.0
Promo.Group 5__Retailer 0,BayesianRegression,0.5364638808782736,0.3291130367723403,20.760036022391574,113,22,77.02,96.45,77.02,65.0
Promo.Group 5__Retailer 0,LinearRegression_Positive,0.5258160619903125,0.2928564925028332,22.805645589368044,113,22,77.02,96.45,77.02,65.0
Promo.Group 5__Retailer 0,LassoRegression_Positive,0.48608578873715713,0.2821257567174742,22.528890366203253,113,22,77.02,96.45,77.02,65.0
Promo.Group 5__Retailer 0,ElasticNetRegression_Positive,0.46895260039309405,0.2821711937578284,22.181944280310983,113,22,77.02,96.45,77.02,65.0
Promo.Group 5__Retailer 1,LinearRegression,0.7790660366226234,-0.015424924335826429,19.239272749385666,113,28,92.91,69.0,68.12,61.03
Promo.Group 5__Retailer 1,SGDRegression,0.5387031691858497,0.2951500657753473,16.027921274074618,113,28,92.91,69.0,68.12,61.03
Promo.Group 5__Retailer 1,LassoRegression,0.7298597685742418,0.3539501684048527,13.853787456348005,113,28,92.91,69.0,68.12,61.03
Promo.Group 5__Retailer 1,RidgeRegression,0.7265127142428066,0.25101711709836505,15.092361930363474,113,28,92.91,69.0,68.12,61.03
Promo.Group 5__Retailer 1,BayesianRegression,0.7266018623472872,0.3461096712160575,13.526859671233005,113,28,92.91,69.0,68.12,61.03
Promo.Group 5__Retailer 1,LinearRegression_Positive,0.7054449521774712,0.22538335958893563,17.058816492297584,113,28,92.91,69.0,68.12,61.03
Promo.Group 5__Retailer 1,LassoRegression_Positive,0.6773249982899103,0.2933899691983809,15.04059116887998,113,28,92.91,69.0,68.12,61.03
Promo.Group 5__Retailer 1,ElasticNetRegression_Positive,0.6773249982899103,0.2933899691983809,15.04059116887998,113,28,92.91,69.0,68.12,61.03
Promo.Group 6__Retailer 0,LinearRegression,0.914681290662197,0.9295403224870709,29.713080072772545,113,22,49.57,53.12,49.57,55.49
Promo.Group 6__Retailer 0,SGDRegression,0.7732634253090603,0.8510074477361552,23.53371935713926,113,22,49.57,53.12,49.57,55.49
Promo.Group 6__Retailer 0,LassoRegression,0.9081413467380859,0.9452848970246526,21.321621281681796,113,22,49.57,53.12,49.57,55.49
Promo.Group 6__Retailer 0,RidgeRegression,0.9128600926655552,0.9416580198118039,25.6933344329706,113,22,49.57,53.12,49.57,55.49
Promo.Group 6__Retailer 0,BayesianRegression,0.9080695358039573,0.9170141569313438,31.91050021427441,113,22,49.57,53.12,49.57,55.49
