Model,display_bronze,within_promo_ins,within_display_gold,cross_box_Price,within_display_bronze,cross_box_Wtd.Selling.Dist,cross_box_promo_catalogue,promo_ins,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,within_Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,within_Price,promo_catalogue,display_silver,display_gold,within_promo_catalogue,cross_box_display_bronze,cross_box_promo_ins,display_platinum,Constant,y_pred,y_true
BayesianRegression,0.0,0.09084259806561837,-0.0,0.7450553263832563,-0.0,-0.14353518947452876,0.0,0.0,-0.0,-0.0,-0.0,-0.0,2.062168916010194,-0.015020648650982044,0.0,-5.302110976610142,0.0,-0.0,-0.0,1.4607978289173429,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,4.386210137967296,3.284407992608055,3.0108
BayesianRegression,0.0,0.0,-0.0,0.46895638237665876,-0.0,-0.15687617542457746,0.0,0.0,-0.0,-0.0,-0.0,-0.0,2.398653354520016,-0.36453958841424106,0.0,-0.0804817769304642,0.0,-0.06463539288790393,-0.0,2.1860835398244967,-4.360040935167279,0.0,0.0,0.1067265147693429,-0.0,0.0,2.204081829376346,4.386210137967296,6.72413789000969,7.0902
BayesianRegression,0.0,0.17910850132067987,-0.10419782205514146,0.37175082148546956,-0.0,-0.0,0.3329020339384677,0.0,-0.0,-0.0,-0.42774313514784434,-0.0,0.0,-0.34891646319648734,0.33421134804445857,-5.4479636372425135,0.0,-0.3663826467092317,-0.0,1.0672357998132578,-0.0,0.0,0.0,0.10875940076494947,-0.0,0.21149077963139898,0.0,4.386210137967296,0.2964651186147593,0.0
BayesianRegression,0.0,0.0,-0.0,0.8034559421987684,-0.0,-0.19692570894394704,0.6443265173002601,0.0,-0.0,-0.0,-0.8278899389958279,-0.0,2.398653354520016,-0.26300578070615355,0.0,-5.469984819385067,0.0,-0.18582675455272382,-0.0,0.8059702554537113,-0.0,0.0,0.0,0.3068387299618609,-0.0,0.0,0.0,4.386210137967296,2.4018219348181944,2.2854
BayesianRegression,0.0,0.0,-0.0,0.6186790274328606,-0.0,-0.06093800952880851,0.0,0.0,-0.0,-0.0,-0.0,-0.0,2.062168916010194,-0.031052302499627347,0.0,-5.297911584312243,0.0,-0.0,-0.0,2.362341696490399,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,4.386210137967296,4.039497881560071,4.44392
BayesianRegression,0.0,0.0,-0.0,0.4626889047750234,-0.0,-0.1039108666627306,0.0,0.0,-0.0,-0.0,-0.0,-0.0,2.398653354520016,-0.4132231675415653,0.0,-5.422662129141435,0.0,-0.3670040291925206,-0.0,0.5308832730217893,-0.0,0.0,0.0,0.6060001988377196,-0.0,0.0,0.0,4.386210137967296,2.077635676583593,2.11224
BayesianRegression,0.0,0.0,-0.10225019921298925,0.2928475781699626,-0.0,-0.22857733098878386,0.6443265173002601,0.0,-0.0,-0.0,-0.0,-0.0,2.276076880491438,-0.24466325783428047,0.0,-5.33136861569914,0.0,-0.0,-0.0,2.017424928386308,-0.0,0.0,0.5889522448999093,0.0,-1.0092523139092793,0.4097633855358355,0.0,4.386210137967296,3.699489955106537,3.55836
BayesianRegression,0.0,0.0,-0.0,0.7245034364694732,-0.0,-0.10046323241518566,0.0,0.0,-0.0,-0.0,-0.0,-0.0,2.0525550749099137,-0.09402348338259499,0.0,-5.3360007481018386,0.0,-0.0,-0.0,2.2657499099675573,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,4.386210137967296,3.8985310954146217,3.60308
BayesianRegression,0.0,0.0,-0.0,0.7334834773554688,-0.0,-0.1651412085529943,0.3329020339384677,0.0,-0.0,-0.0,-0.0,-0.0,2.398653354520016,-0.4354543815645547,0.0,-0.11003816961236929,0.0,-0.06463539288790393,-0.0,2.3157322389870516,-4.360040935167279,0.0,0.0,0.1067265147693429,-0.3438112278152489,0.0,2.204081829376346,4.386210137967296,6.9986682713136386,6.25404
BayesianRegression,0.0,0.0,-0.10225019921298925,0.24891080245423752,-0.0,-0.14665422923251945,0.6395091227783889,0.0,-0.0,-0.4517886083259828,-0.0,-0.0,2.3962498942449457,-0.6776623410616552,0.0,-5.534573383344862,0.0,-0.0,-0.0,2.3302195024246393,-0.0,0.0,0.5889522448999093,0.0,-0.0,0.0,0.0,4.386210137967296,3.677122943591409,4.14544
BayesianRegression,0.5132271770370981,0.0,-0.0,0.40439557283994737,-0.00999689340663443,-0.13436658359252304,0.6443265173002601,0.0,-0.0,-0.45519191234350437,-0.0,-0.0,2.398653354520016,-0.5242464685466083,0.0,-5.5053441193260735,0.0,-0.0,-0.0,2.162136768112464,-0.0,0.0,0.0,0.30196420164306886,-0.0,0.0,0.0,4.386210137967296,4.181767752204808,4.02844
BayesianRegression,0.0,0.0,-0.0,0.38689613578955323,-0.027327956275145532,-0.12113190031936713,0.6443265173002601,0.0,-0.0,-0.0,-0.8278899389958279,-0.0,2.3938464339698755,-0.4504750302155367,0.0,-5.535650992358716,0.028209045758323625,-0.0,-0.0,2.0964441789901667,-0.0,0.0,0.0,0.30016832278877703,-0.0,0.0,0.0,4.386210137967296,3.2736249543996596,3.33164
BayesianRegression,0.0,0.02962258632574511,-0.0,0.4331409270553286,-0.0,-0.19477307973686747,0.6443265173002601,0.0,-0.0,-0.45519191234350437,-0.0,-0.0,2.398653354520016,-0.5934600510277799,0.0,-5.541038890235466,0.0,-0.0,-0.0,2.1139936028588635,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,4.386210137967296,3.2214831926838916,2.25004
