Model,display_bronze,within_display_gold,cross_box_Price,within_display_bronze,cross_box_Wtd.Selling.Dist,cross_box_promo_catalogue,promo_ins,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,within_Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,display_platinum,Constant,y_pred,y_true
BayesianRegression,0.0,-4.2247169756171195,-0.2836475336901843,-0.0,0.18579162010434494,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.054134340179360654,-0.08684299373531186,0.37148394923289274,-0.7382614346021101,-0.0,-0.0,-0.0,-0.41848959514798156,0.0,4.87284730218404,-0.28896373074743237,0.03670250947860077,0.0,1.5582389633406037,1.038276420979702,0.7917653333333333
BayesianRegression,0.0,-0.9450024813880399,-0.22238832625778227,-0.0,0.3024523497627346,0.13102025624798153,-0.0,-0.0,-0.05113251300092634,-0.0,-0.0,0.5754803551156648,-0.006144198003706315,0.0,-0.28052305037781616,-0.0,-0.0,-0.0,-0.41848959514798156,0.0,0.0,-0.0,0.0,0.0,1.5582389633406037,0.6435117602907321,0.9480533333333334
BayesianRegression,0.0,-0.0,-0.41388125764126227,-0.0,0.16422820136426197,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.03918679848804464,-0.08678305034015377,0.0,-0.4553367171585849,-0.0,-0.813550748378616,-0.0,-0.41848959514798156,0.0,0.0,-0.0,0.008103151443327445,1.4079983699604408,1.5582389633406037,0.98971411593008,0.8048013333333334
BayesianRegression,0.6303520092387794,-0.0,-0.2557992637666788,-0.460751257007827,0.1593359772172973,0.19864361431145588,-0.22261101500608588,-0.0,-0.0,-0.0,-0.0,0.15996355687328265,-0.06921067662748599,0.0,-0.6338898927545937,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.301806563225096,0.0,0.0,1.5582389633406037,0.7624654525936516,0.6528076923076923
BayesianRegression,0.0,-0.0,-0.1693781699512636,-0.0,0.1642658338577003,0.2535875927380288,-0.0,-0.0,-0.0,-0.0,-0.0,0.03918679848804464,-0.0874723993844721,0.0,-0.646866060460965,-0.0,-0.0,-0.0,-0.41848959514798156,0.0,0.0,-0.0,0.008103151443327445,0.0,1.5582389633406037,0.7011761149230227,0.5516026666666666
BayesianRegression,0.0,-0.0,-0.0561683757293838,-0.09566108667997363,0.16033622779055173,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.16199903292480292,-0.05152134813839561,0.0,-1.0030616564533656,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.20092431371597166,0.014914431573535064,0.0,1.5582389633406037,0.48815187491240297,0.24535866666666667
BayesianRegression,0.0,-0.0,-0.21836400137550493,-0.0,0.2447993698154272,0.2535875927380288,-0.22261101500608588,-0.7635405977955754,-0.0,-0.0,-0.0,0.4306507957552115,-0.0038893164298646884,0.0,-0.4830786868330352,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,1.5582389633406037,0.7957931042092052,0.804892
BayesianRegression,0.0,-0.0,-0.3917102345068531,-0.0,0.22229513873938947,0.0,-0.22261101500608588,-0.0,-0.0,-0.0,-0.0,0.08584736782174722,-0.05947883384563468,0.0,-0.5787168408137546,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.1990639034037867,0.01477633498489122,0.0,1.5582389633406037,0.4295769773105167,0.5574359999999999
BayesianRegression,0.0,-0.0,-0.1509272486421989,-0.0,0.17288367485504585,0.38460784898601036,-0.22261101500608588,-0.0,-0.0,-0.8784860124793883,-0.0,0.3498532730994495,-1.4985848789582256e-05,0.0,-0.4981344593952849,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,1.5582389633406037,0.7154100389093618,0.996468
BayesianRegression,0.0,-0.0,-0.22352090246584425,-0.09566108667997363,0.24984212393614486,0.13102025624798153,-0.0,-0.3944959755277139,-0.0,-0.0,-0.0,0.04120673655443865,-0.07391020622994976,0.0,-1.0213229201577467,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,1.5582389633406037,0.17139698901794054,0.259512
BayesianRegression,0.0,-0.0,-0.27954774249239567,-0.0,0.08685579485534288,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.28097338503541247,-0.008392075322135406,0.0,-0.8984635220976068,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,1.5582389633406037,0.7396648033192212,0.4774293333333333
BayesianRegression,0.0,-0.0,-0.32215103194883543,-0.06752547295056961,0.12049080305597747,0.05119151404805064,-0.0,-0.0,-0.0,-0.0,-0.0,0.04241869939427511,-0.04852417838049009,0.0,-1.029780787813967,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.07777715369650512,0.0,0.0,1.5582389633406037,0.2265813550485396,0.21818133333333334
BayesianRegression,0.0,-0.0,-0.44575579290668393,-0.0,0.3100917459306871,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.6102232898576426,-0.01347227806178527,0.0,-0.8938815370215234,-0.0,-0.4817076799610226,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,1.5582389633406037,0.6437367111779183,0.5138320000000001
BayesianRegression,0.0,-0.0,-0.3472747724276694,-0.0,0.2842382229386506,0.0,-0.0,-0.5726554483466816,-0.0,-0.0,-0.0,0.5540690116118877,-0.004300938602594389,0.0,-0.20234936284943592,-0.0,-0.0,-2.1289723201148014,-0.41848959514798156,2.9307632888979827,0.0,-0.0,0.021449518526455002,0.0,1.5582389633406037,1.6747165678264153,1.1877946666666666
BayesianRegression,0.0,-0.0,-0.31399433701538915,-0.0,0.27485858772834126,0.1322447446241309,-0.0,-0.0,-0.0,-0.3020613299559404,-0.0,0.5207400335163859,-0.0027723820260626016,0.0,-0.9200946129189272,-0.0,-0.18197845687416409,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,1.5582389633406037,0.7651812104189784,0.436832
BayesianRegression,0.0,-0.0,-0.20906420465363756,-0.0,0.14770753674489667,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0971013084773712,-0.06461897998044261,0.0,-0.14545742993287966,-0.0,-0.813550748378616,-0.0,-0.41848959514798156,0.0,0.0,-0.0,0.0,1.4079983699604408,1.5582389633406037,1.5598652204297552,1.617282857142857
BayesianRegression,0.0,-0.9089616627701378,-0.1679741809693625,-0.0,0.0005644874015728082,0.13102025624798153,-0.22261101500608588,-0.0,-0.0,-0.2992644657896817,-0.0,0.03231900906230494,-0.046703480092391,0.37148394923289274,-1.020681163781215,-0.0,-0.809551221853909,-0.0,-0.0,0.0,0.0,-0.0,0.007626495476072887,1.4079983699604408,1.5582389633406037,0.03350434045908646,0.5467960000000001
