Model,display_bronze,within_display_gold,cross_box_Price,within_display_bronze,cross_box_Wtd.Selling.Dist,cross_box_promo_catalogue,promo_ins,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,within_Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,display_platinum,Constant,y_pred,y_true
RidgeRegression,-0.0,-0.043800755334108786,-0.13890195691218288,0.0,-0.047735196424876974,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.04435978743579318,0.11517743846851122,0.19686645753754523,-0.7541484177788381,0.0,-0.0,0.0,-0.11561543435762861,0.0,0.3919905381365515,-0.06309241734178356,0.08632923139477557,0.0,1.2735694464481093,0.9449987212718671,0.7917653333333333
RidgeRegression,-0.0,-0.009797537377366439,-0.10890337493775255,0.0,-0.07770868415368368,0.08336542329298578,-0.0,-0.0,-0.06507381553575761,-0.0,-0.0,0.471571023897666,0.008148878304070736,0.0,-0.2865597533303938,0.0,-0.0,0.0,-0.11561543435762861,0.0,0.0,-0.0,0.0,0.0,1.2735694464481093,1.172996172250249,0.9480533333333334
RidgeRegression,-0.0,-0.0,-0.20267730118337388,0.0,-0.04219493562855239,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.03211118941247714,0.1150979372167642,0.0,-0.46513531481815756,0.0,-0.04892185468563039,0.0,-0.11561543435762861,0.0,0.0,-0.0,0.019059700437807598,0.5167417812098658,1.2735694464481093,1.0820352140516811,0.8048013333333334
RidgeRegression,-0.05271750937485869,-0.0,-0.1252646827266134,0.056793457163145426,-0.04093798291734437,0.12639273854097843,-0.08850345014405432,-0.0,-0.0,-0.0,-0.0,0.13108037073808548,0.09179218847432413,0.0,-0.6475308573100803,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.06589652477919615,0.0,0.0,1.2735694464481093,0.6587771941124956,0.6528076923076923
RidgeRegression,-0.0,-0.0,-0.08294434631020717,0.0,-0.04220460449556171,0.1613524321799725,-0.0,-0.0,-0.0,-0.0,-0.0,0.03211118941247714,0.11601220161185516,0.0,-0.6607862650639297,0.0,-0.0,0.0,-0.11561543435762861,0.0,0.0,-0.0,0.019059700437807598,0.0,1.2735694464481093,0.7005543198628946,0.5516026666666666
RidgeRegression,-0.0,-0.0,-0.027505606002948137,0.011791446568851645,-0.04119497598065681,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.13274831911756,0.06833132587657327,0.0,-1.0246469958932947,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0438698677591467,0.0350807460504562,0.0,1.2735694464481093,0.3843038384255041,0.24535866666666667
RidgeRegression,-0.0,-0.0,-0.10693266645273089,0.0,-0.06289597989544758,0.1613524321799725,-0.08850345014405432,-0.1020281148861754,-0.0,-0.0,-0.0,0.35289204034742855,0.005158291815119231,0.0,-0.49347427654020787,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,1.2735694464481093,0.9391377228720136,0.804892
RidgeRegression,-0.0,-0.0,-0.19182016994006676,0.0,-0.05711399742389069,0.0,-0.08850345014405432,-0.0,-0.0,-0.0,-0.0,0.07034667783661225,0.0788851170459916,0.0,-0.5911705114014001,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.043463665279895335,0.034755924327766786,0.0,1.2735694464481093,0.4854853714691727,0.5574359999999999
RidgeRegression,-0.0,-0.0,-0.07390894577871132,0.0,-0.04441877504068969,0.2447178554729583,-0.08850345014405432,-0.0,-0.0,-0.30512587074091174,-0.0,0.2866834023835584,1.987531293683038e-05,0.0,-0.5088540411115188,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,1.2735694464481093,0.784179496801677,0.996468
RidgeRegression,-0.0,-0.0,-0.10945799654720331,0.011791446568851645,-0.06419160807469283,0.08336542329298578,-0.0,-0.05271452602452395,-0.0,-0.0,-0.0,0.03376640536157387,0.09802504340408945,0.0,-1.0433012320267634,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,1.2735694464481093,0.23085240240242655,0.259512
RidgeRegression,-0.0,-0.0,-0.13689429263639832,0.0,-0.022315745057447024,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.230240538519359,0.011130175244584354,0.0,-0.9177979667691768,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,1.2735694464481093,0.43793215574903055,0.4774293333333333
RidgeRegression,-0.0,-0.0,-0.15775708738524769,0.00832337404860116,-0.03095754344592069,0.032572079767171996,-0.0,-0.0,-0.0,-0.0,-0.0,0.03475953493103194,0.06435626328922169,0.0,-1.051941108379182,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.016981884293863228,0.0,0.0,1.2735694464481093,0.15594307497992244,0.21818133333333334
RidgeRegression,-0.0,-0.0,-0.21828623409540598,0.0,-0.07967146415657002,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5000407382221304,0.017867906330145292,0.0,-0.9131173798748107,0.0,-0.028966887642807467,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,1.2735694464481093,0.5514361252307909,0.5138320000000001
