Model,display_bronze,display_platinum,within_promo_ins,within_display_gold,within_display_bronze,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,promo_ins,Constant,y_pred,y_true
LinearRegression,-0.0,0.0,0.0,-0.0,-0.1032734471146382,0.0,0.0,0.0,-0.0,0.2874414884584181,0.0,-0.20837598113683403,0.05682560875105739,-0.0,-0.0,0.0,0.0,0.0,0.030466191154788217,-0.09038891835062314,0.0,1.2452953266004978,1.2179902683626662,1.1079036363636363
LinearRegression,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.12395770229821315,0.3077418597006195,0.0,-0.12300499041262149,0.0,-0.0,-0.06510345686682363,0.0,0.0,0.0,0.0,-0.0,0.0,1.2452953266004978,1.240971036723459,1.5263018181818182
LinearRegression,-0.0,0.0,0.3718082928218482,-0.0,-0.15663139479053462,0.0,0.0,0.0,-0.12395770229821315,0.29832719477669994,0.0,-0.15333136200841047,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.2452953266004978,1.4815103551018876,1.6856436363636362
LinearRegression,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.20829946144171968,0.0,-0.0,0.05682560875105739,-0.0,-0.06510345686682363,0.0,0.0,0.0,0.030466191154788217,-0.0,0.0,1.2452953266004978,1.4757831310812395,1.1222109090909091
LinearRegression,-0.0,0.0,0.020429027078123517,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.2986214030555726,0.18423951752093426,-0.20546657911528737,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.5023002472514753,1.2452953266004978,2.045418942391316,2.544523636363636
LinearRegression,-0.0,0.0,0.0,-0.0,-0.0,0.060819999613938455,0.0,0.0,-0.0,0.07531731939135614,0.0,-0.10292164187708285,0.0,-0.0,-0.0,0.0,0.0,0.0,0.030466191154788217,-0.0,0.0,1.2452953266004978,1.3089771948834978,1.4122654545454545
LinearRegression,-0.0,0.0,0.12098284878055046,-0.0,-0.0,0.008020219729310565,0.0,0.0,-0.0,0.29097198780488803,0.0,-0.20844106927214182,0.0,-0.17028054696201753,-0.06218540718722407,0.0,0.0,0.0,0.0,-0.0,0.0,1.2452953266004978,1.2243633594938634,1.4956672727272726
LinearRegression,-0.0,0.0,0.0,-0.05166058703120677,-0.0,0.0,0.0,0.0,-0.0,0.29832719477670017,0.0,-0.10044956332279326,0.0,-0.0,-0.0,0.0,0.0,0.0,0.08064580011561587,-0.0,0.0,1.2452953266004978,1.4721581711388139,1.913849090909091
LinearRegression,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.09120456645047041,0.0,-0.20824952038101516,0.0,-0.0,-0.0,0.0,0.0,0.0,0.16308372912268987,-0.09038891835062314,0.0,1.2452953266004978,1.2009451834420197,1.13012
LinearRegression,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0080761537887048,0.0,-0.0,0.8687970475104491,0.0,-0.20095324323052705,0.0,-0.0,-0.06578161787585306,0.0,0.0,0.0,0.0,-0.0,0.0,1.2452953266004978,1.8554336667932716,2.002770909090909
LinearRegression,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.2897951546893979,0.0,-0.20846919925603388,0.0,-0.08616429738885592,-0.0,0.0,0.0,0.0,0.0,-0.09038891835062314,0.0,1.2452953266004978,1.1500680662943827,0.9842818181818181
LinearRegression,-0.0,0.0,0.18386124370311174,-0.07499117472271953,-0.0,0.0,0.0,0.11826978008534123,-0.0,0.8685028392315767,0.0,-0.20251871277657915,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.2452953266004978,2.1384193021212288,2.0489818181818182
LinearRegression,-0.0,0.0,0.0,-0.0,-0.05335794767589639,0.0,0.0080761537887048,0.0,-0.0,0.29097198780488787,0.0,-0.20845975748707782,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.2452953266004978,1.2825257630311162,1.3100945454545454
LinearRegression,-0.0,0.0,0.0,-0.0,-0.0,0.05079472495230025,0.0,0.0,-0.0,0.012062539433771795,0.0,-0.14718502673122616,0.0,-0.0,-0.06510345686682363,0.0,0.0,0.0,0.0,-0.0,0.0,1.2452953266004978,1.09586410738852,0.7644472727272728
LinearRegression,-0.0,0.0,0.0,-0.0,-0.0,0.011361977949856635,0.0,0.0,-0.0,0.06669701682039235,0.0,-0.17543930866111332,0.0,-0.0,-0.12600669070998124,0.0,0.0,0.0,0.16308372912268987,-0.09038891835062314,0.0,1.2452953266004978,1.094603132771719,1.043744
LinearRegression,-0.0,0.0,0.024514832493748202,-0.07499117472271953,-0.0,0.0,0.0,0.0,-0.0,0.2974445699400825,0.18423951752093426,-0.24223615170529395,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.5023002472514753,1.2452953266004978,1.9365671673787246,2.1559381818181818
LinearRegression,-0.0,0.0,0.0,-0.0,-0.1032734471146382,0.060819999613938455,0.0,0.0,-0.0,0.008826248366174572,0.0,-0.1456812266610094,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.09038891835062314,0.0,1.2452953266004978,0.9755979824543402,0.9935309090909091
LinearRegression,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.4577880819255873,0.0,-0.09945644183336402,0.0,-0.0,-0.1911101475768049,0.0,0.0,0.0,0.0,-0.09038891835062314,0.0,1.2452953266004978,1.322127900765293,1.2144127272727274
