Model,display_bronze,within_promo_ins,within_display_gold,cross_box_Price,within_display_bronze,cross_box_Wtd.Selling.Dist,cross_box_promo_catalogue,promo_ins,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,within_Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,within_Price,promo_catalogue,display_silver,display_gold,within_promo_catalogue,cross_box_display_bronze,cross_box_promo_ins,display_platinum,Constant,y_pred,y_true
RidgeRegression,0.0,-0.06268333982386334,-0.0,0.30163172421288925,-0.0,0.06720199538002138,0.0,0.0,0.0,0.0,-0.0,-0.0,0.9721178331966138,-0.0055058813865122005,-0.0,-0.8247991499452871,-0.0,-0.0,-0.0,0.8182036310695393,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.9894211819407628,3.2555879946441637,3.0108
RidgeRegression,0.0,-0.0,-0.0,0.18985452111800302,-0.0,0.07344813529499464,0.0,0.0,0.0,0.0,-0.0,-0.0,1.1307384586599307,-0.1336235059572853,-0.0,-0.012519787211389792,-0.0,-0.0402219450333733,-0.0,1.2244415036072482,0.757120142637222,0.0,0.0,-0.012875325267976379,-0.0,0.0,0.9062030139767312,1.9894211819407628,6.071986393764868,7.0902
RidgeRegression,0.0,-0.12358870499847838,-0.04371543063070895,0.1505013618338185,-0.0,0.0,0.02221587096879583,0.0,0.0,0.0,-0.07397232147866016,-0.0,0.0,-0.12789678427340145,-0.914988675002162,-0.8474880659331888,-0.0,-0.22799618009096076,-0.0,0.5977666377432856,0.0,0.0,0.0,-0.01312056955879498,-0.0,0.13611781164243456,0.0,1.9894211819407628,0.5232561321627418,0.0
RidgeRegression,0.0,-0.0,-0.0,0.3252749058931529,-0.0,0.0921989975497053,0.04299845993960484,0.0,0.0,0.0,-0.14317223511998742,-0.0,1.1307384586599307,-0.09640586543114739,-0.0,-0.850913692517033,-0.0,-0.11563809197094826,-0.0,0.45142988063927675,0.0,0.0,0.0,-0.037016560145432094,-0.0,0.0,0.0,1.9894211819407628,2.788915439437885,2.2854
RidgeRegression,0.0,-0.0,-0.0,0.2504689452859952,-0.0,0.02853067495026646,0.0,0.0,0.0,0.0,-0.0,-0.0,0.9721178331966138,-0.011382350943270784,-0.0,-0.8241458902883556,-0.0,-0.0,-0.0,1.3231649963006544,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.9894211819407628,3.728175390442666,4.44392
RidgeRegression,0.0,-0.0,-0.0,0.18731716582571364,-0.0,0.04865021328196331,0.0,0.0,0.0,0.0,-0.0,-0.0,1.1307384586599307,-0.1514686748560601,-0.0,-0.8435521501316969,-0.0,-0.22838286006567513,-0.0,0.2973516341973478,0.0,0.0,0.0,-0.07310694712889891,-0.0,0.0,0.0,1.9894211819407628,2.3569680217233873,2.11224
RidgeRegression,0.0,-0.0,-0.04289831977779849,0.1185577994103711,-0.0,0.10701802671052837,0.04299845993960484,0.0,0.0,0.0,-0.0,-0.0,1.0729552308125798,-0.08968233719954087,-0.0,-0.8293504835474065,-0.0,-0.0,-0.0,1.1299745722098022,0.0,0.0,0.1332427410356978,-0.0,-0.04946057138407452,0.26372826005721695,0.0,1.9894211819407628,3.8465045602077437,3.55836
RidgeRegression,0.0,-0.0,-0.0,0.29331139984097937,-0.0,0.047036059278170166,0.0,0.0,0.0,0.0,-0.0,-0.0,0.9675858153262334,-0.03446469983288126,-0.0,-0.8300710604808268,-0.0,-0.0,-0.0,1.269063224720766,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.9894211819407628,3.7018819207932037,3.60308
RidgeRegression,0.0,-0.0,-0.0,0.29694692209017104,-0.0,0.07731775583992836,0.02221587096879583,0.0,0.0,0.0,-0.0,-0.0,1.1307384586599307,-0.15961761904168578,-0.0,-0.01711759507829912,-0.0,-0.0402219450333733,-0.0,1.297058695609008,0.757120142637222,0.0,0.0,-0.012875325267976379,-0.016849205636333076,0.0,0.9062030139767312,1.9894211819407628,6.230340351664883,6.25404
RidgeRegression,0.0,-0.0,-0.04289831977779849,0.10077022720439516,-0.0,0.06866230414593406,0.04267697612697227,0.0,0.0,0.068609151513526,-0.0,-0.0,1.1296054541923357,-0.24839995639920054,-0.0,-0.8609611232262796,-0.0,-0.0,-0.0,1.3051731186415783,0.0,0.0,0.1332427410356978,-0.0,-0.0,0.0,0.0,1.9894211819407628,3.685901755397923,4.14544
RidgeRegression,0.37881564410100266,-0.0,-0.0,0.16371741745931312,-0.0011824231874110402,0.06290932950220106,0.04299845993960484,0.0,0.0,0.06912598128010625,-0.0,-0.0,1.1307384586599307,-0.1921647287134175,-0.0,-0.856414203664887,-0.0,-0.0,-0.0,1.2110287402670263,0.0,0.0,0.0,-0.03642850442405818,-0.0,0.0,0.0,1.9894211819407628,3.962565353160174,4.02844
RidgeRegression,0.0,-0.0,-0.0,0.1566328625499639,-0.0032323250683899936,0.05671295962639092,0.04299845993960484,0.0,0.0,0.0,-0.14317223511998742,-0.0,1.1284724497247405,-0.16512350042819798,-0.0,-0.8611287566467268,-0.23174048457730814,-0.0,-0.0,1.1742338368996936,0.0,0.0,0.0,-0.036211852316183575,-0.0,0.0,0.0,1.9894211819407628,3.1078625965243623,3.33164
RidgeRegression,0.0,-0.020440219507781517,-0.0,0.17535482269361322,-0.0,0.09119115425665185,0.04299845993960484,0.0,0.0,0.06912598128010625,-0.0,-0.0,1.1307384586599307,-0.21753525593442366,-0.0,-0.861966900851618,-0.0,-0.0,-0.0,1.1840633985599736,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.9894211819407628,3.5829510810368204,2.25004
RidgeRegression,0.37881564410100266,-0.0,-0.0,0.19350862135211255,-0.0007901239056064429,0.05465924780008228,0.022423495931121026,0.0,0.0,0.0,-0.0,-0.0,1.131871463127526,-0.20763525767213661,-0.0,-0.8496016718584857,-0.0,-0.2287623123773107,-0.0,0.5208800628564338,0.0,0.0,0.0,-0.07322841246161567,-0.01700667484788759,0.1459768120184053,0.0,1.9894211819407628,3.060532076004404,3.43512
RidgeRegression,0.0,-0.0,-0.0,0.27442315124721955,-0.0,0.03690448403946374,0.04299845993960484,0.0,0.0,0.0,-0.0,-0.0,1.1296054541923357,-0.07358822237742745,-0.0,-0.8552254100289178,-0.0,-0.0,-0.0,1.2787217969302176,0.0,0.0,0.0,-0.0,-0.03261136574774144,0.0,0.0,1.9894211819407628,3.790649530135518,3.10856
