Model,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Packsize,Wtd.Selling.Dist,WeekNum,Month,Segment_Sharepacks,Product.Type_Product.Type 3,Constant,y_pred,y_true
LassoRegression,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.021497646867725023,0.1481248137438011,0.0,0.0,0.0,-0.33587898454186216,-0.16625652393033605,0.00022
LassoRegression,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1.9504228703626885,0.18500004921485488,0.0,0.0,0.0,-0.33587898454186216,1.799543935035681,3.31364
LassoRegression,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1.760852711620022,0.3380151600655152,0.0,0.0,0.0,-0.33587898454186216,1.7629888871436752,1.33694
LassoRegression,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.10032106844114813,0.0,0.0,0.0,-0.33587898454186216,-0.23555791610071403,0.0
LassoRegression,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0019543315334295476,0.0768811393193864,0.0,0.0,0.0,-0.33587898454186216,-0.2570435136890462,0.0002
LassoRegression,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1.7432637278191563,0.0768811393193864,0.0,0.0,0.0,-0.33587898454186216,1.4842658825966806,0.60412
LassoRegression,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.2117190695299814,0.0,0.0,0.0,-0.33587898454186216,-0.12415991501188076,0.0
LassoRegression,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1.762807043153452,0.24035746463855248,0.0,0.0,0.0,-0.33587898454186216,1.6672855232501422,1.91642
LassoRegression,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.09201918580667337,0.0,0.0,0.0,-0.33587898454186216,-0.2438597987351888,0.0
LassoRegression,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.08191401625166564,0.0,0.0,0.0,-0.33587898454186216,-0.25396496829019655,0.0
LassoRegression,0.05213820227056627,0.0,0.0,-0.0,0.0,0.0,-0.0,1.8996102504935204,0.2945285173681267,0.0,0.0,0.0,-0.33587898454186216,1.9103979855903515,1.14488
LassoRegression,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.4943656187836475,0.0,0.0,0.0,-0.33587898454186216,0.15848663424178533,0.0
LassoRegression,0.05213820227056627,0.0,0.0,-0.0,0.0,0.0,-0.0,1.9484685388292589,0.5087955624583019,0.0,0.0,0.0,-0.33587898454186216,2.1735233190162644,5.53586
LassoRegression,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.3380151600655152,0.0,0.0,0.0,-0.33587898454186216,0.0021361755236530278,0.0
LassoRegression,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1.8605236198249293,0.18500004921485488,0.0,0.0,0.0,-0.33587898454186216,1.709644684497922,2.0328
LassoRegression,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.38891197515247994,0.2816419141271044,0.0,0.0,0.0,-0.33587898454186216,0.3346749047377222,0.02662
LassoRegression,0.05213820227056627,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.4687916047653836,0.0,0.0,0.0,-0.33587898454186216,0.18505082249408777,0.0
LassoRegression,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1.9113362396940974,0.2816419141271044,0.0,0.0,0.0,-0.33587898454186216,1.8570991692793395,1.56838
LassoRegression,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.10032106844114813,0.0,0.0,0.0,-0.33587898454186216,-0.23555791610071403,0.0
LassoRegression,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.003908663066859095,0.2927394281177321,0.0,0.0,0.0,-0.33587898454186216,-0.039230893357270924,0.0
LassoRegression,0.05213820227056627,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.35857155274696934,0.0,0.0,0.0,-0.33587898454186216,0.07483077047567344,0.0
LassoRegression,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1.6338211619471017,0.12510111633954585,0.0,0.0,0.0,-0.33587898454186216,1.4230432937447854,0.92686
LassoRegression,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1.7198117494180019,0.24798501959942007,0.0,0.0,0.0,-0.33587898454186216,1.6319177844755597,1.2738
LassoRegression,0.05213820227056627,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.371381785590916,0.0,0.0,0.0,-0.33587898454186216,0.0876410033196201,0.0
LassoRegression,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1.766715706220311,0.0768811393193864,0.0,0.0,0.0,-0.33587898454186216,1.5077178609978352,0.76164
LassoRegression,0.05213820227056627,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.24470511958775412,0.0,0.0,0.0,-0.33587898454186216,-0.03903566268354175,0.0
LassoRegression,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.6898790313006302,0.1481248137438011,0.0,0.0,0.0,-0.33587898454186216,0.5021248605025692,0.10142
LassoRegression,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1.9484685388292589,0.2117190695299814,0.0,0.0,0.0,-0.33587898454186216,1.8243086238173782,2.31066
LassoRegression,0.05213820227056627,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.39247302850270516,0.0,0.0,0.0,-0.33587898454186216,0.10873224623140926,0.0
LassoRegression,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.08191401625166564,0.0,0.0,0.0,-0.33587898454186216,-0.25396496829019655,0.0
