Model,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Packsize,Wtd.Selling.Dist,WeekNum,Month,Segment_Xmas,Product.Type_Product.Type 3,Constant,y_pred,y_true
LinearRegression,0.0,0.0,0.0,0.0,-0.0,0.0,0.45856642674346426,0.0,0.28328452801189397,0.0429071093643012,-0.0,-0.0,-0.6913625410977486,0.09339552302191079,0.0
LinearRegression,0.0,0.0,0.0,0.0,-0.0,0.17415520302870682,0.3911301875164842,0.0,0.3071579854594641,0.034125722368544324,-0.0,-0.0,-0.6913625410977486,0.21520655727545068,0.0
LinearRegression,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,7.066427787980274,0.07530349073770527,0.04182424960805464,-0.0,-0.0,-0.6913625410977486,6.492192987228285,3.67794
LinearRegression,0.0,0.0,0.0,0.0,-0.0,0.17415520302870682,0.04046174353618805,0.0,0.17296867960498438,0.04745409620624216,-0.0,-0.0,-0.6913625410977486,-0.2563228187216272,0.0
LinearRegression,0.0,0.0,0.0,0.0654412570479078,-0.0,0.0,0.06743623922698003,6.620350683127812,0.2545754557863861,0.08146688604783958,-0.0,-0.625591248975687,-0.6913625410977486,5.77231673116349,2.94736
LinearRegression,1.1040163248820651,0.0,0.0,0.0,-0.0,0.0,0.45856642674346426,0.0,0.32704772584582786,0.08146688604783958,-0.0,-0.625591248975687,-0.6913625410977486,0.654143573445761,0.0
LinearRegression,0.0,0.0,0.0,0.0,-0.0,0.0,0.45856642674346426,0.0,0.20657038173838446,0.07049917931625752,-0.0,-0.0,-0.6913625410977486,0.0442734467003576,0.0
LinearRegression,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,7.066427787980274,0.6824832792701258,0.24864330139273086,-0.0,-0.0,-0.6913625410977486,7.306191827545382,5.1261
LinearRegression,0.0,0.0,0.0,0.0,-0.0,0.0,0.3911301875164842,0.0,0.2106999522712163,0.04745409620624216,-0.0,-0.0,-0.6913625410977486,-0.042078305103805946,0.0
LinearRegression,0.0,0.0,0.0,0.0,-0.0,0.0,0.45856642674346426,0.0,0.2655242300433859,0.0429071093643012,-0.0,-0.0,-0.6913625410977486,0.0756352250534027,0.0
LinearRegression,0.0,0.0,0.0,0.0,-0.0,0.0,0.06743623922698003,7.080588965912098,0.2921704379702755,0.09336459429433816,-0.0,-0.0,-0.6913625410977486,6.842197696305944,11.23096
LinearRegression,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,7.066427787980274,0.6824832792701258,0.24864330139273086,-0.0,-0.0,-0.6913625410977486,7.306191827545382,3.75354
LinearRegression,0.0,0.0,0.0,0.0,-0.0,0.0,0.13824429041530908,0.0,0.15526676825790345,0.09756684836227343,-0.0,-0.0,-0.6913625410977486,-0.3002846340622627,0.0
LinearRegression,0.0,0.0,0.0,0.0,-0.0,0.0,0.13824429041530908,0.0,0.15493279916137875,0.04745409620624216,-0.0,-0.0,-0.6913625410977486,-0.3507313553148186,0.0
LinearRegression,0.0,0.0,0.0,0.0654412570479078,-0.0,0.0,0.06743623922698003,6.620350683127812,0.42333479121509904,0.04182424960805464,-0.0,-0.0,-0.6913625410977486,6.527024679128105,2.60624
LinearRegression,0.0,0.0,0.0,0.0,-0.0,0.17415520302870682,0.04046174353618805,0.0,0.11661533702434657,0.05610937411386986,-0.0,-0.0,-0.6913625410977486,-0.30402088339463734,0.0
LinearRegression,0.0,0.0,0.0,0.0,-0.0,0.0,0.13824429041530908,0.0,0.34604898956966174,0.04745409620624216,-0.0,-0.0,-0.6913625410977486,-0.1596151649065356,0.0
LinearRegression,0.0,0.0,0.0,0.0,-0.0,0.0,0.13824429041530908,0.0,0.18890971863312536,0.041244076217795037,-0.0,-0.0,-0.6913625410977486,-0.32296445583151917,0.0
LinearRegression,0.0,0.0,0.0,0.0,-0.0,0.0,0.04046174353618805,0.007080588965912098,0.09598548179303941,0.034125722368544324,-0.0,-0.0,-0.6913625410977486,-0.5137090044340648,0.0
LinearRegression,1.1040163248820651,0.0,0.8315977317554423,0.0,-0.0,0.0,0.45856642674346426,0.0,0.30876010260486003,0.07049917931625752,-0.0,-0.0,-0.6913625410977486,2.082077224204341,0.0
LinearRegression,0.0,0.0,0.0,0.0,-0.0,0.17415520302870682,0.45856642674346426,0.0,0.11661533702434657,0.05610937411386986,-0.0,-0.0,-0.6913625410977486,0.11408379981263883,0.0
LinearRegression,0.0,0.0,0.0,0.0,-0.0,0.0,0.5260026659704442,0.0,0.15032623008149124,0.09336459429433816,-0.0,-0.0,-0.6913625410977486,0.07833094924852502,0.0
LinearRegression,0.0,0.0,0.0,0.0,-0.0,0.0,0.04046174353618805,0.0,0.15032623008149124,0.09336459429433816,-0.0,-0.0,-0.6913625410977486,-0.40720997318573116,0.0
LinearRegression,0.0,0.0,0.0,0.0,-0.0,0.0,0.04046174353618805,0.07788647862503309,0.12603897843272865,0.05610937411386986,-0.4199503640234855,-0.0,-0.6913625410977486,-0.8108163304134145,0.01008
LinearRegression,0.0,0.0,0.0,0.0,-0.0,0.0,0.45856642674346426,0.0,0.42333479121509904,0.04182424960805464,-0.0,-0.0,-0.6913625410977486,0.23236292646886925,0.0
LinearRegression,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,7.066427787980274,0.15032623008149124,0.09336459429433816,-0.0,-0.0,-0.6913625410977486,6.618756071258355,3.37092
LinearRegression,0.0,0.0,0.0,0.0654412570479078,-0.0,0.0,0.06743623922698003,7.0735083769461875,0.10261056028179812,0.041244076217795037,-0.0,-0.0,-0.6913625410977486,6.65887796862292,9.59712
