Model,display_bronze,within_promo_ins,within_display_gold,cross_box_Price,within_display_bronze,cross_box_Wtd.Selling.Dist,cross_box_promo_catalogue,promo_ins,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,within_Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,within_Price,promo_catalogue,display_silver,display_gold,within_promo_catalogue,cross_box_display_bronze,cross_box_promo_ins,display_platinum,Constant,y_pred,y_true
SGDRegression,0.0,-0.09983936261943595,-0.0,0.48278015761628706,-0.0,0.30572612024877655,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0876821252939424,-0.0012135363712699333,-0.0,-0.1443893676362699,-0.0,-0.0,-0.0,0.7472093615206172,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.8437822556319344,3.2217377536845815,3.0108
SGDRegression,0.0,-0.0,-0.0,0.30387385766101555,-0.0,0.33414206403046237,0.0,0.0,0.0,0.0,-0.0,-0.0,1.2651593951554247,-0.029451594241206778,-0.0,-0.0021917143810261516,-0.0,-0.022556214527304427,-0.0,1.1181985992090493,0.9808113734781317,0.0,0.0,-0.03797129547988948,0.0,0.0,0.5193462783109215,0.8437822556319344,5.273143004847512,7.0902
SGDRegression,0.0,-0.1968468426966643,-0.039666593665053616,0.24088670174598262,-0.0,0.0,0.00839310710237069,0.0,0.0,0.0,-0.039175845887052786,-0.0,0.0,-0.02818938305944073,-0.5681651232325039,-0.14836129005163962,-0.0,-0.1278588279425715,-0.0,0.545899346770957,0.0,0.0,0.0,-0.038694558250935006,0.0,0.06969653080666689,0.0,0.8437822556319344,0.5216994772720501,0.0
SGDRegression,0.0,-0.0,-0.0,0.5206225265114499,-0.0,0.4194465008412208,0.016244723423943275,0.0,0.0,0.0,-0.07582421784590862,-0.0,1.2651593951554247,-0.021248555116179645,-0.0,-0.14896098035955527,-0.0,-0.06484911676600023,-0.0,0.41226000481429564,0.0,0.0,0.0,-0.10916747450468227,0.0,0.0,0.0,0.8437822556319344,3.0574650617859427,2.2854
SGDRegression,0.0,-0.0,-0.0,0.40089097789267214,-0.0,0.12979633285140627,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0876821252939424,-0.002508753075221578,-0.0,-0.1442750079781969,-0.0,-0.0,-0.0,1.208356006413535,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.8437822556319344,3.5237239370300717,4.44392
SGDRegression,0.0,-0.0,-0.0,0.29981266419359565,-0.0,0.22132737088922744,0.0,0.0,0.0,0.0,-0.0,-0.0,1.2651593951554247,-0.03338479947936693,-0.0,-0.14767226849568296,-0.0,-0.12807567564737127,-0.0,0.271550890632541,0.0,0.0,0.0,-0.21560352327319326,0.0,0.0,0.0,0.8437822556319344,2.3768963096071087,2.11224
SGDRegression,0.0,-0.0,-0.03892516200776289,0.18975906209912272,-0.0,0.48686361049059923,0.016244723423943275,0.0,0.0,0.0,-0.0,-0.0,1.2005069611344563,-0.019766640508955723,-0.0,-0.14518612425362978,-0.0,-0.0,-0.0,1.0319284180293002,0.0,0.0,0.046781719390242574,-0.0,0.1823175299526508,0.13503702843791712,0.0,0.8437822556319344,3.9293433818198182,3.55836
SGDRegression,0.0,-0.0,-0.0,0.46946296585812103,-0.0,0.2139840020164273,0.0,0.0,0.0,0.0,-0.0,-0.0,1.082611346155043,-0.007596270939392043,-0.0,-0.14531226847644663,-0.0,-0.0,-0.0,1.1589485622709328,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.8437822556319344,3.6158805925166195,3.60308
SGDRegression,0.0,-0.0,-0.0,0.4752818431962471,-0.0,0.35174636386333985,0.00839310710237069,0.0,0.0,0.0,-0.0,-0.0,1.2651593951554247,-0.03518088614787574,-0.0,-0.0029966067847830456,-0.0,-0.022556214527304427,-0.0,1.1845149092456195,0.9808113734781317,0.0,0.0,-0.03797129547988948,0.0621081695443096,0.0,0.5193462783109215,0.8437822556319344,5.592438692588447,6.25404
SGDRegression,0.0,-0.0,-0.03892516200776289,0.16128895692162099,-0.0,0.31236959163445643,0.016123267547876408,0.0,0.0,0.04480910341132112,-0.0,-0.0,1.2638917003707,-0.05474916013460463,-0.0,-0.15071988392604607,-0.0,-0.0,-0.0,1.1919252562827614,0.0,0.0,0.046781719390242574,-0.0,0.0,0.0,0.0,0.8437822556319344,3.6365776451224994,4.14544
SGDRegression,0.42845622919517967,-0.0,-0.0,0.2620398129931227,-0.004895772550255399,0.28619723458207985,0.016244723423943275,0.0,0.0,0.04514664844643466,-0.0,-0.0,1.2651593951554247,-0.042354506244943975,-0.0,-0.14992390003080805,-0.0,-0.0,-0.0,1.1059496406966387,0.0,0.0,0.0,-0.1074332086053604,0.0,0.0,0.0,0.8437822556319344,3.94836855269339,4.02844
SGDRegression,0.0,-0.0,-0.0,0.2507005463934236,-0.013383303466819669,0.2580077126631963,0.016244723423943275,0.0,0.0,0.0,-0.07582421784590862,-0.0,1.262624005585975,-0.036394422519145674,-0.0,-0.15074922983841113,-0.20520448339702146,-0.0,-0.0,1.0723473744534806,0.0,0.0,0.0,-0.1067942685371892,0.0,0.0,0.0,0.8437822556319344,3.1153566925474574,3.33164
