Model,display_bronze,display_platinum,within_display_gold,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,promo_ins,Constant,y_pred,y_true
LinearRegression,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.07828948814884579,0.0,-0.7373116049462691,-0.0,0.0,0.030522935215203346,0.0,-0.0,0.0,-0.0,0.008358206045901258,0.0,0.9823604403826927,0.3622194648463739,0.23667600000000003
LinearRegression,-0.0,0.0,0.0,-0.009318076190765233,0.0,0.04927096918439148,-0.0,0.0366308614274416,0.19702458393638972,-0.4605095610747043,-0.0,0.02061703381649029,0.0,0.10964426972735809,-0.0,0.0,-0.0,0.0,0.0,0.9823604403826927,0.9257205212092943,1.0078186666666666
LinearRegression,-0.0,0.3572174440642871,0.0,-0.0,0.0,0.0,-0.0,0.07955699200446657,0.0,-0.2631465502719958,-0.0,0.02061703381649029,0.0,0.10964426972735809,-0.0,0.0,-0.0,0.0,0.0,0.9823604403826927,1.286249629723299,1.5375506666666667
LinearRegression,-0.0,0.0,0.0,-0.0,0.01661211543398827,0.0,-0.0,0.07106471617180708,0.0,-0.6900115123929017,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.9823604403826927,0.38002575959558627,0.36355733333333334
LinearRegression,-0.04577716715541452,0.0,0.0,-0.0,0.0,0.0,-0.0,0.03574360872850702,0.0,-0.7615654204309094,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.008358206045901258,0.07072607298751676,0.9823604403826927,0.2898457405582938,0.5734813333333333
LinearRegression,-0.0,0.0,0.0,-0.049879113727037426,0.0,0.0,-0.0,0.04241912903477665,0.19702458393638972,-0.749276581899944,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.07072607298751676,0.9823604403826927,0.4933745307143944,0.5060986666666667
LinearRegression,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.10706182567143825,0.0,-0.6286628990792594,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.08053734586710164,0.008408066615719823,0.0,0.9823604403826927,0.3886300877234897,0.333696
LinearRegression,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.03485635602957244,0.0,-0.7443460663090846,-0.0,0.0,0.030522935215203346,0.0,-0.0,0.0,-0.0,0.008358206045901258,0.0,0.9823604403826927,0.31175187136428506,0.29959600000000003
LinearRegression,-0.0,0.0,0.07243680256985124,-0.0,0.0,0.0,-0.0,0.03489860615809315,0.0,-0.7826821029665947,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.03748413703920954,0.0,0.0,0.9823604403826927,0.2695296091048328,0.3224613333333333
LinearRegression,-0.0,0.0,0.0,-0.008769954061896687,0.0,0.0,-0.0,0.07486722773866958,0.0,-0.7912571637965082,-0.0,0.014202845518026641,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.9823604403826927,0.27140339578098394,0.35626800000000003
LinearRegression,-0.0,0.0,0.10515019727881633,-0.0,0.0,0.04927096918439148,-0.0,0.04672864214388744,0.0,-0.5434342479912638,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.9823604403826927,0.640076000998524,0.5631266666666667
LinearRegression,-0.0,0.0,0.0,-0.04165728179400928,0.0,0.0,-0.0,0.0760079812087283,0.0,-0.8755267575535798,-0.0,0.0,0.030522935215203346,0.0,-0.0,0.0,-0.0,0.0,0.0,0.9823604403826927,0.17170731745903522,0.180532
LinearRegression,-0.0,0.0,0.10515019727881633,-0.0,0.0,0.0,-0.0,0.07482497761014886,0.0,-0.27381346902551135,-0.0,0.0,0.0,0.10964426972735809,-0.0,0.07808227907493608,-0.0,0.008343613306579054,0.0,0.9823604403826927,1.0845923083550197,0.6393053333333333
LinearRegression,-0.0,0.0,0.0,-0.0,0.01661211543398827,0.0,-0.0,0.07630373210837313,0.0,-0.6707305274420037,-0.0,0.014357224273657366,0.0,0.0,-0.0,0.0,-0.009995769877122543,0.0,0.0,0.9823604403826927,0.40890721487958515,0.42536266666666667
LinearRegression,-0.0,0.0,0.0,-0.0,0.033593388988731834,0.0,-0.0,0.037813865026021,0.0,-0.5523302851778152,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.013327693169496719,0.0,0.07072607298751676,0.9823604403826927,0.5588357890376503,0.389928
LinearRegression,-0.04577716715541452,0.0,0.0,-0.049879113727037426,0.0,0.0,-0.0,0.07562773005204203,0.0,-0.3227532540477723,-0.0,0.0,0.0,0.10964426972735809,-0.0,0.0,-0.0,0.008358206045901258,0.0,0.9823604403826927,0.7575811112777697,0.643324
LinearRegression,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0021547565545553954,0.19702458393638972,-0.8358191236675012,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.013327693169496719,0.0,0.07072607298751676,0.9823604403826927,0.40311903702415663,0.4405533333333333
LinearRegression,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.08319050305724623,0.0,-0.41375894815067954,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.9823604403826927,0.6517919952892594,0.653796
LinearRegression,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.14512919146858344,0.0,-0.6579735374907268,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.07580125490151261,0.008358206045901258,0.0,0.9823604403826927,0.40207304550493783,0.34460799999999997
LinearRegression,-0.0,0.0,0.0,-0.0279542285722957,0.0,0.030862035642970485,-0.0,0.07947249174742517,0.0,-0.5856942394285717,-0.0,0.0,0.030522935215203346,0.0,-0.0,0.0,-0.0,0.0,0.0,0.9823604403826927,0.5095694349874242,0.716628
LinearRegression,-0.0,0.0,0.0,-0.0,0.033593388988731834,0.0,-0.0,0.07841623853440785,0.0,-0.4030448084396898,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.008358206045901258,0.0,0.9823604403826927,0.6996834655120439,0.8519279999999999
LinearRegression,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.11481926282463013,0.07981049277559073,0.0,-0.7895179714899213,-0.0,0.0,0.030522935215203346,0.0,-0.0,0.0,-0.0,0.0,0.0,0.9823604403826927,0.1883566340589352,0.22095333333333336
LinearRegression,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.11481926282463013,0.016519800251591308,0.0,-0.18738293687045718,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.9823604403826927,0.6966780409391966,0.473264
LinearRegression,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.03810961592566589,0.0,-0.47008628601233204,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.014160673992590269,0.0,0.07072607298751676,0.9823604403826927,0.606949169290953,0.6755466666666667
LinearRegression,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.03789836528306242,0.0,-0.44449161859884906,-0.0,0.0,0.0,0.10964426972735809,-0.0,0.0,-0.0,0.0,0.0,0.9823604403826927,0.6854114567942641,0.45383066666666666
LinearRegression,-0.0,0.0,0.0,-0.049879113727037426,0.0,0.0,-0.0,0.07816273776328364,0.0,-0.7988634879016182,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.014160673992590269,0.0,0.0,0.9823604403826927,0.19761990252473038,0.25786933333333334
LinearRegression,-0.0,0.0,0.0,-0.0,0.006275688052840013,0.0,-0.0,0.04461613571785272,0.0,-0.7960116400828458,-0.0,0.0,0.0308547062501512,0.0,-0.0,0.0,-0.0,0.0,0.0,0.9823604403826927,0.2680953303206908,0.2942133333333333
LinearRegression,-0.0,0.0,0.0,-0.0,0.03353473769851838,0.0,-0.0,0.10017505472256516,0.0,-0.12744926693124278,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.9823604403826927,0.9886209658725335,0.9774453333333334
LinearRegression,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.07592348095168688,0.0,-0.973167989602757,-0.0,0.0,0.030522935215203346,0.0,-0.0,0.0,-0.0,0.0,0.0,0.9823604403826927,0.1156388669468259,0.19417066666666666
LinearRegression,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.06941696115950002,0.0,-0.49562275952364315,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.9823604403826927,0.5561546420185495,0.436436
LinearRegression,-0.0,0.0,0.10393106455674311,-0.0,0.0,0.024906204203098987,-0.11481926282463013,0.07964149226150793,0.0,-0.2636640399128291,-0.0,0.014357224273657366,0.0,0.10964426972735809,-0.0,0.07808227907493608,-0.0,0.0,0.0,0.9823604403826927,1.014439671742535,1.2432333333333332
LinearRegression,-0.0,0.0,0.0,-0.0,0.033593388988731834,0.0,-0.0,0.07943024161890448,0.0,-0.8998224477008645,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.9823604403826927,0.19556162328946447,0.21461733333333335
LinearRegression,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.07782473673511814,0.0,-0.4035190065931739,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.9823604403826927,0.6566661705246368,0.6371199999999999
LinearRegression,-0.0,0.0,0.0,-0.0,0.01661211543398827,0.0,-0.0,0.07605023133724897,0.0,-0.4424464361085537,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.038317117862303074,0.0,0.0,0.9823604403826927,0.5942592331830732,0.614856
LinearRegression,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.19702458393638972,-0.5040942298386346,-0.0,0.0,0.0,0.10964426972735809,-0.0,0.0,-0.0,0.0,0.0,0.9823604403826927,0.7849350642078059,0.7533533333333333
LinearRegression,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.07896549020517686,0.0,-0.3233865614919875,-0.17170593194237588,0.0,0.04430748660271454,0.0,-0.0,0.0,-0.048312887739425624,0.008358206045901258,0.0,0.9823604403826927,0.5705862420626964,0.59862
LinearRegression,-0.0,0.0,0.0,-0.0,0.033593388988731834,0.0,-0.0,0.04098262466507306,0.0,-0.5511400897490327,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.07072607298751676,0.9823604403826927,0.5765224372749815,0.68352
LinearRegression,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.08910552105014341,0.0,-0.5756916067688866,-0.0,0.0,0.030522935215203346,0.0,-0.0,0.0,-0.0,0.0,0.0,0.9823604403826927,0.5262972898791527,0.35324666666666665
LinearRegression,-0.0,0.0,0.0,-0.049879113727037426,0.0,0.0,-0.0,0.03489860615809315,0.0,-0.2695201060811597,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.9823604403826927,0.6978598267325886,0.7148093333333333
LinearRegression,-0.0,0.0,0.0,-0.0,0.006275688052840013,0.0,-0.0,0.07659948300801799,0.0,-0.47504456720537386,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.9823604403826927,0.5901910442381768,0.4820346666666666
LinearRegression,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.07237447015594858,0.0,-0.26533466635187153,-0.17170593194237588,0.0,0.030522935215203346,0.0,-0.0,0.0,-0.014160673992590269,0.0,0.0,0.9823604403826927,0.634056573467007,0.6082413333333333
LinearRegression,-0.0,0.0,0.10515019727881633,-0.0,0.033593388988731834,0.0,-0.0,0.03494085628661386,0.0,-0.49387288140759555,-0.0,0.0,0.0,0.10964426972735809,-0.0,0.07808227907493608,-0.0,0.0,0.0,0.9823604403826927,0.8498985503315533,0.8940066666666666
LinearRegression,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.03502535654365524,0.0,-0.7004886891707961,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.9823604403826927,0.3168971077555518,0.556732
LinearRegression,-0.0,0.0,0.0,-0.008935424893253231,0.03347497978018769,0.0,-0.0,4.2250128520707935e-05,0.19702458393638972,-0.8216274027451275,-0.0,0.0,0.030522935215203346,0.0,-0.0,0.0,-0.0,0.008328745232552654,0.0,0.9823604403826927,0.421191107037166,0.24739733333333333
