Model,display_bronze,within_display_bronze,promo_ins,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,display_platinum,Constant,y_pred,y_true
BayesianRegression,0.0,-0.10021067382208372,0.0,-0.0,-0.0,-0.0,-0.0,0.000615540612439945,-0.23676003115192407,0.0,-0.0,-0.0,0.29211043573635986,0.0,0.3513561406126049,-0.0,-0.0,0.0,0.5466062213616217,0.8537176333490186,0.5189417777777778
BayesianRegression,0.0,-0.0,0.0,-0.0,-0.0,-0.10924425676310612,-0.0,0.20497502394246594,-0.3618416955678424,0.0,-0.320211149132532,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.5466062213616217,-0.03971585615939288,0.2417746666666667
BayesianRegression,0.0,-0.0,0.0,-0.0,-0.28596428702027005,-0.0,-0.0,0.18732952638585712,-0.40622290781381176,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.5466062213616217,0.041748552913397075,0.15850055555555553
BayesianRegression,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.2158495747622362,-0.28617135116674136,0.0,-0.8664536976527337,-0.0,0.29211043573635986,0.0,0.0,-0.0,-0.0,1.1534475904312982,0.5466062213616217,1.0553887734720409,0.5693241111111111
BayesianRegression,0.0,-0.0,0.06832703954690064,-0.0,-0.0,-0.0,-0.0,0.2057957447590523,-0.3097972199788997,0.0,-0.0,-0.09332311671696739,0.0,0.0,0.0,-0.05427948630637159,-0.0,0.0,0.5466062213616217,0.363329182665336,0.4307074444444444
BayesianRegression,0.2720120589797618,-0.27115829387152063,0.06832703954690064,-0.0,-0.0,-0.0,-0.0,0.4062568042102926,-0.2865587476109848,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.05427948630637159,-0.0,0.0,0.5466062213616217,0.6812055963096997,0.5273926666666666
BayesianRegression,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.24416444293446882,-0.3992833229008385,0.0,-0.0,-0.3172985968376893,0.0,0.0,0.0,-0.10505707027039664,-0.10638498974067331,0.0,0.5466062213616217,-0.13725331545350727,0.16586077777777777
BayesianRegression,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0008207208165863527,-0.09179602466767572,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.028369330597512874,0.0,0.5466062213616217,0.4272615869130195,0.21694411111111112
BayesianRegression,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.03631707292192267,0.19451083353098853,-0.35311757433495533,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.05427948630637159,-0.054965578032681206,0.0,0.5466062213616217,0.2424373432966795,0.12938188888888888
BayesianRegression,0.0,-0.0,0.06832703954690064,-0.0,-0.0,-0.10823273586715143,-0.0,0.02807628653950394,-0.06537688907925011,0.0,-0.8664536976527337,-0.0,0.0,0.0,0.0,-0.0,-0.028369330597512874,1.1534475904312982,0.5466062213616217,0.7280244846826763,0.4670404651162791
BayesianRegression,0.2720120589797618,-0.3032846569497769,0.06832703954690064,-0.0,-0.0,-0.0,-0.0,0.2997682782582007,-0.3168313648732356,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.08229470504514402,-0.0,0.0,0.5466062213616217,0.4843028712783283,0.4111585555555555
BayesianRegression,0.2720120589797618,-0.27115829387152063,0.0,-0.0,-0.0,-0.0,-0.03631707292192267,0.014558468121493803,-0.24666371758310318,0.0,-0.0,-0.0,0.29211043573635986,0.0,0.0,-0.07879280270279748,-0.0,0.0,0.5466062213616217,0.49235529711989323,0.35808954545454547
BayesianRegression,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.03631707292192267,0.00020518020414667844,-0.3371791948814314,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.15933655657676823,-0.16135056777335452,0.0,0.5466062213616217,-0.14737199058770845,0.12410522222222223
BayesianRegression,0.0,-0.07073694622735319,0.0,-0.0,-0.0,-0.0,-0.0,0.000615540612439945,-0.28467192001615943,0.0,-0.8664536976527337,-0.0,0.29211043573635986,0.0,0.0,-0.05478677122512273,-0.03042411856135143,1.1534475904312982,0.5466062213616217,0.6857063344589992,0.4400505555555556
BayesianRegression,0.0,-0.0,0.06832703954690064,-0.0,-0.0,-0.0,-0.0,0.20518020414661237,-0.34650171793287693,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.05301945602431232,-0.05368962099062018,0.0,0.5466062213616217,0.3669026701073253,0.11676488888888888
BayesianRegression,0.0,-0.0,0.0,-0.0,-0.0,-0.20948271458158343,-0.0,0.0010259010207331215,-0.3369383780755548,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.5466062213616217,0.0012110297252165836,0.20001299999999997
BayesianRegression,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.22118426007004824,-0.34942426457902914,0.0,-0.320211149132532,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.5466062213616217,0.09815506772010885,0.15750733333333333
BayesianRegression,0.0,-0.0,0.0,-0.0,-0.14774821496047283,-0.0,-0.0,0.20538538435075895,-0.3533654995261854,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.5466062213616217,0.25087789122572246,0.21873411111111113
