Model,display_bronze,display_platinum,within_promo_ins,within_display_gold,cross_box_Price,within_display_bronze,cross_box_Wtd.Selling.Dist,cross_box_promo_catalogue,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,within_Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,within_Price,promo_catalogue,display_silver,display_gold,within_promo_catalogue,cross_box_display_bronze,cross_box_promo_ins,promo_ins,Constant,y_pred,y_true
BayesianRegression,0.0,0.0,-0.0,0.3014073760517399,0.15548507887131754,0.0,-0.4078428897773171,0.1359228720237737,-0.0,-0.0,-0.07001589943205884,-0.38020808407574097,0.0005971022212972759,0.051740347347562284,0.0,-0.6221050743430762,-0.0,-0.017099622354171007,0.0,0.0,0.0,0.0,0.0,-1.0635639347401755,-0.0,0.0,0.0,1.80551317570234,-0.110169552504509,0.32448
BayesianRegression,0.0,0.0,-0.0,0.0,0.23974007700028133,0.0,-0.017027440648202757,0.0,-0.0,-0.0,-0.0,-0.0,0.004776817770378479,0.02415880104395357,0.0,-0.6173674169163472,-0.0,-0.0,0.0,0.011068315941559218,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.80551317570234,1.4508623298939627,0.952848
BayesianRegression,0.0,0.0,-0.0,0.0,0.240238152386656,0.0,-0.4361879706168403,0.0,-0.0,-0.0,-0.0,-0.38020808407574097,0.0005971022212972759,0.04922566891036348,0.0,-0.6206865396398134,-0.0,-0.0,0.233714472646796,0.009290437788484486,0.0,0.0,0.0,-0.36278200233532193,-0.0,0.0,0.0,1.80551317570234,0.5387144129882209,0.7744880000000001
BayesianRegression,0.0,0.0,-0.36649521999425677,0.0,0.15856436378905087,0.0,-0.4122272008424237,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0494685239907878,0.0,-0.6255259667612679,-0.0,-0.0,0.0,0.009784431716007657,0.0,0.0,0.0,-0.7021587141973975,-0.0,0.0024894429262048968,0.9477873767757268,1.80551317570234,0.867200213104772,0.8451040000000001
BayesianRegression,0.0,0.0,-0.0,0.1568290477333555,0.17138543616844315,0.0,-0.0707607413763649,0.06721460704472326,-0.0,-0.0,-0.0,-0.0,0.004776817770378479,0.0421195180788159,0.0,-0.6253740637382017,-0.0,-0.0,0.0,0.012827652542924952,0.0,0.0,0.0,-0.36278200233532193,-0.0015055647799876424,0.0,0.0,1.80551317570234,1.200243882811105,1.529528
BayesianRegression,0.0,0.0,-0.6136664148741044,0.0,0.0561097103622774,0.0,-0.434250716890398,0.1359228720237737,-0.0,-0.22241566302692956,-0.0,-0.0,0.0007961362950630685,0.04738841743237052,0.0,-0.6250285474034387,-0.0,-0.0,0.0,0.0054972343588456,0.0,0.0,0.0,-0.36278200233532193,-0.0,0.0,0.9477873767757268,1.80551317570234,0.740871578420204,0.966056
BayesianRegression,0.0,0.0,-0.0,0.0,0.12770724526603394,0.22089408622762477,-0.014784304754427827,0.0,-0.0,-0.0,-0.0,-0.0,0.004776817770378479,0.061569042345844996,0.0,-0.6193450829218872,-0.0,-0.0,0.0,0.004758299158185286,0.0,0.0,0.0,-0.5266190356480481,-0.0,0.003775655104744093,0.0,1.80551317570234,1.0682458982507883,1.029912
BayesianRegression,0.0,0.0,-0.0,0.0,0.19415892693287157,0.0,-0.14111363986295172,0.06721460704472326,-0.0,-0.10998576743089923,-0.0,-0.0,0.0009951703688288612,0.03463780107856443,0.0,-0.6247587412511655,-0.0,-0.017099622354171007,0.0,0.00581150449761669,0.0,0.0,0.0,-0.36633868863272706,-0.00040148394133003796,0.0,0.0,1.80551317570234,0.8486332421517002,1.6001439999999998
BayesianRegression,0.0,0.0,-0.0,0.30651597564583716,0.14870357672283818,0.0,-0.28733198617575617,0.0,-0.0,-0.0,-0.0,-0.0,0.001990340737657688,0.06543091431102449,0.0,-0.5934777973356714,-0.0,-0.0,0.0,0.012051230899091266,0.0,0.0,0.0,-0.7090426231601171,-0.003039270957732063,0.003769063121917694,0.0,1.80551317570234,0.7510825995114296,1.230008
BayesianRegression,0.0,0.0,-0.0,0.0,0.13559425577003906,0.0,-0.34992919942893774,0.0,-0.0,-0.22241566302692956,-0.0,-0.0,0.004577783696612686,0.08290861267356796,0.0,-0.6168847845901555,-0.0,-0.0,0.0,0.006016848800558354,0.0,0.0,0.0,-0.0,-0.0,0.003775655104744093,0.0,1.80551317570234,0.8491566847018392,0.7416240000000001
BayesianRegression,0.0,0.0,-0.09375459116132145,0.0,0.1677388273894709,0.0,-0.1104234624072086,0.0,-0.0,-0.0,-0.0,-0.0,0.0007961362950630685,0.0,0.19196386698774007,-1.0036421636870883,-0.0,-0.0,0.0,0.007524607189509523,0.0,0.0,0.0,-0.7021587141973975,-0.0,0.0,0.9477873767757268,1.80551317570234,1.2113450588868346,1.1599119999999998
BayesianRegression,0.0,0.0,-0.2668078516738855,0.0,0.22141848227882324,0.1536633588942932,-0.25041553432327285,0.0,-0.0,-0.0,-0.0,-0.0,0.0009951703688288612,0.0450016882191292,0.0,-0.6257911270134772,-0.0,-0.0,0.0,0.0022267757243425172,0.0,0.0,0.0,-0.0,-0.0005687689168842204,0.0,0.0,1.80551317570234,1.0852353692602372,0.7468239999999999
