Model,display_bronze,display_platinum,within_display_bronze,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,promo_ins,Constant,y_pred,y_true
LinearRegression,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.00433748625473256,0.0,-0.10925717581183303,0.0,-0.0,-0.13263628288664425,0.0,1.2390588271363705,0.09797589368226345,-0.0,-0.0,2.283002971741472,3.3824817201163615,3.7464425806451613
LinearRegression,0.0,0.0,0.0007318882523374545,0.12058952810379099,0.0,0.0,-0.0,0.43123744922051854,0.0,-2.3383334743048465,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,2.283002971741472,0.49722836301327256,0.4509258064516129
LinearRegression,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0003424331253734715,0.0,-2.150141664877079,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,2.283002971741472,0.13320373998976676,0.4737761290322581
LinearRegression,0.0,0.0,0.0,0.35398861475628973,0.0,0.0,-0.0,0.4306667273448959,0.0,-0.2161778405497769,0.0,-0.22261562204237298,-0.13263628288664425,1.4749860019844343,0.0,0.0,-0.0,-0.0,2.283002971741472,3.9712145703482977,4.630576774193548
LinearRegression,0.0,0.0,0.0,0.0,0.10568701539037009,0.0,-0.0,0.5243792593221446,0.0,-2.4625263391954175,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,2.283002971741472,0.45054290725856916,0.43774193548387097
LinearRegression,0.02255973969855067,0.0,0.0006457837520624601,0.0,0.0,0.03903122470971669,-0.0,0.3142394647178633,0.0,-0.8765594327935219,0.1382586300043587,-0.0,-0.13263628288664425,0.0,0.0,0.0,-0.0,-0.0,2.283002971741472,1.7885420989438576,1.6364406451612903
LinearRegression,0.02255973969855067,0.0,0.0006457837520624601,0.12058952810379099,0.0,0.0,-0.0,0.0025111762527398954,0.0,-0.4429257536243051,0.0,-0.0,-0.13263628288664425,0.0,0.0,0.0,-0.0,-0.0,2.283002971741472,1.8537471630376665,1.7090238709677419
LinearRegression,0.0,0.0,0.0,0.0,0.0,0.03903122470971669,-0.01889059060824491,0.5231236711957745,0.0,-2.323959990086807,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,2.283002971741472,0.5023072869519112,0.4161406451612903
LinearRegression,0.0,0.0,0.0007318882523374545,0.0,0.0,0.03903122470971669,-0.0,0.25271564652573536,0.0,-2.343910172812671,0.1382586300043587,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,2.283002971741472,0.36983018842094917,0.5355090322580646
LinearRegression,0.0,0.0,0.0,0.0,0.20841505165234275,0.03720200724005863,-0.0,0.31994668347409044,0.0,-0.7799321304189502,0.0,-0.0,-0.13263628288664425,0.0,0.0,0.0,-0.09311336613269902,-0.0,2.283002971741472,1.8428849346696703,1.7330651612903225
LinearRegression,0.0,0.0,0.0,0.0,0.0,0.03903122470971669,-0.0,0.0042233418796079735,0.0,-1.9711019850663272,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.34653780567903264,2.283002971741472,0.008617747585436764,0.47698903225806455
LinearRegression,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.3146960422183615,0.0,-2.4946738129218056,0.0,-0.0,-0.0,0.0,0.0,0.06749450453667036,-0.09769173726438346,-0.0,2.283002971741472,0.07282796831031435,0.43813290322580645
LinearRegression,0.0,0.0,0.0,0.0,0.0,0.03903122470971669,-0.0,0.3177779403467242,0.0,-1.2551221179004977,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.34653780567903264,2.283002971741472,1.0381522132183825,1.1240129032258064
LinearRegression,0.02255973969855067,0.0,0.0025831350082498408,0.2355803865277557,0.0,0.0,-0.0,0.3536040548858136,0.0,-1.3714182968899107,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.34653780567903264,2.283002971741472,1.1793741852928983,1.7370026666666667
LinearRegression,0.0,0.0,0.0006888360021999575,0.0,0.0,0.0,-0.0,0.5787119818814265,0.6996405674565294,-0.365802916556459,0.0,-0.0,-0.13263628288664425,0.0,1.2390588271363705,0.09797589368226345,-0.053572888177242546,-0.0,2.283002971741472,4.347066990279917,5.365867741935484
LinearRegression,0.02255973969855067,0.0,0.0025831350082498408,0.0,0.0,0.0,-0.0,0.4355749354752512,0.0,-1.3067312961439959,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.34653780567903264,2.283002971741472,1.090451680100495,1.4727329032258063
LinearRegression,0.0,0.0,0.0,0.0,0.10568701539037009,0.0,-0.0,0.6489107725830197,0.6996405674565294,-1.5813359068278137,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.053572888177242546,-0.34653780567903264,2.283002971741472,1.7557947264873022,1.254127741935484
LinearRegression,0.0,0.0,0.0007615593977024867,0.0,0.20455551365878083,0.0,-0.0,0.4308950160951451,0.0,-2.396917268186839,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,2.283002971741472,0.5222977927062611,0.47141870967741933
LinearRegression,0.02255973969855067,0.0,0.002573504899666453,0.0,0.0,0.0,-0.01889059060824491,0.5193569068166648,0.0,-0.5727828158726457,0.0,-0.0,-0.13263628288664425,0.0,0.0,0.09797589368226345,-0.0,-0.0,2.283002971741472,2.2011593274710823,1.591356129032258
