Model,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Packsize,Wtd.Selling.Dist,WeekNum,Month,Product.Type_Product.Type 3,Constant,y_pred,y_true
RidgeRegression,0.5543197729504461,0.0,0.7667027923351689,0.0,-0.0,-0.0,0.6955350858126957,3.424263732724485,1.0519664147671932,0.014512388894337718,0.0,-1.3355882210584047,5.171711966425922,30.17066
RidgeRegression,0.5543197729504461,0.0,0.0,0.0,-0.0,-0.09580351032287775,0.6955350858126957,3.424263732724485,0.48947022528705514,0.02321719540889992,0.0,-1.3355882210584047,3.7554142808022997,8.93022
RidgeRegression,0.5543197729504461,0.0,0.0,0.0,-0.08260287551192051,-0.0,0.6955350858126957,3.424263732724485,0.7495086317769863,0.012878832304403188,0.0,-1.3355882210584047,4.018314958998691,13.1456
RidgeRegression,0.0,0.0,0.0,0.0,-0.0,-0.0,0.46369005720846385,0.0,0.1786760863695281,0.012878832304403188,0.0,-1.3355882210584047,-0.6803432451760095,0.0
RidgeRegression,0.5543197729504461,0.0,0.0,0.0,-0.0,-0.09580351032287775,0.57961257151058,3.420839468991761,0.7919009117694841,0.002326309279006968,0.0,-1.3355882210584047,3.917607303119995,6.31512
RidgeRegression,0.0,0.0,0.0,0.0,-0.0,-0.0,0.6955350858126957,3.4071424140608624,0.06566217561526479,0.014791542011587507,0.0,-1.3355882210584047,2.847542996442006,0.8424
RidgeRegression,0.0,0.0,0.0,0.0,-0.0,-0.0,0.46369005720846385,0.01369705493089794,0.3134648164591782,0.012878832304403188,0.0,-1.3355882210584047,-0.5318574601554614,0.0
RidgeRegression,0.5543197729504461,0.0,0.0,0.5450602441207696,-0.0,-0.0,0.521651314359522,0.0,2.195056774142671,0.02321719540889992,0.0,-1.3355882210584047,2.503717079923904,0.0
RidgeRegression,0.0,0.18845191821094462,0.0,0.0,-0.0,-0.09580351032287775,0.6955350858126957,3.39002109539724,0.23496299707029336,0.01072685832723162,0.0,-1.3355882210584047,3.0883062234371224,1.91178
RidgeRegression,0.0,0.0,0.0,0.0,-0.0,-0.0,0.46369005720846385,0.0,0.2273576293329562,0.007181305578682282,0.0,-1.3355882210584047,-0.6373592289383024,0.0
RidgeRegression,0.5543197729504461,0.0,0.0,0.0,-0.08260287551192051,-0.0,0.46369005720846385,0.0,0.742172384513554,0.007181305578682282,0.0,-1.3355882210584047,0.3491724236808209,0.0
RidgeRegression,0.0,0.0,0.0,0.0,-0.0,-0.0,0.521651314359522,0.0,0.1786760863695281,0.012878832304403188,0.0,-1.3355882210584047,-0.6223819880249514,0.0
RidgeRegression,0.0,0.0,0.0,0.0,-0.0,-0.0,0.11592251430211596,0.0,0.06566217561526479,0.014791542011587507,0.0,-1.3355882210584047,-1.1392119891294366,0.0
RidgeRegression,0.0,0.0,0.0,0.0,-0.0,-0.0,0.46369005720846385,3.020200612262996,0.46728848650990346,0.008506746255586109,0.0,-1.3355882210584047,2.6240976811785446,1.14158
RidgeRegression,0.0,0.0,0.0,0.0,-0.0,-0.0,0.46369005720846385,0.0,0.05666228858797172,0.002326309279006968,0.0035479387697404515,-1.3355882210584047,-0.8093616272132217,0.0
RidgeRegression,0.0,0.0,0.0,0.0,-0.0,-0.0,0.521651314359522,0.0,0.026927330943834593,0.0,0.0,-1.3355882210584047,-0.7870095757550482,0.0
RidgeRegression,0.5543197729504461,0.0,0.0,0.0,-0.08260287551192051,-0.0,0.11592251430211596,0.0,0.7263108352313983,0.007181305578682282,0.0,-1.3355882210584047,-0.014456668507682569,0.0
RidgeRegression,0.0,0.0,0.0,0.0,-0.0,-0.0,0.46369005720846385,0.0,0.12100440785882578,0.007181305578682282,0.0,-1.3355882210584047,-0.7437124504124328,0.0
RidgeRegression,0.0,0.0,0.0,0.0,-0.0,-0.0,0.521651314359522,0.0,0.0,0.012631558085321092,0.0,-1.3355882210584047,-0.8013053486135616,0.0
RidgeRegression,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.5797992265491722,0.01072685832723162,0.0,-1.3355882210584047,-0.7450621361820009,0.0
RidgeRegression,0.0,0.0,0.0,0.0,-0.0,-0.0,0.46369005720846385,0.0,0.07806523754327593,0.02321719540889992,0.0,-1.3355882210584047,-0.770615730897765,0.0
RidgeRegression,0.0,0.0,0.0,0.0,-0.0,-0.0,0.34776754290634787,0.0,0.3134648164591782,0.012878832304403188,0.0035479387697404515,-1.3355882210584047,-0.657929090618735,0.0
RidgeRegression,0.5543197729504461,0.0,0.0,0.0,-0.0,-0.0,0.46369005720846385,3.2462020186228115,0.24802510101750425,0.014791542011587507,0.0,-1.3355882210584047,3.191440270752408,1.93116
RidgeRegression,0.0,0.0,0.0,0.0,-0.0,-0.0,0.521651314359522,0.0,1.0519664147671932,0.014512388894337718,0.0,-1.3355882210584047,0.25254189696264806,0.0
RidgeRegression,0.0,0.18845191821094462,0.0,0.0,-0.0,-0.09580351032287775,1.2171864001722177,0.0,0.6354991208565555,0.0016899111270375347,0.0,-1.3355882210584047,0.6114356189854728,0.0
RidgeRegression,0.5543197729504461,0.0,0.7667027923351689,0.0,-0.0,-0.0,0.46369005720846385,0.0,1.5622601304390171,0.012631558085321092,0.0,-1.3355882210584047,2.0240160899600124,0.0
RidgeRegression,0.0,0.18845191821094462,0.0,0.0,-0.0,-0.09580351032287775,0.521651314359522,0.0,0.26553726732341304,0.0016899111270375347,0.0,-1.3355882210584047,-0.4540613203603653,0.0
