Model,display_bronze,display_platinum,within_display_bronze,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,promo_ins,Constant,y_pred,y_true
BayesianRegression,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.004681954385535697,0.0,-0.10499521496929665,0.0,-0.0,-0.1981625712231005,0.0,1.4495228675242247,0.06304333413941156,-0.0,-0.0,2.3320951880226692,3.5461855578794443,3.7464425806451613
BayesianRegression,0.0,0.0,-0.11579998374665292,-0.028226655918597836,0.0,-0.0,-0.0,0.465484833382999,0.0,-2.2471185437501435,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,2.3320951880226692,0.406434837990274,0.4509258064516129
BayesianRegression,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.000369627977805286,0.0,-2.0662678184819057,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,2.3320951880226692,0.26619699751856896,0.4737761290322581
BayesianRegression,0.0,0.0,-0.0,-0.08285889318040011,0.0,-0.0,-0.0,0.4648687867533233,0.0,-0.20774506270611384,0.0,-4.964239973071059,-0.1981625712231005,6.6263968977726675,0.0,0.0,-0.0,-0.0,2.3320951880226692,3.9703543723679857,4.630576774193548
BayesianRegression,0.0,0.0,-0.0,-0.0,0.013180734283125842,-0.0,-0.0,0.5660236433460819,0.0,-2.366466828656352,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,2.3320951880226692,0.544832736995525,0.43774193548387097
BayesianRegression,0.3609971439151953,0.0,-0.10217645624704672,-0.0,0.0,-0.09674063651988489,-0.0,0.3391952742994696,0.0,-0.8423661457076838,0.07079512868749288,-0.0,-0.1981625712231005,0.0,0.0,0.0,-0.0,-0.0,2.3320951880226692,1.8636369252271112,1.6364406451612903
BayesianRegression,0.3609971439151953,0.0,-0.10217645624704672,-0.028226655918597836,0.0,-0.0,-0.0,0.00271060517057329,0.0,-0.42564787504039553,0.0,-0.0,-0.1981625712231005,0.0,0.0,0.0,-0.0,-0.0,2.3320951880226692,1.9415893786792973,1.7090238709677419
BayesianRegression,0.0,0.0,-0.0,-0.0,0.0,-0.09674063651988489,-0.05435361479782024,0.5646683407607952,0.0,-2.2333057478937874,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,2.3320951880226692,0.5123635295719717,0.4161406451612903
BayesianRegression,0.0,0.0,-0.11579998374665292,-0.0,0.0,-0.09674063651988489,-0.0,0.27278544762042345,0.0,-2.2524777034968353,0.07079512868749288,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,2.3320951880226692,0.2106574405672128,0.5355090322580646
BayesianRegression,0.0,0.0,-0.0,-0.0,0.02599244009575638,-0.09220683919059022,-0.0,0.34535574059622726,0.0,-0.7495081314918103,0.0,-0.0,-0.1981625712231005,0.0,0.0,0.0,-0.10690207096299194,-0.0,2.3320951880226692,1.5566637558461598,1.7330651612903225
BayesianRegression,0.0,0.0,-0.0,-0.0,0.0,-0.09674063651988489,-0.0,0.004558745059600498,0.0,-1.8942122117898648,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.23035505230686687,2.3320951880226692,0.11534603246565345,0.47698903225806455
BayesianRegression,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.3396881116032103,0.0,-2.397360276977175,0.0,-0.0,-0.0,0.0,0.0,0.04342985240715017,-0.11215843077407137,-0.0,2.3320951880226692,0.20569444428178363,0.43813290322580645
BayesianRegression,0.0,0.0,-0.0,-0.0,0.0,-0.09674063651988489,-0.0,0.3430147634034594,0.0,-1.2061616603438607,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.23035505230686687,2.3320951880226692,1.141852602255516,1.1240129032258064
BayesianRegression,0.3609971439151953,0.0,-0.4087058249881869,-0.05514281891845463,0.0,-0.0,-0.0,0.3816860638369719,0.0,-1.3179212973871126,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.23035505230686687,2.3320951880226692,1.0626534021742153,1.7370026666666667
BayesianRegression,0.0,0.0,-0.10898821999684985,-0.0,0.0,-0.0,-0.0,0.6246712824912136,0.5357746811127709,-0.35153348578575827,0.0,-0.0,-0.1981625712231005,0.0,1.4495228675242247,0.06304333413941156,-0.061506236230942375,-0.0,2.3320951880226692,4.284916840053639,5.365867741935484
BayesianRegression,0.3609971439151953,0.0,-0.4087058249881869,-0.0,0.0,-0.0,-0.0,0.4701667877685348,0.0,-1.2557576408714664,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.23035505230686687,2.3320951880226692,1.2684406015398793,1.4727329032258063
BayesianRegression,0.0,0.0,-0.0,-0.0,0.013180734283125842,-0.0,-0.0,0.7004450179413313,0.5357746811127709,-1.519650331818955,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.061506236230942375,-0.23035505230686687,2.3320951880226692,1.7699840010031331,1.254127741935484
BayesianRegression,0.0,0.0,-0.12049457768232806,-0.0,0.025511098612501632,-0.0,-0.0,0.4651152054051937,0.0,-2.3034170704752923,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,2.3320951880226692,0.3988098438827441,0.47141870967741933
