Model,display_bronze,display_platinum,within_promo_ins,within_display_gold,within_display_bronze,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,promo_ins,Constant,y_pred,y_true
BayesianRegression,-0.0,0.0,0.0,-0.0,-0.20681191065252907,-0.0,-0.0,0.0,-0.0,0.28688932492367164,0.0,-0.29691278851039066,0.05880261729536365,-0.0,-0.0,0.0,0.0,0.0,0.013039867271455508,-0.13252701595360952,0.0,1.4490206010630515,1.171500695437013,1.1079036363636363
BayesianRegression,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.10334639606947225,0.307150699969458,0.0,-0.17526854345138085,0.0,-0.0,-0.14766209743644612,0.0,0.0,0.0,0.0,-0.0,0.0,1.4490206010630515,1.3298942640752103,1.5263018181818182
BayesianRegression,-0.0,0.0,0.28085831522560967,-0.0,-0.31366473115633575,-0.0,-0.0,0.0,-0.10334639606947225,0.2977541202380788,0.0,-0.21848027786905916,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.4490206010630515,1.3921416314318729,1.6856436363636362
BayesianRegression,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.2078993265567652,0.0,-0.0,0.05880261729536365,-0.0,-0.14766209743644612,0.0,0.0,0.0,0.013039867271455508,-0.0,0.0,1.4490206010630515,1.5811003147501899,1.1222109090909091
BayesianRegression,-0.0,0.0,0.015431775561846679,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.2980477633546845,0.164564755276118,-0.2927672115470461,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.543948053011648,1.4490206010630515,2.1782457367203025,2.544523636363636
BayesianRegression,-0.0,0.0,0.0,-0.0,-0.0,-0.04849812854318699,-0.0,0.0,-0.0,0.07517263785103363,0.0,-0.1466519870527951,0.0,-0.0,-0.0,0.0,0.0,0.0,0.013039867271455508,-0.0,0.0,1.4490206010630515,1.3420829905895586,1.4122654545454545
BayesianRegression,-0.0,0.0,0.09138859927468361,-0.0,-0.0,-0.006395357610090593,-0.0,0.0,-0.0,0.29041304232293896,0.0,-0.2970055319237522,0.0,-0.30207055431452373,-0.1410436265156954,0.0,0.0,0.0,0.0,-0.0,0.0,1.4490206010630515,1.0843071722966122,1.4956672727272726
BayesianRegression,-0.0,0.0,0.0,-0.12630096063971938,-0.0,-0.0,-0.0,0.0,-0.0,0.29775412023807896,0.0,-0.1431295477919627,0.0,-0.0,-0.0,0.0,0.0,0.0,0.034517295718558695,-0.0,0.0,1.4490206010630515,1.5118615085880072,1.913849090909091
BayesianRegression,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.09102936614773612,0.0,-0.2967325958824185,0.0,-0.0,-0.0,0.0,0.0,0.0,0.06980164245308536,-0.13252701595360952,0.0,1.4490206010630515,1.180591997827845,1.13012
BayesianRegression,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.016040160846755892,0.0,-0.0,0.8671281233363383,0.0,-0.2863362057482145,0.0,-0.0,-0.1492002442847425,0.0,0.0,0.0,0.0,-0.0,0.0,1.4490206010630515,1.8645721135196769,2.002770909090909
BayesianRegression,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.2892384698565164,0.0,-0.29704561404796137,0.0,-0.15285185265571685,-0.0,0.0,0.0,0.0,0.0,-0.13252701595360952,0.0,1.4490206010630515,1.1558345882622802,0.9842818181818181
BayesianRegression,-0.0,0.0,0.13888598005662017,-0.18334010415443142,-0.0,-0.0,-0.0,0.046552158503642305,-0.0,0.8668344802197328,0.0,-0.28856682717449683,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.4490206010630515,2.0293862885141185,2.0489818181818182
BayesianRegression,-0.0,0.0,0.0,-0.0,-0.10685282050380665,-0.0,-0.016040160846755892,0.0,-0.0,0.29041304232293874,0.0,-0.29703216056865955,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.4490206010630515,1.3195085014667682,1.3100945454545454
BayesianRegression,-0.0,0.0,0.0,-0.0,-0.0,-0.04050393153057375,-0.0,0.0,-0.0,0.012039367780829518,0.0,-0.20972242806164682,0.0,-0.0,-0.14766209743644612,0.0,0.0,0.0,0.0,-0.0,0.0,1.4490206010630515,1.0631715118152143,0.7644472727272728
BayesianRegression,-0.0,0.0,0.0,-0.0,-0.0,-0.009060089947628339,-0.0,0.0,-0.0,0.06656889453448957,0.0,-0.24998166326425256,0.0,-0.0,-0.2857976079415087,0.0,0.0,0.0,0.06980164245308536,-0.13252701595360952,0.0,1.4490206010630515,0.9080247609436273,1.043744
