Model,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Packsize,Wtd.Selling.Dist,WeekNum,Month,Segment_Xmas,Product.Type_Product.Type 3,Constant,y_pred,y_true
RidgeRegression,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.23481926743607967,-0.0,-0.0,0.0,-0.5556361921800195,-0.3208169247439398,0.0
RidgeRegression,0.0,0.0,0.0,0.0,0.0,-0.0,0.005836445572984154,5.409191807327912,0.3405853526956336,-0.03888275087711145,-0.0,0.0,-0.5556361921800195,5.161094662539399,0.29536
RidgeRegression,0.0,0.0,0.0,0.0,0.0,-0.0,0.0338513843233081,0.0,0.3405853526956336,-0.03888275087711145,-0.0,0.0,-0.5556361921800195,-0.22008220603818923,0.0
RidgeRegression,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,5.430937302030738,0.6888910165907434,-0.059269171103201915,-0.0,0.0,-0.5556361921800195,5.50492295533826,2.97738
RidgeRegression,0.0,0.0,0.0,0.0,0.0,-0.0,0.03968782989629226,0.0,0.3405853526956336,-0.03888275087711145,-0.0,0.0,-0.5556361921800195,-0.21424576046520505,0.0
RidgeRegression,0.0,0.30702951165488135,0.0,0.0,0.0,-0.0,0.03968782989629226,0.0,0.6888910165907434,-0.07741233650143943,-0.0,0.26413175536764777,-0.5556361921800195,0.6666915848281059,0.0
RidgeRegression,0.0,0.0,0.0,0.0,0.0,-0.0,0.0338513843233081,0.0,0.5098754036636441,-0.059269171103201915,-0.0,0.0,-0.5556361921800195,-0.07117857529626909,0.0
RidgeRegression,0.0,0.0,0.0,0.0,0.0,-0.0,0.03968782989629226,5.3059007074894895,0.8071974201198779,-0.058075961021781065,-0.0,0.0,-0.5556361921800195,5.539073804303859,7.6318
RidgeRegression,0.0,0.30702951165488135,0.0,0.0,0.0,-0.0,0.045524275469276405,0.0,0.9842705833968458,-0.10829649359652674,-0.0,0.0,-0.5556361921800195,0.6728916847444575,0.0
RidgeRegression,0.0,0.0,0.0,0.0,0.0,-0.0,0.005836445572984154,0.0,0.5122757387537994,-0.058075961021781065,-0.0,0.0,-0.5556361921800195,-0.09559996887501704,0.0
RidgeRegression,0.0,0.0,0.0,0.0,0.0,-0.0,0.005836445572984154,0.0,0.22829017864333753,-0.0,-0.0,0.0,-0.5556361921800195,-0.3215095679636978,0.0
RidgeRegression,0.0,0.0,0.0,0.0,0.0,-0.0,0.03968782989629226,0.0,0.3592497728560462,-0.0018494510679476735,-0.0,0.0,-0.5556361921800195,-0.15854804049562865,0.0
RidgeRegression,0.0,0.0,0.0,0.0,0.0,-0.0,0.005836445572984154,5.430937302030738,0.23792923010519842,-0.07741233650143943,-0.0,0.0,-0.5556361921800195,5.041654449027462,4.38308
RidgeRegression,0.0,0.0,0.0,0.0,0.0,-0.0,0.005836445572984154,5.436373675706444,0.2287248614784592,-0.0018494510679476735,-0.0,0.0,-0.5556361921800195,5.113449339509921,5.00604
RidgeRegression,0.0,0.0,0.0,0.0,0.0,-0.0,0.005836445572984154,5.420064554679325,0.8454744498128443,-0.03888275087711145,-0.0,0.0,-0.5556361921800195,5.676856507008022,6.75896
RidgeRegression,0.0,0.0,0.0,0.0,0.0,-0.0,0.03968782989629226,0.0,0.013479924968676503,-0.0018494510679476735,-0.0,0.0,-0.5556361921800195,-0.5043178883829984,0.0
RidgeRegression,0.0,0.0,0.0,0.0,0.0,-0.0,0.0035018673437904953,0.016309121027119334,0.6324317166821066,-0.00717370944558275,-0.0,0.0,-0.5556361921800195,0.08943280342741422,0.0
RidgeRegression,0.0,0.30702951165488135,0.0,0.0,0.0,-0.0,0.0035018673437904953,0.16309121027119333,0.4773819547023458,-0.059269171103201915,-0.0,0.26413175536764777,-0.5556361921800195,0.6002309360566374,0.00288
RidgeRegression,0.0,0.0,0.0,0.0,0.0,-0.0,0.0035018673437904953,0.0,0.23344191224523408,-0.03888275087711145,-0.0,0.0,-0.5556361921800195,-0.35757516346810636,0.0
RidgeRegression,0.0,0.0,0.0,0.0,0.0,-0.0,0.005836445572984154,0.21201857335255134,0.8071974201198779,-0.058075961021781065,-0.0,0.0,-0.5556361921800195,0.41134028584361293,0.01144
RidgeRegression,0.0,0.0,0.0,0.0,0.0,-0.0,0.005836445572984154,5.4255009283550315,0.7799183086152675,-0.058075961021781065,-0.0,0.0,-0.5556361921800195,5.5975435293414835,4.29572
RidgeRegression,0.0,0.0,0.0,0.0,0.0,-0.0,0.005836445572984154,5.430937302030738,0.4089964029125049,-0.01971007712883136,-0.0,0.0,-0.5556361921800195,5.270423881207377,11.32664
RidgeRegression,0.0,0.30702951165488135,0.0,0.0,0.0,-0.0,0.005836445572984154,5.436373675706444,0.3508403915890795,-0.03278544443269121,-0.0,0.0,-0.5556361921800195,5.511658387910678,6.1412
RidgeRegression,0.0,0.0,0.0,0.0,0.0,-0.0,0.0338513843233081,0.0,0.4773819547023458,-0.059269171103201915,-0.0,0.0,-0.5556361921800195,-0.10367202425756744,0.0
RidgeRegression,0.0,0.0,0.0,0.0,0.0,-0.0,0.005836445572984154,5.403755433652206,0.0,-0.00717370944558275,-0.0,0.0,-0.5556361921800195,4.846781977599588,4.00556
RidgeRegression,0.0,0.0,0.0,0.0,0.0,-0.0,0.01196471342461752,0.0,0.2149117515223578,-0.0,-0.0,0.0,-0.5556361921800195,-0.32875972723304414,0.0
