Model,display_bronze,display_platinum,within_promo_ins,within_display_gold,cross_box_Price,within_display_bronze,cross_box_Wtd.Selling.Dist,cross_box_promo_catalogue,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,within_Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,within_Price,promo_catalogue,display_silver,display_gold,within_promo_catalogue,cross_box_display_bronze,cross_box_promo_ins,promo_ins,Constant,y_pred,y_true
RidgeRegression,0.0,0.0,0.0,-0.01655701877455753,0.031667383110968596,-0.0,-0.05804155731259936,-0.01394676294079831,-0.0,0.0,-0.022164410197135387,-0.20344405514528405,0.006386540564666821,-0.05977260044921117,0.0,-0.12858486152180798,-0.0,-0.09824424149618036,0.0,0.0,0.0,0.0,0.0,-0.22636249823038132,0.0,0.0,0.0,1.1625788148807503,0.37351473248843026,0.32448
RidgeRegression,0.0,0.0,0.0,-0.0,0.048827456116893736,-0.0,-0.0024232350178009904,-0.0,-0.0,0.0,-0.0,-0.0,0.05109232451733747,-0.02790925140938887,0.0,-0.1276056201536243,-0.0,-0.0,0.0,0.04993325495886053,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.1625788148807503,1.1544937438930278,0.952848
RidgeRegression,0.0,0.0,0.0,-0.0,0.048928898288663314,-0.0,-0.062075445545824975,-0.0,-0.0,0.0,-0.0,-0.20344405514528405,0.006386540564666821,-0.05686753936650832,0.0,-0.1282916601063147,-0.0,-0.0,0.040148684907815355,0.04191259096878268,0.0,0.0,0.0,-0.07721232140285497,0.0,0.0,0.0,1.1625788148807503,0.7720645080438915,0.7744880000000001
RidgeRegression,0.0,0.0,0.0010947176910630937,-0.0,0.032294535863538455,-0.0,-0.05866550405370988,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.05714809565252923,0.0,-0.12929193657394233,-0.0,-0.0,0.0,0.044141179749712295,0.0,0.0,0.0,-0.14944320271520323,0.0,0.03089396092873611,0.21652947969288452,1.1625788148807503,1.0929839498113,0.8451040000000001
RidgeRegression,0.0,0.0,0.0,-0.008614989857684859,0.034905781996472506,-0.0,-0.010070210193736044,-0.006896750904790374,-0.0,0.0,-0.0,-0.0,0.05109232451733747,-0.04865821847554729,0.0,-0.12926053925861528,-0.0,-0.0,0.0,0.057870271171470984,0.0,0.0,0.0,-0.07721232140285497,0.02759546843931896,0.0,0.0,1.1625788148807503,1.0533296309121214,1.529528
RidgeRegression,0.0,0.0,0.0018330156687568085,-0.0,0.011427769836090037,-0.0,-0.06179974814859012,-0.01394676294079831,-0.0,0.050867739559852077,-0.0,-0.0,0.008515387419556125,-0.05474507007226286,0.0,-0.1291891233967435,-0.0,-0.0,0.0,0.02480005144939663,0.0,0.0,0.0,-0.07721232140285497,0.0,0.0,0.21652947969288452,1.1625788148807503,1.1396592325460368,0.966056
RidgeRegression,0.0,0.0,0.0,-0.0,0.02600991870887461,-0.008496704631493908,-0.002104006452581739,-0.0,-0.0,0.0,-0.0,-0.0,0.05109232451733747,-0.07112711755600813,0.0,-0.1280143901829112,-0.0,-0.0,0.0,0.021466442256501617,0.0,0.0,0.0,-0.1120824020364024,0.0,0.04685584074191643,0.0,1.1625788148807503,0.9861787202459831,1.029912
RidgeRegression,0.0,0.0,0.0,-0.0,0.039544020353788574,-0.0,-0.02008237883015938,-0.006896750904790374,-0.0,0.025154376705421356,-0.0,-0.0,0.010644234274445427,-0.04001502793169463,0.0,-0.1291333563114735,-0.0,-0.09824424149618036,0.0,0.02621783994116629,0.0,0.0,0.0,-0.07796930494602022,0.0073587915838183885,0.0,0.0,1.1625788148807503,0.8991570173190719,1.6001439999999998
RidgeRegression,0.0,0.0,0.0,-0.016837646211414432,0.030286206034925912,-0.0,-0.04089122640453273,-0.0,-0.0,0.0,-0.0,-0.0,0.021288468548890493,-0.07558851261410604,0.0,-0.12266779927371324,-0.0,-0.0,0.0,0.05436754680926205,0.0,0.0,0.0,-0.15090833215358757,0.0557067400270364,0.04677403430332009,0.0,1.1625788148807503,0.9641082939468313,1.230008
RidgeRegression,0.0,0.0,0.0,-0.0,0.027616252802432687,-0.0,-0.049799656174210206,-0.0,-0.0,0.050867739559852077,-0.0,-0.0,0.04896347766244817,-0.09577947642767548,0.0,-0.12750586335467062,-0.0,-0.0,0.0,0.027144223818106036,0.0,0.0,0.0,-0.0,0.0,0.04685584074191643,0.0,1.1625788148807503,1.0909413535089494,0.7416240000000001
RidgeRegression,0.0,0.0,0.0002800440605045122,-0.0,0.03416308335234661,-0.0,-0.01571475164238628,-0.0,-0.0,0.0,-0.0,-0.0,0.008515387419556125,-0.0,0.09381247530165478,-0.20744596685926114,-0.0,-0.0,0.0,0.033946277938116415,0.0,0.0,0.0,-0.14944320271520323,0.0,0.0,0.21652947969288452,1.1625788148807503,1.1772216414289627,1.1599119999999998
RidgeRegression,0.0,0.0,0.0007969524823448377,-0.0,0.045095927899137904,-0.005910670563912862,-0.03563751618993603,-0.0,-0.0,0.0,-0.0,-0.0,0.010644234274445427,-0.051987821252783194,0.0,-0.12934674338346308,-0.0,-0.0,0.0,0.010045806477415447,0.0,0.0,0.0,-0.0,0.010424954743742719,0.0,0.0,1.1625788148807503,1.0167039393677415,0.7468239999999999
