Model,display_bronze,within_display_bronze,promo_ins,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,display_platinum,Constant,y_pred,y_true
RidgeRegression,-0.0,0.028051633274790263,0.0,0.0,-0.0,0.0,-0.0,0.000322836544221481,-0.08009274553429883,-0.0,-0.0,0.0,0.3352138684978766,0.0,0.10479323456618851,-0.0,-0.0,0.0,0.3227353395343001,0.7110241668830781,0.5189417777777778
RidgeRegression,-0.0,0.0,0.0,0.0,-0.0,0.001084423003165349,-0.0,0.10750456922573444,-0.12240619629002322,-0.0,-0.023194209475719874,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.3227353395343001,0.2857239259974568,0.2417746666666667
RidgeRegression,-0.0,0.0,0.0,0.0,-0.03940694321456988,0.0,-0.0,0.09824992162472017,-0.1374197656058644,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.3227353395343001,0.244158552338586,0.15850055555555553
RidgeRegression,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.11320801484031283,-0.09680793289597447,-0.0,-0.06276080211077142,0.0,0.3352138684978766,0.0,0.0,-0.0,-0.0,0.3163236862659035,0.3227353395343001,0.9279121741316472,0.5693241111111111
RidgeRegression,-0.0,0.0,0.019567593852313634,0.0,-0.0,0.0,-0.0,0.10793501795136295,-0.10480024768657652,-0.0,-0.0,0.002755016720563532,0.0,0.0,0.0,-0.004563722110891563,-0.0,0.0,0.3227353395343001,0.3436289982610721,0.4307074444444444
RidgeRegression,-0.015547577322177944,0.07590441944943248,0.019567593852313634,0.0,-0.0,0.0,-0.0,0.21307211918614016,-0.09693898392126249,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.004563722110891563,-0.0,0.0,0.3227353395343001,0.5142291886678544,0.5273926666666666
RidgeRegression,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.12805849587449838,-0.13507219703255327,-0.0,-0.0,0.009367056849916013,0.0,0.0,0.0,-0.008833010537209479,-0.054918693330735124,0.0,0.3227353395343001,0.26133699135821664,0.16586077777777777
RidgeRegression,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0004304487256285151,-0.031053364915510664,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.014644984888196029,0.0,0.3227353395343001,0.27746743845622196,0.21694411111111112
RidgeRegression,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.06124126774201551,0.1020163479739701,-0.11945494299563744,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.004563722110891563,-0.028374658220879808,0.0,0.3227353395343001,0.2111170964388459,0.12938188888888888
RidgeRegression,-0.0,0.0,0.019567593852313634,0.0,-0.0,0.0010743820494323365,-0.0,0.014725350590688874,-0.02211612540922707,-0.0,-0.06276080211077142,0.0,0.0,0.0,0.0,-0.0,-0.014644984888196029,0.3163236862659035,0.3227353395343001,0.574904439884444,0.4670404651162791
RidgeRegression,-0.015547577322177944,0.08489744305811524,0.019567593852313634,0.0,-0.0,0.0,-0.0,0.1572213970358337,-0.10717980463431118,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0069191915874807575,-0.0,0.0,0.3227353395343001,0.4547751999365928,0.4111585555555555
RidgeRegression,-0.015547577322177944,0.07590441944943248,0.0,0.0,-0.0,0.0,-0.06124126774201551,0.007635573417115853,-0.08344302992700078,-0.0,-0.0,0.0,0.3352138684978766,0.0,0.0,-0.0066247579029071095,-0.0,0.0,0.3227353395343001,0.5746325680046237,0.35808954545454547
RidgeRegression,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.06124126774201551,0.00010761218140717612,-0.11406320282906744,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.013396732648101043,-0.08329335155161494,0.0,0.3227353395343001,0.05084839694490839,0.12410522222222223
RidgeRegression,-0.0,0.019801152899851945,0.0,0.0,-0.0,0.0,-0.0,0.000322836544221481,-0.09630069543276981,-0.0,-0.06276080211077142,0.0,0.3352138684978766,0.0,0.0,-0.004606373719404569,-0.015705719774957893,0.3163236862659035,0.3227353395343001,0.81502329270425,0.4400505555555556
RidgeRegression,-0.0,0.0,0.019567593852313634,0.0,-0.0,0.0,-0.0,0.10761218140714146,-0.11721688743902571,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.004457781018778615,-0.027715976073455106,0.0,0.3227353395343001,0.3005244702624958,0.11676488888888888
RidgeRegression,-0.0,0.0,0.0,0.0,-0.0,0.0020794491279335545,-0.0,0.0005380609070357385,-0.11398173773101178,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.3227353395343001,0.21137111183825763,0.20001299999999997
RidgeRegression,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.11600593155689855,-0.11820554580210975,-0.0,-0.023194209475719874,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.3227353395343001,0.29734151581336904,0.15750733333333333
RidgeRegression,-0.0,0.0,0.0,0.0,-0.020360253994194437,0.0,-0.0,0.10771979358854859,-0.11953881276519322,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.3227353395343001,0.29055606636346104,0.21873411111111113
