Model,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Packsize,Wtd.Selling.Dist,WeekNum,Month,Segment_Sharepacks,Product.Type_Product.Type 3,Constant,y_pred,y_true
ElasticNetRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3066006031926661,0.0,0.0,0.0,-0.5718768519218532,-0.26527624872918715,0.0
ElasticNetRegression_Positive,0.0,0.19292166388746343,0.0,0.0,0.0,0.0,0.0,2.5554497552067366,0.19282837744822934,0.0,0.0,0.0,-0.5718768519218532,2.3693229446205764,2.068
ElasticNetRegression_Positive,0.5785784528089037,0.0,0.20745198571943194,0.0,0.0,0.0,0.0,2.5683691169620793,0.48690124504254223,0.0,0.0,0.0,-0.5718768519218532,3.269423948611104,3.00146
ElasticNetRegression_Positive,0.0,0.19292166388746343,0.0,0.0,0.0,0.0,0.0,0.0,0.3249672725850459,0.0,0.0,0.0,-0.5718768519218532,-0.05398791544934389,0.0
ElasticNetRegression_Positive,0.0,0.19292166388746343,0.0,0.0,0.0,0.0,0.0,0.0,0.149574536143432,0.0,0.0,0.0,-0.5718768519218532,-0.2293806518909578,0.0
ElasticNetRegression_Positive,0.5785784528089037,0.0,0.0,0.0,0.0,0.0,0.0,0.02067097880854792,0.4248555309087197,0.0,0.0,0.0,-0.5718768519218532,0.4522281106043181,0.00022
ElasticNetRegression_Positive,0.5785784528089037,0.0,0.0,0.0,0.0,0.0,0.0,0.21446140513868467,0.2810973468834718,0.0,0.0,0.0,-0.5718768519218532,0.502260352909207,0.0132
ElasticNetRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5554497552067366,0.1441236841353079,0.0,0.0,0.0,-0.5718768519218532,2.1276965874201914,0.80278
ElasticNetRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15820820206815747,0.0,0.0,0.0,-0.5718768519218532,-0.4136686498536958,0.0
ElasticNetRegression_Positive,0.5785784528089037,0.0,0.0,0.0,0.0,0.0,0.0,1.7027718793541349,0.3455995432835257,0.0,0.0,0.0,-0.5718768519218532,2.055073023524711,1.33452
ElasticNetRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2986302756166354,0.0,0.0,0.0,-0.5718768519218532,-0.2732465763052178,0.0
ElasticNetRegression_Positive,0.0,0.19292166388746343,0.0,0.0,0.0,0.0,0.0,2.5554497552067366,0.4248555309087197,0.0,0.0,0.0,-0.5718768519218532,2.6013500980810664,2.44112
ElasticNetRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13420219434443165,0.0,0.0,0.0,-0.5718768519218532,-0.4376746575774216,0.0
ElasticNetRegression_Positive,0.0,0.19292166388746343,0.0,0.0,0.0,0.0,0.0,2.5812884787174215,0.12867121144167015,0.0,0.0,0.0,-0.5718768519218532,2.331004502124702,1.16248
ElasticNetRegression_Positive,0.5785784528089037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30483774648916034,0.0,0.0,0.0,-0.5718768519218532,0.3115393473762108,0.0
ElasticNetRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5812884787174215,0.2076801150159495,0.0,0.0,0.0,-0.5718768519218532,2.217091741811518,0.54186
ElasticNetRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0903527320144084,0.30483774648916034,0.0,0.0,0.0,-0.5718768519218532,1.8233136265817156,0.58828
ElasticNetRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15820820206815747,0.0,0.0,0.0,-0.5718768519218532,-0.4136686498536958,0.0
ElasticNetRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.547698138153531,0.22505676781481487,0.0,0.0,0.0,-0.5718768519218532,2.2008780540464925,1.28788
ElasticNetRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19373758977246966,0.0,0.0,0.0,-0.5718768519218532,-0.37813926214938354,0.0
ElasticNetRegression_Positive,0.5785784528089037,0.0,0.20745198571943194,0.0,0.0,0.0,0.0,2.573536861664216,0.5195266500321444,0.0,0.0,0.0,-0.5718768519218532,3.307217098302843,1.59544
ElasticNetRegression_Positive,0.5785784528089037,0.0,0.20745198571943194,0.0,0.0,0.0,0.0,0.41341957617095837,0.5599131573136655,0.0,0.0,0.0,-0.5718768519218532,1.1874863200911063,0.01936
ElasticNetRegression_Positive,0.0,0.19292166388746343,0.0,0.0,0.0,0.0,0.0,0.0,0.5195266500321444,0.0,0.0,0.0,-0.5718768519218532,0.1405714619977546,0.0
ElasticNetRegression_Positive,0.5785784528089037,0.0,0.20745198571943194,0.0,0.0,0.0,0.0,0.42892281027736934,0.507085080449722,0.0,0.0,0.0,-0.5718768519218532,1.1501614773335738,0.02816
ElasticNetRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58387235106849,0.118843812101485,0.0,0.0,0.0,-0.5718768519218532,2.130839311248122,2.10188
ElasticNetRegression_Positive,0.0,0.19292166388746343,0.0,0.0,0.0,0.0,0.0,0.0,0.2664252389067626,0.0,0.0,0.0,-0.5718768519218532,-0.11252994912762715,0.0
ElasticNetRegression_Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31812767628202226,0.0,0.0,0.0,-0.5718768519218532,-0.25374917563983096,0.0
