Model,display_bronze,display_platinum,within_promo_ins,within_display_gold,within_display_bronze,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,promo_ins,Constant,y_pred,y_true
RidgeRegression,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.012478321104670145,0.0,-0.0,0.12213460393770897,-0.0,-0.1593586783928911,-0.0,0.0,-0.017820455204163217,0.34802307206035604,0.04729226968147452,0.0,0.0,-0.0,0.0,0.4322209344748776,0.7600134254526927,0.44190977777777773
RidgeRegression,-0.0,0.0,-0.027359714162536033,0.0,-0.007435686452248548,-0.0,-0.024685374359238767,0.0,-0.0,0.021411306384861627,-0.0,-0.1655017495142487,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0012852195166157634,-0.0,0.0,0.4322209344748776,0.22993493588808292,0.1313840909090909
RidgeRegression,-0.012104356213047885,0.0,-0.0241409242610612,0.0,-0.0035979127994751033,-0.0,-0.0,0.008689085821989153,-0.0,0.13366411054942867,-0.0,-0.16107648638057723,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.03957009062301725,0.4322209344748776,0.4132245418151512,0.5160023333333333
RidgeRegression,-0.0,0.0,-0.0,0.0,-0.011273460105021994,-0.0,-0.0,0.0,-0.0,0.09036006537727455,-0.0,-0.22029298248066803,-0.0,0.0,-0.0,0.0,0.0,0.0,0.010355197248161295,-0.031666514784006644,0.0,0.4322209344748776,0.2697032397306168,0.27129555555555557
RidgeRegression,-0.012104356213047885,0.0,-0.0,0.0,-0.0035979127994751033,-0.056398870922426084,-0.0,0.0,-0.0,0.011216842025639202,-0.0,-0.155318645396143,-0.0,0.0,-0.0,0.34802307206035604,0.0,0.0,0.0,-0.03147872958397664,0.0,0.4322209344748776,0.5325623336458041,0.5199288888888889
RidgeRegression,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.003751975032966423,-0.0,-0.15353433322948803,-0.07538241107629652,0.0,-0.0,0.34802307206035604,0.04729226968147452,0.0,0.0062118943303095244,-0.03147872958397664,0.0,0.4322209344748776,0.5771046716902228,0.5373495555555555
RidgeRegression,-0.0,0.0,-0.0,0.004590073937522155,-0.0,-0.0,-0.012207053254568622,0.0,-0.0,0.12846606180583978,-0.0,-0.22687943413679168,-0.0,0.0,-0.0,0.0,0.0,0.0,0.00492667481369376,-0.0,0.0,0.4322209344748776,0.331117257640573,0.31890488888888896
RidgeRegression,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.13315603059704778,-0.0,-0.17020277466037972,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.4322209344748776,0.39517419041154567,0.42862988888888887
RidgeRegression,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.024685374359238767,0.0,-0.0,0.12451867140657302,-0.0,-0.15151312987195692,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.03147872958397664,0.0,0.4322209344748776,0.34906237206627827,0.5625008888888888
RidgeRegression,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.12576932975089514,-0.0,-0.1351419507786387,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.4322209344748776,0.422848313447134,0.46953
RidgeRegression,-0.012104356213047885,0.0,-0.04989124347285983,0.0,-0.011033599251723652,-0.010536052809683994,-0.0,0.0,-0.0,0.12283809925639008,-0.0,-0.12220535677255581,-0.0,0.0,-0.0,0.34802307206035604,0.0,0.0,0.0,-0.0,0.0,0.4322209344748776,0.6973114972717525,0.9097176666666668
RidgeRegression,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.05346465687089252,0.001250658344322141,-0.0,-0.1708319924749509,-0.0,0.0,-0.036828940755270656,0.0,0.0,0.0,0.0,-0.0,0.0,0.4322209344748776,0.17234600271808564,0.112378
RidgeRegression,-0.0,0.0,-0.04906058801441472,0.0,-0.007311887302159083,-0.0,-0.0,0.0,-0.0,0.12455775447983312,-0.0,-0.23022393312240202,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.03147872958397664,0.0,0.4322209344748776,0.2387035509317582,0.11150655555555554
RidgeRegression,-0.0,0.0,-0.04989124347285983,0.0,-0.007435686452248548,-0.0,-0.0,0.0,-0.0,0.12377609301463179,-0.0,-0.23587247829905716,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.03147872958397664,0.0,0.4322209344748776,0.2313188896813672,0.17003633333333332
RidgeRegression,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0014069906373624086,-0.0,-0.14734114170034363,-0.07538241107629652,0.0,-0.017820455204163217,0.34802307206035604,0.04729226968147452,0.0,0.004819573187309113,-0.0,0.0,0.4322209344748776,0.5932188320605762,0.42374744444444445
RidgeRegression,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.12678548965565692,-0.0,-0.21381895042841761,-0.0,0.0,-0.036828940755270656,0.0,0.0,0.0,0.0,-0.03147872958397664,0.0,0.4322209344748776,0.2768798033628696,0.15209522222222221
RidgeRegression,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.12842697873257972,-0.0,-0.14401481293360158,-0.0,0.0,-0.05464939595943388,0.34802307206035604,0.04729226968147452,0.0,0.0,-0.03147872958397664,0.0,0.4322209344748776,0.7258203164722759,0.821558
RidgeRegression,-0.0,0.0,-0.025750319211798618,0.0,-0.0,-0.010103384714280766,-0.024598363916753373,0.0,-0.0,0.04049006389742928,-0.00416631790908241,-0.06419231386600548,-0.0,0.0,-0.036828940755270656,0.0,0.0,0.0,0.0,-0.03136777407849715,0.0,0.4322209344748776,0.27570358392061844,0.2366731111111111
RidgeRegression,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.05346465687089252,0.12326801306225088,-0.0,-0.12706809571575617,-0.0,0.013701160058710825,-0.0,0.0,0.0,0.0,0.009746248001002874,-0.03147872958397664,0.0,0.4322209344748776,0.3669248734262168,0.6364202222222223
RidgeRegression,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.004768134937728163,-0.0,-0.15675996445226034,-0.07538241107629652,0.0,-0.036828940755270656,0.0,0.0,0.0,0.0018207276485389984,-0.0,0.0,0.4322209344748776,0.16983848077731722,0.24264477777777776
RidgeRegression,-0.0,0.0,-0.0,0.0,-0.0,-0.056398870922426084,-0.0,0.0,-0.0,0.0054325471831493,-0.0,-0.16903600148314885,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0018207276485389984,-0.0,0.0,0.4322209344748776,0.21403933690099095,0.19237200000000002
RidgeRegression,-0.0,0.0,-0.05150063842359724,0.0,-0.0,-0.0,-0.024685374359238767,0.0,-0.0,0.004963550304028497,-0.0,-0.16024735658992836,-0.0,0.0,-0.0,0.0,0.0,0.0,0.001713626022154351,-0.0,0.03957009062301725,0.4322209344748776,0.24203483205131332,0.22425511111111113
RidgeRegression,-0.012104356213047885,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.05346465687089252,0.0012115752710620742,-0.0,-0.15335012411499863,-0.0,0.0,-0.0,0.34802307206035604,0.0,0.0,0.009729231854754845,-0.0,0.0,0.4322209344748776,0.5722656764621115,0.3881062222222222
RidgeRegression,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.11146492493771071,-0.0,-0.21516678003511014,-0.0,0.0,-0.036828940755270656,0.0,0.0,0.0,0.0,-0.03147872958397664,0.0,0.4322209344748776,0.26021140903823087,0.24593344444444445
RidgeRegression,-0.0,0.0,-0.0,0.0068110774556780366,-0.0,-0.0,-0.0,0.046512165282412525,-0.0,0.0886794932270917,-0.0,-0.15864754248878582,-0.0,0.0,-0.0,0.34802307206035604,0.0,0.19223185891971398,0.0,-0.0,0.0,0.4322209344748776,0.9558310589313441,1.0000656666666667
RidgeRegression,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.12889597561170044,-0.0,-0.22539197575687178,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.01591232484464753,0.0,0.4322209344748776,0.31981260948505874,0.24731766666666666
RidgeRegression,-0.0,0.0,-0.04989124347285983,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.040450980824169216,-0.00416631790908241,-0.056733308710388265,-0.0,0.0,-0.0,0.0,0.0,0.0,0.001713626022154351,-0.0,0.03957009062301725,0.4322209344748776,0.4031647618518879,0.38821277777777785
