Model,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Packsize,Wtd.Selling.Dist,WeekNum,Month,Product.Type_Product.Type 3,Constant,y_pred,y_true
LassoRegression,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.564673993207264,1.1188875689843458,0.08562503829717583,0.0,-0.7493044593108169,3.019882141177969,2.10236
LassoRegression,2.710957894028973,-0.0,0.0,0.0,0.0,0.0,0.0,2.580940424453822,1.4661330863270827,0.08859391723576478,0.0,-0.7493044593108169,6.097320862734826,6.10636
LassoRegression,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2855685028902629,0.0,0.6073246927147778,-0.7493044593108169,0.14358873629422386,0.0
LassoRegression,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5917847119515267,0.45011353995091624,0.017641655957558823,0.0,-0.7493044593108169,2.310235448549185,2.10028
LassoRegression,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0027110718744262838,0.9922263045592521,0.03042975477612295,0.0,-0.7493044593108169,0.2760626718989845,0.0
LassoRegression,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5619629213328374,0.5379470054086688,0.02092063238752205,0.0,-0.7493044593108169,2.3715260998182113,2.32492
LassoRegression,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5755182807049692,0.30346066669412786,0.08859391723576478,0.0,-0.7493044593108169,2.2182684053240447,1.5158
LassoRegression,0.0,-0.7856634396583553,0.0,0.0,0.0,0.0,0.0,2.6758279400587415,2.290396087995183,0.1905249380377569,0.0,-0.7493044593108169,3.6217810671225092,3.43044
LassoRegression,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5917847119515267,1.0823562327504157,0.10060199664718136,0.0,-0.7493044593108169,3.025438482038307,1.95884
LassoRegression,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5944957838259533,0.6452990187459223,0.0,0.0,-0.7493044593108169,2.4904903432610586,2.85584
LassoRegression,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5917847119515267,0.7357701258090129,0.03042975477612295,0.0,-0.7493044593108169,2.6086801332258456,3.2266
LassoRegression,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5890736400771006,0.9884093001940683,0.08562503829717583,0.0,-0.7493044593108169,2.913803519257528,2.40604
LassoRegression,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5782293525793953,0.4489266012285139,0.019606748563772137,0.0,-0.7493044593108169,2.2974582430608645,2.08104
LassoRegression,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.602628999449232,2.290396087995183,0.1905249380377569,0.0,-0.7493044593108169,4.334245566171354,5.92592
LassoRegression,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5619629213328374,0.6397599713747126,0.02092063238752205,0.0,-0.7493044593108169,2.473339065784255,2.8236
LassoRegression,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.36057255929869575,0.6397599713747126,0.02092063238752205,0.0,-0.7493044593108169,0.2719487037501134,0.02444
LassoRegression,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5755182807049692,0.7498815083975705,0.08562503829717583,0.0,-0.7493044593108169,2.661720368088899,1.48252
LassoRegression,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.6134732869469373,1.7320073601451456,0.1905249380377569,0.0,-0.7493044593108169,3.786701125819023,3.9156
LassoRegression,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.037955006241967966,0.44800342666664583,0.08859391723576478,0.0,-0.7493044593108169,-0.17475210916643835,0.0052
LassoRegression,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0027110718744262838,0.7200926075891376,0.0,0.0,-0.7493044593108169,-0.026500779847252964,0.00052
LassoRegression,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0054221437488525676,0.7357701258090129,0.03042975477612295,0.0,-0.7493044593108169,0.022317565023171504,0.0
LassoRegression,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.6161843588213634,1.9757254444783692,0.15878669785526198,0.0,-0.7493044593108169,4.001392041844177,5.2962
LassoRegression,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5944957838259533,0.7498815083975705,0.08562503829717583,0.0,-0.7493044593108169,2.680697871209883,1.79972
LassoRegression,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.6134732869469373,1.735172530071551,0.15878669785526198,0.0,-0.7493044593108169,3.7581280555629326,4.90256
LassoRegression,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5782293525793953,0.44800342666664583,0.08859391723576478,0.0,-0.7493044593108169,2.365522237170989,2.08676
LassoRegression,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0027110718744262838,0.2855685028902629,0.0,0.0,-0.7493044593108169,-0.4610248845461277,0.0
LassoRegression,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.05422143748852567,0.30346066669412786,0.019606748563772137,0.0,-0.7493044593108169,-0.37201560656439125,0.00624
LassoRegression,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.6107622150725107,1.520732267557578,0.15878669785526198,0.0,-0.7493044593108169,3.5409767211745335,3.67536
LassoRegression,0.0,-0.7856634396583553,0.0,0.0,0.0,0.0,0.0,2.678539011933168,1.520732267557578,0.15878669785526198,0.0,-0.7493044593108169,2.8230900783768362,2.64628
LassoRegression,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.5755182807049692,1.364979530762374,0.1163111911835226,0.0,-0.7493044593108169,3.3075045433400487,2.48352
