Model,display_bronze,within_promo_ins,within_display_gold,cross_box_Price,within_display_bronze,cross_box_Wtd.Selling.Dist,cross_box_promo_catalogue,promo_ins,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,within_Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,within_Price,display_silver,display_gold,within_promo_catalogue,cross_box_display_bronze,cross_box_promo_ins,display_platinum,Constant,y_pred,y_true
RidgeRegression,0.0,0.0528721114960506,-0.0,-0.06121177772678607,0.0,0.1144751419410355,0.09812135795736364,0.0,-0.0,-0.0,0.0,-0.0,-0.0777511578572672,-0.7095151867557551,-0.0,-0.3109217303764916,-0.0,-0.0,0.0,0.0,0.15690132821081332,0.0,0.0,-0.0,0.0,0.007988739017417677,0.0,2.330804240547457,1.601763066453838,1.081392
RidgeRegression,0.0,0.0,-0.10913836939127239,-0.069622799127981,0.0,0.07727866877455077,0.07359101846802274,0.0,-0.0,-0.0,0.0,-0.0,-0.19437789464315638,-0.1106075150858573,-0.0,-0.3098625254020184,-0.0,-0.0,0.0,0.0,0.04252535619692248,0.0,0.0,-0.16400350880146278,0.11722531543464285,0.0,0.0,2.330804240547457,1.6838119869698476,1.032616
RidgeRegression,0.0,0.08018936910234342,-0.10913836939127239,-0.07216975021066525,0.0,0.07248543488853444,0.09812135795736364,0.0,-0.0,-0.0,0.0,-0.0,-0.0777511578572672,-0.2579111071642046,-0.0,-0.31084392919904946,-0.0,-0.0,0.0,0.0,0.1442204908819274,0.0,0.0,-0.0,0.15630042057952379,0.0,0.0,2.330804240547457,2.054307000134691,2.293512
RidgeRegression,0.0,0.0,-0.0,-0.06922602545379762,0.0,0.056442774535336394,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.23325347357178614,-0.03790773991205397,-0.0,-0.30780294830376986,-0.0,-0.0,0.0,0.0,0.23698604354610445,0.0,0.0,-0.0,0.0,0.0,0.0,2.330804240547457,1.9760428713874905,1.953432
RidgeRegression,0.0,0.08018936910234342,-0.0,-0.08953589420269027,0.047996581290820094,0.10280997580006698,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0777511578572672,-0.5251693282793276,-0.0,-0.3114539071891896,-0.0,-0.0,0.0,0.0,0.16355620825888295,0.0,0.0,-0.0,0.0,0.0,0.0,2.330804240547457,1.721446087471096,1.631032
RidgeRegression,0.0,0.08018936910234342,-0.0,-0.029804311093167207,0.0,0.1430878136075623,0.07359101846802274,0.0,-0.0,-0.0,0.0,-0.0,-0.15550231571452666,-0.03444584585615911,-0.0,-0.30916941525263475,-0.0,-0.0,0.0,0.0,0.12652095593726426,0.0,0.0,-0.0,0.11722531543464285,0.0,0.0,2.330804240547457,2.342496825180805,2.358512
RidgeRegression,0.0,0.0,-0.0,-0.0859976618705607,0.0,0.18471069153613356,0.0,0.0,-0.008177699787645175,-0.0,0.0,-0.0,-0.19437789464315638,-0.22485001893040418,-0.0,-0.30933447654244756,-0.0,-0.0,0.12826024390595306,0.0,0.0775385518101738,0.0,0.0,-0.16400350880146278,0.0,0.007489442828829073,0.0,2.330804240547457,1.7420619100528698,2.1606
RidgeRegression,0.11004994803202874,0.08077977434738265,-0.0,-0.06334505221431538,0.04834996271351075,0.10354363404792659,0.07686173039993484,0.0,-0.0,-0.0,0.0,-0.0,-0.0777511578572672,-0.6175655496841459,-0.0,-0.3109336416157274,-0.0,-0.0,0.0,0.0,0.15324222296027493,0.0,0.0,-0.0,0.12243532945396028,0.0,0.0,2.330804240547457,1.95647144113102,2.221544
RidgeRegression,0.11004994803202874,0.0,-0.0,-0.04806475532747376,0.006329219510877373,0.18864799079964706,0.050696034944637876,0.0,-0.0,-0.0,0.12836749458705785,-0.0,-0.19437789464315638,-0.6527401242390705,-0.0,-0.3105344225360017,-0.4386557238980672,-0.0,0.0,0.0,0.22675754573920895,0.0,0.0,-0.0,0.0,0.0,0.0,2.330804240547457,1.3972795535171456,1.9454239999999998
RidgeRegression,0.0,0.0,-0.0,-0.09072738996806619,0.0,0.15678276756760917,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.19437789464315638,-0.645123957316101,-0.0,-0.30809769759716454,-0.0,-0.0,0.0,0.0,0.1901148341483684,0.0,0.0,-0.0,0.0,0.0,0.0,2.330804240547457,1.4393749027389466,1.2971920000000001
RidgeRegression,0.0,0.0,-0.0,-0.04194409656047495,0.0,0.10674727506358049,0.09812135795736364,0.0,-0.0,-0.0,0.0,-0.0,-0.0777511578572672,-0.7448265061258872,-0.0,-0.3092544535803772,-0.0,-0.0,0.0,0.0,0.20568797579234507,0.0,0.0,-0.16400350880146278,0.0,0.002829345068668761,0.0,2.330804240547457,1.4064104715039458,1.8179200000000002
RidgeRegression,0.0,0.08018936910234342,-0.0,-0.07508132354790534,0.047996581290820094,0.15822562878839982,0.050696034944637876,0.0,-0.0,-0.0,0.0,-0.0,-0.11662673678589693,-0.59025293653016,-0.0,-0.3110965044852625,-0.0,-0.0,0.0,0.0,0.10542607475816736,0.0,0.0,-0.0,0.0807552172994206,0.0,0.0,2.330804240547457,1.7610356453820217,2.330848
